,fluxes,reduced_costs
biomass_dilution,0.002515153518202046,1.3774777968818959e-36
protein_biomass_to_biomass,0.0009538470605100755,3.0155587598202964e-36
mRNA_biomass_to_biomass,2.5800201340672814e-06,1.3349243865697928e-70
tRNA_biomass_to_biomass,1.4941371761790927e-05,-1.4192778143972365e-70
rRNA_biomass_to_biomass,7.374818050112648e-05,-2.6914532488463737e-70
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00014918409430279717,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0007839707743490545,0.0
prosthetic_group_biomass_to_biomass,3.430451062165357e-07,2.2271420590385533e-70
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,-0.002947665363593618
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.00023547186646958446
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],9.979888604502387e-07,0.0
EX_12dgr180(e),-1.8170475076898862e-05,0.0
EX_26dap_M(e),2.078018486885072e-31,0.0
EX_2dmmq8(e),-1.9969564388468782e-05,0.0
EX_2obut(e),-1.0,-0.00017652215903667
EX_4abz(e),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_ac(e),0.0013546014372048927,0.0
EX_acgam(e),0.0,0.0
EX_ade(e),0.99898824729323,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.001891276755376519,0.0
EX_alaasp(e),9.90040604192877e-23,0.0
EX_alagln(e),9.90040604192877e-23,0.0
EX_alaglu(e),9.90040604192877e-23,0.0
EX_alagly(e),0.0,-3.815847766607468e-08
EX_alahis(e),9.90040604192877e-23,0.0
EX_alaleu(e),9.90040604192877e-23,0.0
EX_alathr(e),9.90040604192877e-23,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.00035308683286189036
EX_asn_L(e),-0.00036254342925965533,0.0
EX_asp_L(e),-0.003824388706510482,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0009977008505065428
EX_cgly(e),-0.0020498069498841066,0.0
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.1538961772589045,0.0
EX_cobalt2(e),-1.9969565450799053e-05,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.001964482911208724,0.0
EX_cytd(e),0.0,-5.885102656294785e-05
EX_dad_2(e),-0.9994572361455525,0.0
EX_dgsn(e),0.999318036664794,0.0
EX_drib(e),-2.937037461137992e-23,0.0
EX_fe2(e),-4.826480478389516e-11,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-5.990869316540635e-05,0.0
EX_for(e),1.0020849787395836,0.0
EX_fru(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.0007631599532297521,0.0
EX_gln_L(e),-0.0007788010066335893,0.0
EX_glu_L(e),-0.0007482736035099192,0.0
EX_gly(e),-8.092945325248841e-52,0.0
EX_glyasn(e),0.0,-2.1497038617111485e-08
EX_glyasp(e),0.0,-4.464886841920196e-08
EX_glyb(e),0.0,0.0
EX_glyc(e),-4.205324959718379e-18,0.0
EX_glyc3p(e),-0.004292833088478953,0.0
EX_glycys(e),0.0,4.702932492449193e-37
EX_glygln(e),0.0,-2.1497038617111485e-08
EX_glyglu(e),0.0,-2.365558174237596e-08
EX_glyleu(e),0.0,-0.0001766280840206326
EX_glymet(e),0.0,-2.1497038617111485e-08
EX_glyphe(e),0.0,-4.764896714357052e-08
EX_glypro(e),0.0,-4.464886841920196e-08
EX_glytyr(e),0.0,-2.4497137341480047e-08
EX_gua(e),-1.0,-5.878546079801673e-05
EX_h(e),0.6566498714920519,0.0
EX_h2o(e),-1.238020398614338,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00031132494864139165,0.0
EX_hxan(e),-4.672122316542473e-18,0.0
EX_inost(e),0.0,-0.000950857081782322
EX_k(e),-4.191558402061444e-12,0.0
EX_lac_D(e),0.0,-0.00017674212133839988
EX_lac_L(e),0.0,-0.0001767389255814504
EX_leu_L(e),-0.0012468776352007112,0.0
EX_lys_L(e),-0.0004820069455880735,0.0
EX_malt(e),-2.3102334251755866e-47,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00037514122271491184,0.0
EX_metala(e),9.90040604192877e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),8.986594495974048e-23,0.0
EX_mg2(e),-1.3292064600441301e-05,0.0
EX_mn2(e),-2.382997743918059e-11,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-1.9969564388468782e-05,0.0
EX_na1(e),1.6957255519208237e-37,0.0
EX_nac(e),-1.9969564985799645e-05,0.0
EX_nh4(e),0.299794260516284,0.0
EX_o2(e),0.0,-0.0007066585764247831
EX_ocdca(e),-0.00017278299820922233,0.0
EX_orn(e),0.1491897370249068,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0004002433736258958,0.0
EX_pheme(e),-1.9969564388468782e-05,0.0
EX_pi(e),1.9152031871887247e-22,0.0
EX_ppa(e),0.9988190435730613,0.0
EX_ppi(e),1.0131299116051135e-22,0.0
EX_pro_L(e),-0.0005828385267848579,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-1.9969564450149823e-05,0.0
EX_pydxn(e),-7.192332179620392e-49,0.0
EX_q8(e),0.0,0.0
EX_rib_D(e),-4.1676914599837075e-17,0.0
EX_ribflv(e),-3.9939129075602994e-05,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-5.2657353355574315e-18,0.0
EX_sheme(e),-1.9969564388468782e-05,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-1.9969564388468782e-05,0.0
EX_succ(e),2.0302656645065194e-17,0.0
EX_sucr(e),0.0,0.0
EX_thm(e),-1.996956459147934e-05,0.0
EX_thr_L(e),-0.0008517592701567659,0.0
EX_thymd(e),-0.00010300147853138812,0.0
EX_tre(e),2.3102334251755866e-47,0.0
EX_trp_L(e),-0.00017378364993719686,0.0
EX_tyr_L(e),-0.00026950204675374196,0.0
EX_ura(e),0.0,0.0
EX_uri(e),-0.0013423745458056835,0.0
EX_val_L(e),-0.001234094750883612,0.0
EX_xan(e),9.057273226121996e-23,0.0
EX_xyl_D(e),-0.001031722271755776,0.0
EX_zn2(e),-7.600032102281797e-08,0.0
