,fluxes,reduced_costs
biomass_dilution,0.011200220819005163,-0.1592058445676796
protein_biomass_to_biomass,0.005068158836799407,-4.456776661655098e-35
mRNA_biomass_to_biomass,1.3320471283876902e-05,2.037632230554128e-35
tRNA_biomass_to_biomass,7.779549070444269e-05,0.0
rRNA_biomass_to_biomass,0.000573715990507123,2.0861154302003149e-35
ncRNA_biomass_to_biomass,0.0,-2.1681247802795112e-35
tmRNA_biomass_to_biomass,0.0,-2.1681247802795112e-35
DNA_biomass_to_biomass,0.0006643310488335265,-2.1681247802795112e-35
lipid_biomass_to_biomass,0.0,-2.1681247802795112e-35
constituent_biomass_to_biomass,0.001947739961840792,-2.1681247802795112e-35
prosthetic_group_biomass_to_biomass,4.319673336327455e-06,-1.822587099425449e-35
peptidoglycan_biomass_to_biomass,0.0,-2.1681247802795112e-35
DM_4HBA,6.68482896349409e-10,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.0033506883322327622
DM_btn,0.0,0.0
DM_dad_5,0.0,0.0
DM_dhptd(c),5.975171022333208e-06,0.0
DM_kdo2lipid4L(c),0.005792869169556272,0.0
DM_pheme(c),0.0,0.0
EX_26dap_M(e),0.0,0.0
EX_2obut(e),-0.004678580070085449,0.0
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),1.012237322385479,0.0
EX_acgam(e),-1.0,-0.006699930134469025
EX_ade(e),5.975171022333208e-06,0.0
EX_adn(e),0.0,0.0
EX_adocbl(e),-3.230369840703035e-55,0.0
EX_ala_L(e),-0.016410545440873378,0.0
EX_arg_L(e),-0.0035871674734078165,0.0
EX_asn_L(e),-0.004389273984273922,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),-2.7097551685159023e-11,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.008435747603689422
EX_cellb(e),0.0,0.0
EX_cgly(e),-0.02521491894869374,0.0
EX_cholate(e),0.0,0.0
EX_chor(e),-0.007062171542315466,0.0
EX_chtbs(e),0.0,-0.013400082227673497
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.021765582967492245,0.0
EX_cobalt2(e),-8.746722955880191e-05,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.024545422675645138,0.0
EX_cytd(e),0.0,-0.23454720905990276
EX_dad_2(e),0.0,0.0
EX_dcyt(e),0.0,0.0
EX_ddca(e),-0.030919100685038777,0.0
EX_dgchol(e),0.0,-1.3092390967331575e-06
EX_dgsn(e),0.0,0.0
EX_din(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_fe2(e),-1.640495265293779e-11,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),0.0,0.0
EX_for(e),0.0008421943153173437,0.0
EX_galt(e),0.0,0.0
EX_gcald(e),0.0,-8.053418363650941e-07
EX_gchola(e),0.0,-1.3092390967331575e-06
EX_glc_D(e),-0.0016289601159161107,0.0
EX_gly(e),0.0,0.0
EX_gsn(e),0.0,0.0
EX_gua(e),-7.127999610061435e-55,0.0
EX_h(e),1.853864800158025,0.0
EX_h2(e),0.00768704588814962,0.0
EX_h2o(e),-1.7413284433857164,0.0
EX_h2s(e),-0.0012308275587502452,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_hxan(e),0.0,0.0
EX_ins(e),0.0,-0.2077402266420159
EX_isobut(e),0.0,0.0
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-2.375460023631905e-08,0.0
EX_lac_D(e),1.8877479540539157,0.0
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.005801136801574724,0.0
EX_lys_L(e),-0.004201734027805555,0.0
EX_malt(e),-1.1013357291965209e-44,0.0
EX_man(e),0.0,0.0
EX_mantr(e),0.0,0.0
EX_mg2(e),-0.00017333537015222318,0.0
EX_mn2(e),-9.230670138408906e-08,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.0,0.0
EX_ncam(e),0.0,0.0
EX_nh4(e),0.9694980155431371,0.0
EX_o2(e),0.0,-0.006700433051229287
EX_ocdca(e),0.0,0.0
EX_ocdcea(e),0.0,0.0
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_pheme(e),0.0,0.0
EX_pi(e),-0.018486257014267385,0.0
EX_ppa(e),0.0,-0.0033505902190610415
EX_ppi(e),0.0,-0.0033507515159692186
EX_ptrc(e),0.0,0.0
EX_pydx(e),-8.746793098837088e-05,0.0
EX_raffin(e),0.0,0.0
EX_ser_L(e),0.008614785932552401,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_stys(e),0.0,0.0
EX_succ(e),0.0,-0.0016761912774675895
EX_sucr(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,-1.3092390967331575e-06
EX_tdchola(e),0.0,-1.3092390967331575e-06
EX_thr_L(e),-0.018763633155982833,0.0
EX_thymd(e),0.0,0.0
EX_ttdca(e),0.0,0.0
EX_ura(e),3.350002889263672e-55,0.0
EX_urea(e),0.0,-0.0016744283740156255
EX_uri(e),0.0,0.0
EX_val_L(e),-0.005151820753222236,0.0
EX_xan(e),1.659434004013124e-55,0.0
EX_zn2(e),-9.013899205278891e-08,0.0
translation_547042.5.peg.25,0.0,-8.541727986337253e-33
transcription_TU_547042.5.peg.25,0.0,-431.9082397479355
translation_547042.5.peg.36,0.0,-7.165681591930948e-32
transcription_TU_547042.5.peg.36,0.0,-137.29833231793444
translation_547042.5.peg.37,-2.20874191665065e-60,-4.7538643709035077e-32
transcription_TU_547042.5.peg.37,0.0,-163.21666999739818
translation_547042.5.peg.38,0.0,-5.424160827119705e-33
transcription_TU_547042.5.peg.38,0.0,-45.9785543345923
translation_547042.5.peg.40,0.0,2.12952360794265e-33
transcription_TU_547042.5.peg.40,0.0,-121.80279678898218
translation_547042.5.peg.49,0.0,2.957685727689357e-30
transcription_TU_547042.5.peg.49,0.0,-88.04978769551329
translation_547042.5.peg.58,2.053734889036479e-16,-4.045445290218251e-29
transcription_TU_547042.5.peg.58,4.42042254304032e-17,1.940951322738265e-32
translation_547042.5.peg.59,5.214481787518097e-11,-8.63942134379817e-28
transcription_TU_547042.5.peg.59,1.1223558097429174e-11,-9.080526707137263e-33
translation_547042.5.peg.63,5.997049734555825e-10,-2.476296644660917e-32
transcription_TU_547042.5.peg.63,1.2907943464310338e-10,-1.8187397124319886e-32
translation_547042.5.peg.68,1.405456048762186e-10,-5.278165730373403e-33
transcription_TU_547042.5.peg.68,3.025078667342244e-11,1.635205040987312e-32
translation_547042.5.peg.80,0.0,-5.665698465527399e-33
transcription_TU_547042.5.peg.80,0.0,-201.40946077324557
translation_547042.5.peg.98,0.0,-5.949503732361847e-28
transcription_TU_547042.5.peg.98,0.0,-43.18326137051018
translation_547042.5.peg.101,0.0,-1.533573624277169e-28
transcription_TU_547042.5.peg.101,0.0,-41.91794519241269
translation_547042.5.peg.107,0.0,-1.7888091446794414e-32
transcription_TU_547042.5.peg.107,0.0,-155.7438239993926
translation_547042.5.peg.108,1.2297453842598634e-11,-2.7263040434731753e-34
transcription_TU_547042.5.peg.108,2.6468821500775144e-12,1.347470531627043e-32
translation_547042.5.peg.110,0.0,2.074567467701698e-33
transcription_TU_547042.5.peg.110,0.0,8.291671362117543e-34
translation_547042.5.peg.111,2.429242849868327e-10,9.605809665025989e-32
transcription_TU_547042.5.peg.111,5.228659216631115e-11,-9.729814987279374e-33
translation_547042.5.peg.112,2.429242849868327e-10,-4.049874363473801e-33
transcription_TU_547042.5.peg.112,5.228659216631115e-11,1.9798424190319108e-32
translation_547042.5.peg.117,0.0,5.421856614171301e-33
transcription_TU_547042.5.peg.117,0.0,-60.8870400103172
translation_547042.5.peg.121,0.0,1.1580655780524344e-31
transcription_TU_547042.5.peg.121,0.0,-437.1091068087197
translation_547042.5.peg.128,7.66260242618942e-10,1.47175170762178e-32
transcription_TU_547042.5.peg.128,1.649284953179832e-10,-7.1679688079807e-33
translation_547042.5.peg.129,7.794752619465682e-10,1.890435762339215e-32
transcription_TU_547042.5.peg.129,1.677728726353476e-10,-1.8554809981908447e-32
translation_547042.5.peg.130,0.0,7.524520639848445e-33
transcription_TU_547042.5.peg.130,0.0,-149.0125855694615
translation_547042.5.peg.131,0.0,1.585024355607773e-32
transcription_TU_547042.5.peg.131,0.0,-132.55863725361922
translation_547042.5.peg.132,0.0,1.5029462308362447e-29
transcription_TU_547042.5.peg.132,0.0,-52.630054443911014
translation_547042.5.peg.133,6.4620042208667e-10,2.872041326301938e-32
transcription_TU_547042.5.peg.133,1.3908703252610266e-10,5.91556198822934e-33
translation_547042.5.peg.138,1.7190869481593653e-10,-1.6767973235846954e-28
transcription_TU_547042.5.peg.138,3.7001322515659265e-11,-5.2544668121342574e-33
translation_547042.5.peg.139,9.007009805550874e-08,1.0824064728031428e-32
transcription_TU_547042.5.peg.139,1.938652812609208e-08,4.68121243950432e-33
translation_547042.5.peg.144,1.2254178074231788e-09,6.585989543626506e-34
transcription_TU_547042.5.peg.144,2.6375675504630557e-10,-5.424722706762461e-33
translation_547042.5.peg.154,8.455002952405349e-12,1.245642177753689e-33
transcription_TU_547042.5.peg.154,1.8198398367678122e-12,-5.8081226474549746e-33
translation_547042.5.peg.159,0.0,-6.284156673236565e-32
transcription_TU_547042.5.peg.159,0.0,-198.1777945422912
translation_547042.5.peg.164,2.898375234053177e-10,-2.225598605411347e-32
transcription_TU_547042.5.peg.164,6.238411438201388e-11,-8.893447691974912e-33
translation_547042.5.peg.165,4.806444041353048e-10,-4.134888935763934e-28
transcription_TU_547042.5.peg.165,1.034530489094761e-10,-1.2776016892463818e-32
translation_547042.5.peg.168,3.983449466460173e-07,-5.6932686190931306e-33
transcription_TU_547042.5.peg.168,8.573905967417062e-08,3.2099433942395576e-34
translation_547042.5.peg.172,3.287295563736463e-09,-9.768546716413728e-28
transcription_TU_547042.5.peg.172,7.075516656580007e-10,-2.242627751529706e-34
translation_547042.5.peg.174,3.481573173047247e-12,3.104052716536803e-29
transcription_TU_547042.5.peg.174,7.49367633648313e-13,1.5573500505829692e-32
translation_547042.5.peg.175,3.9834473482221385e-07,-1.8005399095358726e-32
transcription_TU_547042.5.peg.175,8.573901408159093e-08,5.007033856772999e-33
translation_547042.5.peg.176,3.983449466460173e-07,-2.5486000719430655e-32
transcription_TU_547042.5.peg.176,8.573905967417062e-08,-1.5403563101651086e-34
translation_547042.5.peg.177,3.983449466460173e-07,1.4343007367315315e-32
transcription_TU_547042.5.peg.177,8.573905967417062e-08,-3.5199223249854036e-33
translation_547042.5.peg.178,7.966896814682312e-07,-8.083612062939114e-34
transcription_TU_547042.5.peg.178,1.7147807375576154e-07,2.0999212807917693e-33
translation_547042.5.peg.179,9.007357962868179e-08,1.3808640976535557e-31
transcription_TU_547042.5.peg.179,1.938727749372573e-08,-4.39141456701701e-34
translation_547042.5.peg.180,9.007357962868179e-08,9.036668008766714e-32
transcription_TU_547042.5.peg.180,1.938727749372573e-08,2.1649888796447338e-32
translation_547042.5.peg.186,0.0,5.828506511340227e-28
transcription_TU_547042.5.peg.186,0.0,-64.02727547618505
translation_547042.5.peg.187,0.0,5.544311430278038e-30
transcription_TU_547042.5.peg.187,0.0,-146.29883671844513
translation_547042.5.peg.192,3.983449466460173e-07,-2.0274046998319906e-33
