,fluxes,reduced_costs
biomass_dilution,0.001069578533983779,-0.07284135666563288
protein_biomass_to_biomass,6.311698839846055e-06,0.0
mRNA_biomass_to_biomass,0.0006620793993005194,9.630794910008375e-36
tRNA_biomass_to_biomass,9.544577726176537e-08,1.1074177353935724e-35
rRNA_biomass_to_biomass,7.103883910284627e-07,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,6.344109963234185e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0003333865330470179,0.0
prosthetic_group_biomass_to_biomass,3.6383983501267212e-09,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2obut[c],0.0,-0.03027972941380397
DM_4HBA,0.0,-0.009705593452793235
DM_5DRIB,1.6984265372542018e-05,0.0
DM_5MTR,8.492132686271009e-06,0.0
DM_GCALD,0.0,-6.954165166522928e-09
DM_HQN,0.0,-0.0008693140847058333
DM_atp_c_,0.0,-0.000579525098086738
DM_clpn180(c),0.002209529342626656,0.0
DM_clpnai17(c),0.0,-8.224461134881164e-09
DM_clpni17(c),7.147029442744502e-05,0.0
DM_dad_5,0.0,-0.0021733078760909287
DM_dhptd(c),0.0,0.0
EX_4abz(e),0.0,0.0
EX_5mthf(e),0.1035063322878847,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),0.7124434218611799,0.0
EX_acald(e),0.0,0.0
EX_acgam(e),0.0,0.0
EX_ala_D(e),-0.00013908713689642343,0.0
EX_ala_L(e),-6.297853369063694e-06,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,-0.0002899659570297104
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-2.0441417709668117e-05,0.0
EX_asn_L(e),-4.3463468204186674e-06,0.0
EX_asp_L(e),-0.0004951015216463068,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.005693133729286573
EX_cellb(e),0.0,0.0
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.7449705520393333,0.0
EX_cobalt2(e),-8.49213270502109e-06,0.0
EX_csn(e),-0.0005861662900950314,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-8.901524816908407e-06,0.0
EX_ddca(e),-0.008927048609112039,0.0
EX_dextrin(e),0.0,-0.0046357871809112015
EX_dgchol(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_fe2(e),-8.492132687755712e-06,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.11117556857003824,0.0
EX_for(e),-0.10358783683055794,0.0
EX_fru(e),0.0,0.0
EX_gal(e),-0.14898579,-0.0002896449727042175
EX_galt(e),0.0,0.0
EX_gam(e),-0.00014757293001586903,0.0
EX_gcald(e),0.0,-1.152501360235104e-08
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.0008691983094145827
EX_gln_L(e),5.245830745625395e-55,0.0
EX_glu_L(e),0.0003859724285728782,0.0
EX_gly(e),-5.871215188450308e-06,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyc(e),0.0,0.0
EX_glyc3p(e),-0.007587851049155832,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.00028996613780196706
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.00014509721232180723
EX_glymet(e),0.0,-0.00014509681378940383
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gua(e),-0.0006746179052407666,0.0
EX_h(e),1.3416638367745395,0.0
EX_h2o(e),-0.6800239525409261,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-1.905778794874191e-06,0.0
EX_hxan(e),-0.0004722284687396291,0.0
EX_ile_L(e),-9.542028385903311e-05,0.0
EX_ind3ac(e),0.0,0.0
EX_k(e),-4.547999163912257e-10,0.0
EX_lac_D(e),0.0,-9.353445283691406e-39
EX_lac_L(e),1.7423644218101906,0.0
EX_lcts(e),-0.07449289,-0.0011588250703927622
EX_leu_L(e),-0.00038257591494263496,0.0
EX_lys_L(e),-7.107474600079113e-06,0.0
EX_malt(e),-0.07449289,-0.0017383643807438091
EX_malthx(e),0.0,-0.005215935856543896
EX_malttr(e),0.0,-0.0026077561791367394
EX_man(e),0.0,0.0
EX_mantr(e),0.0,-0.0020279991396161745
EX_met_D(e),0.0,0.0
EX_met_L(e),-1.951867373280527e-05,0.0
EX_metala(e),0.0,-0.00014509663301714719
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-9.962401185752508e-08,0.0
EX_mn2(e),-4.638091066135298e-10,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-8.498472253096408e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-8.492625196283886e-06,0.0
EX_nh4(e),1.0000155854183668,0.0
EX_o2(e),0.0,-0.0002897563958900298
EX_pb(e),0.0,0.0
EX_phe_L(e),-3.4733335709930863e-06,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-8.492935521844217e-06,0.0
EX_pro_L(e),-3.067578551598904e-06,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-8.492133187660661e-06,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-1.6984446067991103e-05,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.0001448574218375875
EX_sheme(e),-8.492132686271009e-06,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_stys(e),0.0,-0.0020283923989431684
EX_sucr(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thf(e),0.007643759884094738,0.0
EX_thm(e),-8.492132686271009e-06,0.0
EX_thr_L(e),-4.857048207895776e-06,0.0
EX_tre(e),-0.07449289,-0.001738378132621699
EX_trp_L(e),-7.844533955609777e-07,0.0
EX_tyr_L(e),-3.0437507872773354e-06,0.0
EX_ura(e),-0.0005544725756046256,0.0
EX_val_L(e),-6.010918599730653e-06,0.0
EX_xan(e),0.0,0.0
EX_zn2(e),-4.947051759173112e-09,0.0
translation_405566.17.peg.1,0.0,7.005224997015209e-32
transcription_TU_405566.17.peg.1,0.0,-0.5483782721211317
translation_405566.17.peg.2,0.0,-2.4466215041934236e-32
transcription_TU_405566.17.peg.2,0.0,-0.4373914976963452
translation_405566.17.peg.5,0.0,-3.807086348766654e-32
transcription_TU_405566.17.peg.5,0.0,-1.601887044268664e-32
translation_405566.17.peg.6,0.0,-6.41842710086681e-33
transcription_TU_405566.17.peg.6,0.0,-1.083850330288866
translation_405566.17.peg.7,4.876590360967775e-10,-5.820872858996143e-34
transcription_TU_405566.17.peg.7,1.0705769977117681e-09,-1.1888613760890654e-33
translation_405566.17.peg.8,0.0,-1.3782088995307408e-32
transcription_TU_405566.17.peg.8,0.0,-0.18970214436149083
translation_405566.17.peg.9,4.876590360967775e-10,2.0368831549806266e-33
transcription_TU_405566.17.peg.9,1.0705769977117681e-09,6.662492327943385e-34
translation_405566.17.peg.20,4.876590360967775e-10,-2.42034034641031e-33
transcription_TU_405566.17.peg.20,1.0705769977117681e-09,9.309559317610453e-34
translation_405566.17.peg.25,0.0,-2.3793387546443633e-32
transcription_TU_405566.17.peg.25,0.0,-0.2931508421390835
translation_405566.17.peg.43,0.0,6.012448172395895e-33
transcription_TU_405566.17.peg.43,0.0,-0.17185822891754982
translation_405566.17.peg.52,0.0,-4.170986345373579e-33
transcription_TU_405566.17.peg.52,0.0,-0.2346971970574226
translation_405566.17.peg.53,0.0,-5.901629191785284e-32
transcription_TU_405566.17.peg.53,0.0,-0.22045731606025598
translation_405566.17.peg.65,0.0,2.434992611346724e-32
transcription_TU_405566.17.peg.65,0.0,-0.33279998333866717
translation_405566.17.peg.66,4.876589865690939e-10,-3.1582799889899886e-32
transcription_TU_405566.17.peg.66,1.070576888981703e-09,1.4252189470535993e-33
translation_405566.17.peg.69,4.302872473760003e-26,-5.909641276119194e-33
transcription_TU_405566.17.peg.69,0.0,-0.33159527587743803
translation_405566.17.peg.104,1.964297634182905e-14,-3.1407650586532906e-32
transcription_TU_405566.17.peg.104,4.312299594913135e-14,-2.7503889897086227e-33
translation_405566.17.peg.105,1.964297634182905e-14,-4.607451006380217e-33
transcription_TU_405566.17.peg.105,4.312299594913135e-14,-6.656735798624486e-33
translation_405566.17.peg.112,0.0,7.559331395646562e-33
transcription_TU_405566.17.peg.112,0.0,-0.20487339425561696
translation_405566.17.peg.113,0.0,-2.2117228617005235e-32
transcription_TU_405566.17.peg.113,0.0,-0.5098851119133283
translation_405566.17.peg.122,0.0,1.2488633501877442e-33
transcription_TU_405566.17.peg.122,0.0,-0.1732273307656875
translation_405566.17.peg.124,0.0,1.0355198596396292e-32
transcription_TU_405566.17.peg.124,0.0,-0.17131518923784128
translation_405566.17.peg.125,0.0,-4.8418252278306096e-33
transcription_TU_405566.17.peg.125,0.0,-0.17922639446671476
translation_405566.17.peg.142,6.204783100646736e-12,2.303972520038442e-32
transcription_TU_405566.17.peg.142,1.362160356242191e-11,-8.698859264052489e-33
translation_405566.17.peg.150,0.0,5.2791471745336716e-33
transcription_TU_405566.17.peg.150,0.0,-0.36037657667875184
translation_405566.17.peg.156,0.0,8.156607752009027e-33
transcription_TU_405566.17.peg.156,0.0,-25.57914479658404
translation_405566.17.peg.165,0.0,-5.195890525270207e-32
transcription_TU_405566.17.peg.165,0.0,8.34871996136588e-33
translation_405566.17.peg.177,0.0,2.447262519001888e-32
transcription_TU_405566.17.peg.177,0.0,-0.7427695468940572
translation_405566.17.peg.180,0.0,6.200967832306975e-32
transcription_TU_405566.17.peg.180,0.0,-0.822714477858413
translation_405566.17.peg.216,0.0,-1.5922595172690965e-32
transcription_TU_405566.17.peg.216,0.0,-0.21389453740364883
translation_405566.17.peg.223,2.7874574733724077e-14,4.8127653289762496e-32
transcription_TU_405566.17.peg.223,6.11941465696545e-14,-2.858084944124924e-33
translation_405566.17.peg.230,0.0,1.5419595335580737e-32
transcription_TU_405566.17.peg.230,0.0,-0.5136090987745159
translation_405566.17.peg.231,0.0,-4.7756414623131334e-32
transcription_TU_405566.17.peg.231,0.0,-0.5333954206891499
translation_405566.17.peg.232,0.0,3.6416903917257773e-32
