,fluxes,reduced_costs
biomass_dilution,0.0022145252376632022,0.015624270762669501
protein_biomass_to_biomass,0.0009186642368173907,2.9442174490928657e-36
mRNA_biomass_to_biomass,2.418249895885648e-06,-2.6368795891780814e-36
tRNA_biomass_to_biomass,1.461986860811702e-05,0.0
rRNA_biomass_to_biomass,7.231904608475156e-05,-2.662372990525291e-36
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.000131352595200135,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0005580740793488238,0.0
prosthetic_group_biomass_to_biomass,3.285284983161811e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-2.744979531645849e-07
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-1.0307433864115538e-07
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],1.1538094448515491e-06,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-6.857277398424105e-06,0.0
EX_2obut(e),0.0,0.0
EX_34dhphe(e),0.0,0.0
EX_5htrp(e),0.0,0.0
EX_ac(e),0.49468097947934697,0.0
EX_acald(e),0.0,-7.904966169913232e-08
EX_acgam(e),0.0,0.0
EX_ade(e),0.0,0.0
EX_adn(e),-0.00019353505006344796,0.0
EX_akg(e),0.0,-6.745314600012678e-09
EX_ala_L(e),-0.49749721144126463,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-1.8927566133873507e-08
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.0005747949382459463,0.0
EX_asn_L(e),-0.0005442936025827468,0.0
EX_asp_L(e),-0.0007256699093115891,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.00030423515069136404
EX_cgly(e),-0.0008935763409863118,0.0
EX_chol(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.5015506468130247,0.0
EX_cobalt2(e),-6.857287617914324e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0007639146759359591,0.0
EX_cytd(e),0.0,-2.6324480839578466e-07
EX_dad_2(e),0.0,0.0
EX_dgsn(e),0.0,0.0
EX_dopa(e),0.0,0.0
EX_etoh(e),0.0,-1.1313115955260035e-07
EX_fe2(e),-1.8616327118177374e-11,0.0
EX_fe3(e),0.0,0.0
EX_for(e),0.0,0.0
