,fluxes,reduced_costs
biomass_dilution,0.0009025404122186025,-0.0010650088987041793
protein_biomass_to_biomass,5.2090189004472295e-05,1.3089576814296395e-36
mRNA_biomass_to_biomass,0.0006611677430949051,0.0
tRNA_biomass_to_biomass,8.230215233032622e-07,-2.5641328345338925e-37
rRNA_biomass_to_biomass,5.281292189528753e-06,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,5.353338197701051e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00010032414257944658,0.0
prosthetic_group_biomass_to_biomass,1.991053492035222e-08,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,1.1578473777323485e-12,0.0
DM_5DRIB,0.0,-0.00022798885867158418
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-6.082181709729438e-05
DM_btn,0.0,-6.0825674107603005e-05
DM_clpn140(c),0.0,-3.0151851891461825e-05
DM_clpn160(c),0.0,-3.0151851891461825e-05
DM_clpn180(c),0.0,-3.0151851225296714e-05
DM_clpni16(c),0.0,-0.0007295762797911345
DM_dad_5,0.0,-0.00022800408694976962
DM_dhptd(c),7.286124198700072e-08,0.0
DM_kdo2lipid4L(c),0.0,-0.00034963906884085663
DM_teich_45_BS(c),0.0,-0.009574932940126723
EX_34dhpha(e),0.0,0.0
EX_3hphac(e),0.0,0.0
EX_4hbz(e),1.2744735289059618e-55,0.0
EX_Cit_Mg(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),2.0837783496603968,0.0
EX_acald(e),0.0,-1.5139225885542022e-05
EX_acgam(e),3.304008600742364e-20,0.0
EX_adn(e),-0.21426693367243876,0.0
EX_adocbl(e),-9.175687890536387e-17,0.0
EX_akg(e),0.0,-1.9653605318597293e-08
EX_ala_D(e),-6.145203694741928e-05,0.0
EX_ala_L(e),0.0,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arg_L(e),-3.3332953933510755e-05,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-3.2071761894383715e-05,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),8.273172256886015e-51,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,-3.702577616349811e-39
EX_ca2(e),1.6683397704960304e-31,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.001212505484016541
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cit(e),-1.0,-1.5188007510019553e-05
EX_cl(e),0.0,0.0
EX_co2(e),2.063579234872024,0.0
EX_cobalt2(e),-7.048304935259301e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.3949333492157643e-05,0.0
EX_cytd(e),0.0022027398765155893,0.0
EX_dad_2(e),0.21345365476282854,0.0
EX_dcyt(e),0.0,0.0
EX_ddca(e),0.0,0.0
EX_dgsn(e),-0.0004978417226194934,0.0
EX_din(e),0.0,0.0
EX_dms(e),0.0,0.0
EX_dmso(e),0.0,-7.927292527161578e-09
EX_drib(e),0.0,0.0
EX_duri(e),0.0,-1.5166246948382621e-05
EX_ethso3(e),0.0,-1.5135368875233396e-05
EX_etoh(e),0.0,-1.5109005044601764e-05
EX_fe2(e),-2.2167315301652417e-11,0.0
EX_fe3(e),3.5575343825656457e-31,0.0
EX_for(e),4.467349760843781e-05,0.0
EX_fum(e),-0.2765636191912942,0.0
EX_gal(e),0.0,0.0
EX_galctn_D(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,0.0
EX_gcald(e),0.0,-3.0296768711296968e-05
EX_glc_D(e),0.0,0.0
EX_glcur(e),0.0,0.0
EX_gln_L(e),-3.401285826510379e-05,0.0
EX_glu_L(e),-5.5944506282125474e-05,0.0
EX_gly(e),0.2249100745658141,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,-7.796915827898431e-08
EX_glyc(e),0.0,0.0
EX_glyc3p(e),-0.2138739096401305,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-1.520020307575773e-05
EX_glymet(e),0.0,-1.5200226028093869e-05
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),-1.0,-1.516188657978203e-05
EX_h2(e),-3.260940960420493e-20,0.0
EX_h2o(e),-0.12510532926519724,0.0
EX_h2s(e),1.0440487148797639e-51,0.0
EX_hdca(e),0.0,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-1.6048993317513938e-05,0.0
EX_hxan(e),-0.20979813527090907,0.0
EX_ile_L(e),-5.080375219255162e-05,0.0
EX_ind3ac(e),0.0,0.0
EX_indole(e),0.08180937845405815,0.0
EX_ins(e),0.20979813527090907,0.0
EX_isetac(e),0.0,-3.0292911700988342e-05
EX_k(e),-4.004299587051456e-14,0.0
EX_lac_D(e),-2.0880974297595278e-50,6.993617415541623e-37
EX_leu_L(e),-7.374438668457152e-05,0.0
EX_lys_L(e),-4.098744377251352e-05,0.0
EX_mal_L(e),0.0,-5.184973187196961e-09
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-2.777639407499969e-05,0.0
EX_metala(e),0.0,-1.521189087075709e-05
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),2.0880974297595278e-51,0.0
EX_mg2(e),-7.24215641935053e-07,0.0
EX_mn2(e),-6.584525839569004e-10,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,-1.5131874227442875e-05
EX_na1(e),0.0,0.0
EX_nac(e),1.0020905810828705e-48,0.0
EX_nh4(e),0.08828746263060587,0.0
EX_nmn(e),-7.0483028042378896e-06,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-3.041382065790433e-05
EX_o2(e),0.0,-0.00012165151680768202
EX_ocdca(e),-2.2374439395914655e-44,0.0
EX_orn(e),-3.082264153807386e-37,0.0
EX_oxa(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-2.7383038939242186e-05,0.0
EX_phpyr(e),0.00911982421991279,0.0
EX_pi(e),0.1817370299454241,0.0
EX_pnto_R(e),-7.048299095179954e-06,0.0
EX_ppa(e),0.0,-1.5143707476957107e-05
EX_ppi(e),0.014840921346061535,0.0
EX_pppn(e),0.0,0.0
EX_pro_L(e),-2.8180059618300508e-05,0.0
EX_ptrc(e),-1.0440487148797639e-51,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-7.048713341562075e-06,0.0
EX_pydxn(e),0.0,0.0
EX_rib_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-4.155942283272236e-05,0.0
EX_so4(e),-2.5361989139531693e-24,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.2856453672743544,0.0
EX_sulfac(e),0.0,-2.2624789951489545e-08
EX_taur(e),0.0,-1.5134977889292279e-05
EX_tet(e),0.0,0.0
EX_thm(e),0.0,0.0
EX_thr_L(e),-0.225,-1.510586509836092e-05
EX_thymd(e),-5.0417650865365254e-05,0.0
EX_tma(e),0.0,-1.5146245266637614e-05
EX_tmao(e),0.0,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.08181818,-1.5153919665420313e-05
EX_tsul(e),0.0,-3.812542549427438e-08
EX_ttdca(e),1.2744735289059618e-55,0.0
EX_tyr_L(e),-0.009142523671532912,0.0
