,fluxes,reduced_costs
biomass_dilution,0.0010013718654906802,-0.019868664250085846
protein_biomass_to_biomass,0.000405826408514224,5.258757789737156e-36
mRNA_biomass_to_biomass,1.0852339761968975e-06,-2.253548953655522e-36
tRNA_biomass_to_biomass,6.61261466792202e-06,-2.002657211050485e-36
rRNA_biomass_to_biomass,4.671445624748236e-05,-2.4002410923961964e-36
ncRNA_biomass_to_biomass,0.0,-2.4610258135268916e-36
tmRNA_biomass_to_biomass,0.0,-2.4610258135268916e-36
DNA_biomass_to_biomass,5.939548174288978e-05,-2.4610258135268916e-36
lipid_biomass_to_biomass,0.0,-2.4610258135268916e-36
constituent_biomass_to_biomass,0.0002523519138166251,-2.4610258135268916e-36
prosthetic_group_biomass_to_biomass,1.1084017360890513e-06,0.0
peptidoglycan_biomass_to_biomass,0.0,-2.4610258135268916e-36
DM_4HBA,0.0,-4.935247403655977e-07
DM_5DRIB,0.0,-1.471896273583295e-07
DM_5MTR,0.0,-1.5262406820245799e-07
DM_GCALD,0.0,-4.4983595193503664e-07
DM_atp_c_,0.0,-5.437453944665352e-08
DM_dad_5,0.0,-1.3811571383429713e-07
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.17703423899507834,0.0
EX_26dap_M(e),-0.00013012884552763863,0.0
EX_2dmmq8(e),4.304788882405838e-39,0.0
EX_2hyoxplac(e),0.0,-1.4599741576676244e-07
EX_2obut(e),-0.17704790715021046,0.0
EX_34dhphe(e),0.0,0.0
EX_3mop(e),-0.9203801889384109,0.0
EX_4abz(e),2.7894576995531404e-33,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,0.0
EX_Lcyst(e),6.979677159270016e-22,0.0
EX_Lkynr[e],0.0,0.0
EX_ac(e),1.2606203316931401,0.0
EX_acac(e),0.0,-6.866295314380434e-08
EX_acgam(e),0.0,0.0
EX_ade(e),0.0005565467755149758,0.0
EX_adn(e),-0.0006800351919680045,0.0
EX_adocbl(e),-3.100747981491891e-06,0.0
EX_ala_D(e),-4.556336396033434e-05,0.0
EX_ala_L(e),-1.0,-5.516663980063879e-09
EX_alaasp(e),1.506668981076241e-22,0.0
EX_alagln(e),1.506668981076241e-22,0.0
EX_alaglu(e),1.506668981076241e-22,0.0
EX_alagly(e),1.506668981076241e-22,0.0
EX_alahis(e),1.506668981076241e-22,0.0
EX_alaleu(e),1.506668981076241e-22,0.0
EX_alathr(e),1.506668981076241e-22,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.0004068125104437776,0.0
EX_asn_L(e),-0.00017906833486505146,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),0.07337961290408307,0.0
EX_bhb(e),0.0,-6.879458101403414e-08
EX_biomass(e),0.0,0.0
EX_but(e),0.0,-3.4440428889121955e-08
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.001681266013971735
EX_cgly(e),0.0,0.0
EX_chol(e),-1.209590789600102e-31,0.0
EX_cit(e),-0.07396433795823956,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.001049080554425706,0.0
EX_cobalt2(e),-3.1007501683246157e-06,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cynt(e),0.0,0.0
EX_cys_L(e),-0.00011550525220586794,0.0
EX_cytd(e),0.012839804028172355,0.0
EX_dad_2(e),0.0,0.0
EX_dgsn(e),-5.5082367622457905e-05,0.0
EX_dhcinnm(e),0.0,0.0
EX_dhpppn(e),0.0,0.0
EX_dopa(e),0.0,-9.839391681536333e-09
EX_ethso3(e),9.635255461522232e-23,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-5.508350171691881e-14,0.0
EX_fecrm(e),0.0,0.0
EX_fol(e),-9.302243944475673e-06,0.0
EX_for(e),1.18926364866817,0.0
EX_fru(e),-2.0686340285949302e-05,0.0
EX_fum(e),-0.0001368780402196457,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-1.4016742085284502e-05,0.0
EX_gcald(e),0.0,-4.4555658498849526e-07
EX_glc_D(e),0.0,0.0
EX_gln_L(e),0.005105606726064963,0.0
EX_glu_L(e),-0.005735655759051986,0.0
EX_gly(e),-0.00044302553770710534,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-2.8451620689927636e-06,0.0
EX_glyc3p(e),-0.0002348653354614974,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-6.066979997954837e-09
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-3.100747981491891e-06,0.0
EX_gua(e),-1.3890004884096624e-05,0.0
EX_h(e),1.1574501705377955,0.0
EX_h2o(e),-1.0278311192821947,0.0
EX_h2s(e),-0.1769315982513753,0.0
EX_hdca(e),8.495193054382563e-23,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00011913742134291713,0.0
EX_hista(e),0.0,-9.839391681536333e-09
EX_hxan(e),0.0,0.0
EX_ile_L(e),0.920003103169395,0.0
EX_ind3ac(e),0.0,-1.4620395308103762e-07
EX_indole(e),0.08176041799575136,0.0
EX_ins(e),0.0,-3.3105387998425533e-08
EX_isetac(e),0.0,-4.480939640549349e-07
EX_k(e),-1.056658459218545e-12,0.0
EX_lac_D(e),0.0,-3.1008177224235425e-08
EX_lac_L(e),0.0,-3.326326639119753e-08
EX_leu_L(e),-0.0007487442051632727,0.0
EX_lys_L(e),-3.214573717242386e-05,0.0
EX_mal_L(e),0.0,-1.9919282840463457e-08
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00014820241285052417,0.0
EX_metala(e),1.506668981076241e-22,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-5.688930916533653e-06,0.0
EX_mn2(e),-1.2253310115389472e-10,0.0
EX_mnl(e),0.0,0.0
EX_mops(e),0.0,0.0
EX_mqn8(e),-6.201495962983782e-06,0.0
EX_mso3(e),0.0,-1.2193858053964686e-09
EX_n2(e),0.0,0.0
EX_n2o(e),0.0,-9.016769747720004e-10
EX_na1(e),-2.57367423260182e-38,0.0
