,fluxes,reduced_costs
biomass_dilution,0.0010791895731691909,-0.030277465710968385
protein_biomass_to_biomass,0.0005548619153358517,-1.5983698147060182e-35
mRNA_biomass_to_biomass,1.4905618126841537e-06,0.0
tRNA_biomass_to_biomass,9.03480069485882e-06,0.0
rRNA_biomass_to_biomass,1.7014804561601563e-05,0.0
ncRNA_biomass_to_biomass,0.0,-4.9851273308195056e-36
tmRNA_biomass_to_biomass,0.0,-4.9851273308195056e-36
DNA_biomass_to_biomass,6.401116987508215e-05,-4.9851273308195056e-36
lipid_biomass_to_biomass,0.0,-4.9851273308195056e-36
constituent_biomass_to_biomass,0.00011996002300078107,-4.9851273308195056e-36
prosthetic_group_biomass_to_biomass,7.064705119147479e-07,-4.266946111586305e-36
peptidoglycan_biomass_to_biomass,0.0,-4.9851273308195056e-36
DM_2HYMEPH,0.0,0.0
DM_4HBA,0.0,-3.456760537727485e-07
DM_5DRIB,0.0,-0.04855542803163907
DM_5MTR,0.0,-0.048555286092152955
DM_AMOB,0.0,-0.09711112587306224
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-3.1842016673817714e-08
DM_btn,0.0,0.0
DM_clpn140(c),0.0,-6.828029871451588e-08
DM_clpn160(c),0.0,-6.828029871451588e-08
DM_clpn180(c),0.0,-6.828029871451588e-08
DM_clpni16(c),0.0,-5.33708287904984e-07
DM_dad_5,0.0,-0.048555429800927995
DM_dhptd(c),8.892333301880614e-07,0.0
DM_kdo2lipid4L(c),0.0,-1.1367097205197311e-06
EX_12ppd_S(e),0.0,-6.501730671965838e-10
EX_2ddglcn(e),0.0,-1.0739812164519545e-07
EX_34dhpha(e),0.0,-4.5938593229147815e-08
EX_3hphac(e),0.0,-4.960220699577643e-08
EX_4hbz(e),0.0,0.0
EX_4hoxpacd(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),1.230006841657897,0.0
EX_acald(e),0.0,-1.4982300668473605e-08
EX_acgam(e),0.0,0.0
EX_actn_R(e),0.0,-2.5484067661586055e-08
EX_adn(e),-3.981801579595053e-05,0.0
EX_adocbl(e),-3.876003477542691e-13,0.0
EX_akg(e),0.0,-1.591326229406133e-08
EX_ala_D(e),-4.34621607114052e-05,0.0
EX_ala_L(e),-2.8911433176834397e-05,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,-1.515955364104325e-08
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-0.0672820195399631
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),-3.7644259713366704e-06,0.0
EX_arbt(e),0.0,-8.15615965699108e-08
EX_arg_L(e),-0.00042747085467580577,0.0
EX_asn_L(e),-0.0003358234911678329,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-2.657278974814391e-05,0.0
EX_biomass(e),0.0,0.0
EX_btd_RR(e),0.0,-1.3432633419373279e-08
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0032567456349406085
EX_cellb(e),-2.1114270890489075e-05,0.0
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cit(e),-0.6078437306678434,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.2303792674688905,0.0
EX_cobalt2(e),-8.427832879320656e-06,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0001140045602342428,0.0
EX_cytd(e),0.015865841279385434,0.0
EX_dad_2(e),0.0,0.0
EX_dcyt(e),0.0,0.0
EX_ddca(e),0.0,0.0
EX_dgsn(e),0.0,0.0
EX_diact(e),0.0,-3.5233235528730586e-08
EX_din(e),0.0,-0.04855522032391944
EX_dms(e),0.0,0.0
EX_dmso(e),0.0,-2.801448107893861e-09
EX_drib(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_ethso3(e),0.0,-2.2137673948946182e-07
EX_etoh(e),0.0,-5.889845740252665e-09
EX_fe2(e),-3.9057951812422824e-13,0.0
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,-2.104807788625002e-08
EX_for(e),0.00023983213486609867,0.0
EX_fru(e),-0.00012057527599014314,0.0
EX_fuc1p_L(e),3.311931163481251e-32,0.0
EX_fuc_L(e),0.0,0.0
EX_fum(e),4.9491308665766874e-05,0.0
EX_g6p(e),0.0,-3.006730171756985e-08
EX_gal(e),6.372367644529809e-56,0.0
EX_galct_D(e),0.0,-1.0960732369380645e-07
EX_galctn_D(e),0.0,-2.0300077906029575e-07
EX_galur(e),0.0,-1.346386853803205e-07
EX_gam(e),-1.2272002368967275e-05,0.0
EX_gcald(e),2.058554014197542e-05,0.0
EX_glc_D(e),0.0,0.0
EX_glcn(e),-0.0002961978538933667,0.0
EX_glcr(e),0.0,-1.1896586173076573e-07
EX_glcur(e),0.0,-2.1781241696345974e-07
EX_gln_L(e),-0.0004328083443596412,0.0
EX_glu_L(e),-2.7130092153309556e-05,0.0
EX_gly(e),-0.000178603946667289,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),1.3612665810120897e-05,0.0
EX_glyc3p(e),-2.838342745217016e-05,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-5.431348897679183e-09
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-5.822159438625468e-09
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gsn(e),0.0,-2.00059286156807e-07
EX_h(e),-0.6436928693813249,0.0
EX_h2(e),0.0,0.0
EX_h2o(e),0.07793581146829859,0.0
EX_h2s(e),-0.0001878654890643078,0.0
EX_hdca(e),0.0,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-6.10535107413057e-05,0.0
EX_hxan(e),-2.619323101964449e-05,0.0
EX_ile_L(e),-0.0004938787764718665,0.0
EX_ins(e),0.0,-0.048555231065954954
EX_isetac(e),0.0,-2.063944388209882e-07
EX_k(e),-3.3274552285910356e-13,0.0
EX_lac_D(e),0.0,-1.6138595300716016e-10
EX_lac_L(e),0.0,0.0
EX_leu_L(e),-0.0006882966269151886,0.0
EX_lys_L(e),-0.00039543357811904357,0.0
EX_mal_L(e),5.6680925531757184e-05,0.0
EX_malt(e),-0.00010929327470260109,0.0
EX_malthx(e),0.0,-9.644420079830999e-09
EX_malttr(e),0.0,0.0
EX_man(e),-2.5077811542518625e-05,0.0
EX_man6p(e),0.0,-4.120486567131463e-08
EX_melib(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-1.9605102716334497e-09
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-7.803115688895473e-06,0.0
EX_mn2(e),-3.2939499986359953e-06,0.0
EX_mnl(e),-2.4486286575063012e-05,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,-1.9255867506240887e-07
EX_na1(e),4.083165609682537e-39,0.0
EX_nac(e),0.0,0.0
EX_nh4(e),0.0,-1.4135161029586172e-08
EX_ni2(e),0.0,0.0
EX_nmn(e),-8.427829074561409e-06,0.0
EX_no2(e),0.6171358632756643,0.0
EX_no3(e),-0.6171925078100493,0.0
EX_o2(e),0.0,-4.169252111316076e-09
EX_ocdca(e),0.0,0.0
EX_orn(e),-0.00035265082233174,0.0
EX_oxa(e),0.0,0.0
EX_pac(e),0.0,-9.717816998090342e-08
EX_pb(e),0.0,0.0
EX_phe_L(e),0.0,0.0
EX_pi(e),-0.000506504049060913,0.0
EX_pnto_R(e),-8.42782305270748e-06,0.0
EX_ppi(e),0.0,-1.69264355040707e-08
EX_pppn(e),0.0,-2.6394747548550367e-08
