,fluxes,reduced_costs
biomass_dilution,0.0010058026241656051,-0.02948488679594135
protein_biomass_to_biomass,0.0004079624120554182,1.0960346179457511e-35
mRNA_biomass_to_biomass,1.0965321938769518e-06,0.0
tRNA_biomass_to_biomass,6.599381956023069e-06,0.0
rRNA_biomass_to_biomass,4.7129375296911856e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,5.965828825367937e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00025346849245220425,0.0
prosthetic_group_biomass_to_biomass,4.092851763186841e-07,8.577631116447398e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,0.0
DM_5MTR,0.0,-1.627102294981601e-07
DM_atp_c_,0.0,-4.892963038523834e-08
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-1.2514292160928605e-07
EX_26dap_M(e),0.0,0.0
EX_34dhphe(e),0.0,0.0
EX_5htrp(e),0.0,0.0
EX_ac(e),0.4197504555286242,0.0
EX_acald(e),0.0003938379273151243,0.0
EX_acgam(e),0.0,0.0
EX_adn(e),-0.00017053600668246501,0.0
EX_akg(e),0.0,-5.016114312814493e-07
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.0008765219893336117,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.00034758420722545144,0.0
EX_asn_L(e),-0.03757090008332787,0.0
EX_asp_L(e),-0.225,-1.2335190460522425e-08
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.003060287964344246
EX_cit(e),-2.0767041176540954e-13,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.8438030608758416,0.0
EX_cobalt2(e),-3.114470224622474e-06,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-6.710623386858521e-08
EX_dad_2(e),5.191295302356777e-06,0.0
EX_dcyt(e),-5.322547063001254e-05,0.0
EX_dgsn(e),-5.624130947074689e-05,0.0
EX_din(e),0.0,0.0
EX_dopa(e),0.0,-2.698815688215719e-09
EX_duri(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-1.0383520588270477e-13,0.0
EX_fol(e),-9.343403477186388e-06,0.0
EX_fru(e),-3.742497002650751e-05,0.0
EX_fum(e),-1.0,-1.7678323815232447e-08
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-8.249336500056948e-06,0.0
EX_glc_D(e),-0.0008735691689151611,0.0
EX_gln_L(e),-0.0006271468421604305,0.0
EX_glu_L(e),-3.687092889671892e-05,0.0
EX_gly(e),-0.000761297573215072,0.0
EX_glyc(e),-5.739718509874451e-40,0.0
EX_gsn(e),0.0,-2.3452231899775927e-08
EX_gthox(e),-1.557233912864398e-06,0.0
EX_h(e),-0.46508116198110205,0.0
EX_h2o(e),-0.8279077820598967,0.0
EX_h2s(e),-3.188034289271148e-05,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_hista(e),6.295795763328204e-06,0.0
EX_hxan(e),-2.832232537198134e-05,0.0
EX_ile_L(e),-0.00042207347324025625,0.0
EX_ins(e),7.459571392272199e-05,0.0
EX_k(e),-2.459861118537596e-13,0.0
EX_lac_D(e),0.0,-2.3276628631740874e-08
EX_lac_L(e),0.0,-2.8511557623781666e-08
EX_leu_L(e),-0.0006998070759535676,0.0
EX_lys_L(e),-0.00024760814082560906,0.0
EX_mal_L(e),0.0,-2.5820795109450975e-08
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
