,fluxes,reduced_costs
biomass_dilution,0.0010013021655902485,-0.012869854099572193
protein_biomass_to_biomass,0.0003835954208952009,7.903957544813137e-36
mRNA_biomass_to_biomass,9.848381497937112e-07,0.0
tRNA_biomass_to_biomass,5.753200410341442e-06,0.0
rRNA_biomass_to_biomass,2.345970566597219e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,5.939134755527576e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0003121048589814599,0.0
prosthetic_group_biomass_to_biomass,2.403696786540993e-07,2.1253618195792187e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,-9.608341323992779e-08
DM_5MTR,0.0,0.0
DM_HQN,0.0,-9.608341323992779e-08
DM_atp_c_,0.0,-9.985137596899932e-08
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],5.026226673237233e-07,0.0
EX_26dap_M(e),-0.0004204130639524216,0.0
EX_2dmmq8(e),-7.950038804136896e-06,0.0
EX_2obut(e),-0.0008183818581522676,0.0
EX_34dhpha(e),0.0,-1.1840748484070208e-07
EX_3hphac(e),-8.412395271974798e-38,0.0
EX_ac(e),1.9909055751908584,0.0
EX_acald(e),1.8433448528940586e-05,0.0
EX_acgam(e),-0.00013020853257162342,0.0
EX_ade(e),0.7273891538075948,0.0
EX_adocbl(e),-7.950038804136896e-06,0.0
EX_ala_L(e),-0.003379285382378559,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.00025100475450702,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.00018907556060105308,0.0
EX_asp_L(e),-0.002127247231214647,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
