,fluxes,reduced_costs
biomass_dilution,0.02969256498783269,-0.45652448169366544
protein_biomass_to_biomass,0.010979880148564415,-2.091885640704119e-34
mRNA_biomass_to_biomass,3.0015079595367833e-05,-8.018448470214815e-35
tRNA_biomass_to_biomass,0.0001812067291634756,0.0
rRNA_biomass_to_biomass,0.0013050147564675244,-8.784283603149506e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.001761177433499812,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00925514208077491,0.0
prosthetic_group_biomass_to_biomass,3.946176199700673e-06,-6.57065112951346e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,-1.827283562208419e-07
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-1.6518181726375984e-06
DM_dhptd(c),1.345899792302645e-05,0.0
DM_hcys_L[c],0.0,-9.779534024393741e-08
EX_26dap_M(e),0.0,0.0
EX_2ddglcn(e),0.0,0.0
EX_2dmmq8(e),-0.00023575005823389517,0.0
EX_2obut(e),-0.9896623891658801,0.0
EX_34dhphe(e),0.0,-1.211496307520018e-38
EX_5htrp(e),0.0,-1.211496307520018e-38
EX_ac(e),1.414730300003031,0.0
EX_acald(e),0.0,-8.721693762718192e-07
EX_acgam(e),-0.0038611973969657726,0.0
EX_ade(e),0.03254741199558772,0.0
EX_ala_L(e),-0.016613152648766075,0.0
EX_alaasp(e),0.0,-4.738699801864265e-07
EX_alagln(e),3.689519288452673e-23,0.0
EX_alaglu(e),3.591704834588167e-23,0.0
EX_alagly(e),3.69660353943323e-23,0.0
EX_alahis(e),3.4518019849314554e-23,9.292608676779367e-36
EX_alaleu(e),0.0,-5.23538293584654e-07
EX_alathr(e),0.0,0.0
EX_amp(e),-0.39207931951857766,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.009403294954409445,0.0
EX_asn_L(e),-0.225,-5.661754356401588e-07
EX_asp_L(e),-0.225,-9.797333943167979e-07
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.02583426330724083
EX_cellb(e),0.0,0.0
EX_cgly(e),-0.00023575005823389517,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.6899987087733525,0.0
EX_cobalt2(e),-0.00023575021441168224,0.0
EX_csn(e),-0.0026471889625972883,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0014871582482235302,0.0
EX_cytd(e),0.0,-9.681913693382904e-07
EX_dad_2(e),0.3560913974573027,0.0
EX_dcyt(e),-0.001318922139064765,0.0
EX_dgsn(e),1.5782691432682754e-17,0.0
EX_dopa(e),0.0,0.0
EX_etoh(e),0.0,-8.646134720864354e-07
EX_fe2(e),-6.366387989821281e-11,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.0007072501747016855,0.0
EX_for(e),2.414337542117831,0.0
EX_fru(e),6.84572184143297e-23,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),0.0,-2.0298791048163338e-06
EX_gln_L(e),0.1617696788390325,0.0
EX_glu_L(e),-0.18,-1.0474254549360605e-07
EX_gly(e),-0.010610174229703775,0.0
EX_glyasn(e),0.0,-6.031202150978751e-08
EX_glyasp(e),0.0,-4.738699801864265e-07
EX_glyc(e),0.0007649190744210543,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),3.69660353943323e-23,0.0
EX_glyglu(e),3.69660353943323e-23,0.0
EX_glyleu(e),0.0,-1.550742342966067e-06
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),3.69660353943323e-23,0.0
EX_gsn(e),0.0,-7.938868737319083e-08
EX_gua(e),-0.002470089512018761,0.0
EX_h(e),1.637628012609012,0.0
EX_h2o(e),-2.635001152725826,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-1.2228932016030264e-38
EX_hista(e),0.14705978570509362,0.0
EX_hxan(e),7.46736947154232e-23,0.0
EX_ile_L(e),-0.011646273549792337,0.0
EX_inulin(e),2.696973057355637e-38,0.0
EX_k(e),-1.4585345272579102e-08,0.0
EX_lac_D(e),0.0,-5.142852256301204e-07
EX_lac_L(e),0.0,-4.786011362790404e-07
EX_lcts(e),-1.4627152980575507e-17,0.0
EX_leu_L(e),-0.014320325974763194,0.0
EX_lys_L(e),-0.007431706490173491,0.0
EX_malt(e),0.0,0.0
EX_man(e),8.285561746492018e-37,0.0
EX_met_L(e),-0.003795089738773932,0.0
EX_metala(e),3.8211424169500455e-23,0.0
EX_mg2(e),-0.0001537211389781206,0.0
EX_mn2(e),-1.7808798592083285e-08,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-0.00023575005823389517,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0002357501609197763,0.0
EX_nh4(e),1.4835686122714322,0.0
EX_o2(e),0.0,-7.827237269670359e-06
EX_ocdca(e),-0.0024688061314523417,0.0
EX_orn(e),-0.00023575005823389517,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.006368518974150492,0.0
EX_pheme(e),-0.00023575005823389517,0.0
EX_pi(e),0.36063371362863705,0.0
EX_pnto_R(e),-0.00023575005823389517,0.0
EX_ppa(e),0.9896758481638032,0.0
EX_ppi(e),0.0,-9.727284562325988e-07
EX_pro_L(e),-0.006273693745544281,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.00023575006715582358,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-0.00047150016781073094,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-1.0,-2.7303617627863563e-07
EX_sheme(e),-0.00023575005823389517,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.00023575005823389517,0.0
EX_srtn(e),0.0,0.0
EX_succ(e),0.0,-1.5229741994891357e-06
EX_sucr(e),0.0,0.0
EX_thm(e),-0.00023575085210037437,0.0
EX_thr_L(e),-0.006170645359240593,0.0
EX_thymd(e),-0.0015408771263359794,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.08181818,-1.1979659821166184e-38
EX_trypta(e),0.07814003854512543,0.0
EX_tym(e),0.02484495211526195,1.2035780310002794e-38
EX_tyr_L(e),-0.031423158261287644,0.0
EX_ura(e),0.0,0.0
EX_val_L(e),-0.010817420689133635,0.0
EX_xan(e),-1.5470344844678877e-56,0.0
EX_zn2(e),-8.59208747277692e-08,-99270.25099750358
translation_g.1956.peg.0,-2.2134413876139159e-63,9.552740446183977e-33
transcription_TU_g.1956.peg.0,-2.821168350277525e-64,0.0
translation_g.1956.peg.1,0.0,-6.962190614358045e-33
transcription_TU_g.1956.peg.1,0.0,-203.23650646592648
translation_g.1956.peg.2,8.592650493663184e-08,-3.0120667157377676e-29
transcription_TU_g.1956.peg.2,7.307896219117649e-09,0.0
translation_g.1956.peg.5,5.656928616785324e-25,6.904059613363989e-33
transcription_TU_g.1956.peg.5,0.0,-798.0259526517125
translation_g.1956.peg.6,0.0,4.3842888733454686e-33
transcription_TU_g.1956.peg.6,0.0,-3.569606930242211e-32
translation_g.1956.peg.8,0.0,-3.1673737172120135e-33
transcription_TU_g.1956.peg.8,0.0,-11.46634708013543
translation_g.1956.peg.13,9.653170243089422e-11,2.2850353121769033e-34
transcription_TU_g.1956.peg.13,8.20984937930345e-12,-1.5372155701838265e-32
translation_g.1956.peg.17,8.972665282017635e-07,1.2072997451225065e-32
transcription_TU_g.1956.peg.17,7.631092028963786e-08,0.0
translation_g.1956.peg.19,8.526981524869556e-64,1.6267804795458163e-32
transcription_TU_g.1956.peg.19,0.0,-292.56442564567766
translation_521095.5.peg.22,7.994770899363973e-11,4.151352406456216e-34
transcription_TU_521095.5.peg.22,6.799410271750304e-12,1.1077950342618289e-32
translation_g.1956.peg.25,1.264906118674427e-12,-8.538414612652251e-33
transcription_TU_g.1956.peg.25,1.0757801273328463e-13,5.406178209700554e-32
translation_g.1956.peg.26,0.0,-1.4441605215371058e-32
transcription_TU_g.1956.peg.26,0.0,-280.5743081509755
translation_g.1956.peg.30,1.8825634790699856e-15,-9.387934768524723e-33
transcription_TU_g.1956.peg.30,1.601086712544669e-16,0.0
translation_g.1956.peg.31,0.0,1.1072380468451558e-33
transcription_TU_g.1956.peg.31,0.0,3.4430110103659846e-32
translation_g.1956.peg.33,3.5459235588721076e-09,4.5121145893566906e-33
transcription_TU_g.1956.peg.33,3.015744837785721e-10,-3.642020124703604e-32
translation_g.1956.peg.34,0.0,-9.067546585555528e-33
transcription_TU_g.1956.peg.34,0.0,-3.389509249269341e-32
translation_g.1956.peg.36,0.0,8.284424060473955e-33
transcription_TU_g.1956.peg.36,0.0,-270.98212658052796
translation_g.1956.peg.40,0.0,-3.371855416634446e-33
transcription_TU_g.1956.peg.40,0.0,0.0
translation_g.1956.peg.41,-9.161621999316342e-44,4.624094396498528e-33
transcription_TU_g.1956.peg.41,-1.2990311304267788e-44,3.191117448496736e-32
translation_g.1956.peg.45,1.8798321551395053e-08,-1.0835178539391231e-32
transcription_TU_g.1956.peg.45,1.5987637701836986e-09,4.4269979727394847e-32
translation_g.1956.peg.48,0.0,1.8689482773162195e-32
transcription_TU_g.1956.peg.48,0.0,-305.75405630393755
translation_g.1956.peg.49,1.8798321551395053e-08,2.0296534933558193e-32
transcription_TU_g.1956.peg.49,1.5987637701836986e-09,-6.414880812786123e-32
translation_g.1956.peg.51,1.8102604819879763e-11,-3.44108313176835e-33
transcription_TU_g.1956.peg.51,1.539594301164018e-12,-4.3166678051945755e-32
translation_g.1956.peg.56,0.0,7.435374536322483e-33
transcription_TU_g.1956.peg.56,0.0,-269.183450775254
translation_g.1956.peg.59,6.082616146055834e-12,3.361753380873523e-33
transcription_TU_g.1956.peg.59,5.173156707454439e-13,0.0
translation_521095.5.peg.63,0.0,-1.9037008358780486e-33
transcription_TU_521095.5.peg.63,0.0,-5.102770248952054e-32
translation_g.1956.peg.65,0.0,-2.476182678554486e-33
transcription_TU_g.1956.peg.65,0.0,2.8724602428132616e-32
translation_g.1956.peg.66,5.407357705906279e-09,1.122285441160727e-33
transcription_TU_g.1956.peg.66,4.598861429724311e-10,0.0
translation_g.1956.peg.67,0.0,-8.26590362757589e-33
transcription_TU_g.1956.peg.67,0.0,-255.99407832567198
translation_g.1956.peg.74,0.0,-1.6364067927069853e-33
transcription_TU_g.1956.peg.74,0.0,-3.4354189151062953e-32
translation_g.1956.peg.75,0.0,-7.977339084801777e-33
transcription_TU_g.1956.peg.75,0.0,-178.05681626631892
translation_g.1956.peg.82,0.0,1.3026823309074514e-33
transcription_TU_g.1956.peg.82,0.0,0.0
translation_g.1956.peg.83,0.0,1.669639109008865e-33
transcription_TU_g.1956.peg.83,0.0,-294.36332239127074
translation_g.1956.peg.88,2.9724723735163087e-08,4.938736320870806e-33
transcription_TU_g.1956.peg.88,2.5280348171814027e-09,-7.585199018712512e-32
translation_521095.5.peg.89,3.4840209693725137e-09,-3.6745402213484096e-33
transcription_TU_521095.5.peg.89,2.963097787833987e-10,-1.48538433528893e-32
translation_521095.5.peg.90,1.1098028465279346e-28,4.332163229785002e-34
transcription_TU_521095.5.peg.90,9.438675565925337e-30,0.0
translation_521095.5.peg.91,1.2338383628423694e-28,1.3549673328983665e-33
transcription_TU_521095.5.peg.91,1.0493575542805619e-29,0.0
translation_g.1956.peg.96,8.972677931078821e-07,-9.542161363491855e-35
transcription_TU_g.1956.peg.96,7.63110278676506e-08,1.209217708469382e-32
translation_g.1956.peg.99,-1.3771580529170473e-52,-9.532488920087879e-33
transcription_TU_g.1956.peg.99,0.0,0.0
translation_g.1956.peg.100,8.972677931078821e-07,3.950748574842141e-34
transcription_TU_g.1956.peg.100,7.63110278676506e-08,2.0439509824119302e-32
translation_g.1956.peg.104,8.972690580140008e-07,1.19219927757351e-32
transcription_TU_g.1956.peg.104,7.631113544566333e-08,0.0
translation_g.1956.peg.105,6.208034044316518e-29,-2.9576259305265247e-32
transcription_TU_g.1956.peg.105,0.0,-186.4499068920123
translation_g.1956.peg.114,2.003415533045604e-31,-1.245202933744598e-32
transcription_TU_g.1956.peg.114,0.0,-13.159837721449799
translation_521095.5.peg.114,4.2719554994090903e-11,4.786186161523485e-33
transcription_TU_521095.5.peg.114,3.6332220733746355e-12,3.64381201663229e-32
translation_g.1956.peg.115,2.5886475740201663e-09,-2.270682893229576e-33
transcription_TU_g.1956.peg.115,2.2015986607114036e-10,0.0
translation_g.1956.peg.119,0.0,-4.3368229081373794e-33
transcription_TU_g.1956.peg.119,0.0,-7.143878348532875e-32
translation_g.1956.peg.122,8.972677931078821e-07,6.84412558639875e-33
transcription_TU_g.1956.peg.122,7.63110278676506e-08,-2.6255025748472326e-32
translation_g.1956.peg.124,7.380382344732122e-10,2.078730919692417e-33
transcription_TU_g.1956.peg.124,6.276883747626647e-11,0.0
translation_g.1956.peg.129,8.972677931078821e-07,-8.468897150613951e-33
transcription_TU_g.1956.peg.129,7.63110278676506e-08,0.0
translation_g.1956.peg.135,8.972677931078821e-07,2.076777062674545e-33
transcription_TU_g.1956.peg.135,7.63110278676506e-08,1.0155680581910071e-32
translation_g.1956.peg.137,0.0,4.3125100582870075e-33
transcription_TU_g.1956.peg.137,0.0,4.1373812829340975e-32
translation_g.1956.peg.140,8.115808276699556e-11,5.792635752641018e-33
transcription_TU_g.1956.peg.140,6.902350405630408e-12,0.0
translation_g.1956.peg.141,2.764681817749627e-12,-5.4183500192593066e-33
transcription_TU_g.1956.peg.141,2.351312650025233e-13,0.0
translation_g.1956.peg.142,0.0,-7.254145185335035e-34
transcription_TU_g.1956.peg.142,0.0,-293.7636141238624
translation_g.1956.peg.144,0.0,-7.240990850907726e-33
transcription_TU_g.1956.peg.144,0.0,0.0
translation_g.1956.peg.151,0.0,-2.076430331629092e-32
transcription_TU_g.1956.peg.151,0.0,-223.62018378466675
translation_g.1956.peg.154,4.3753329718606165e-11,-2.2552948526435012e-33
transcription_TU_g.1956.peg.154,3.7211427726545124e-12,0.0
translation_g.1956.peg.158,2.2771063846186223e-13,7.717010251158451e-35
transcription_TU_g.1956.peg.158,1.936638427334524e-14,3.518030950661781e-32
translation_g.1956.peg.159,2.437151388113851e-10,4.944614235820837e-34
transcription_TU_g.1956.peg.159,2.072753852580086e-11,-2.513727336642804e-32
translation_g.1956.peg.165,0.0,4.435965708367764e-33
transcription_TU_g.1956.peg.165,0.0,3.108217112395381e-32
translation_g.1956.peg.170,8.972677931078821e-07,2.311559674898016e-33
transcription_TU_g.1956.peg.170,7.63110278676506e-08,-3.916646904456615e-33
translation_g.1956.peg.171,8.972690580140008e-07,1.901703570045246e-33
transcription_TU_g.1956.peg.171,7.631113544566333e-08,-1.1136719722355356e-32
translation_521095.5.peg.179,1.5903852139483822e-29,-7.103479740017631e-33
transcription_TU_521095.5.peg.179,1.3525943014352947e-30,0.0
translation_g.1956.peg.181,2.2702887976391318e-11,-2.369019628931915e-33
transcription_TU_g.1956.peg.181,1.930840191022263e-12,0.0
translation_g.1956.peg.182,0.0,7.80520871360029e-34
transcription_TU_g.1956.peg.182,0.0,5.503506448996362e-32
translation_g.1956.peg.192,0.0,-7.110956587722474e-33
transcription_TU_g.1956.peg.192,0.0,0.0
translation_g.1956.peg.193,8.972677931078821e-07,-1.2866273435295639e-33
transcription_TU_g.1956.peg.193,7.63110278676506e-08,0.0
translation_g.1956.peg.202,0.0,-1.6401212650404387e-33
