,fluxes,reduced_costs
biomass_dilution,0.4116494160904567,-0.34502029126160966
protein_biomass_to_biomass,0.14400409749433318,0.0
mRNA_biomass_to_biomass,0.0007332390313653814,-3.470685852294338e-35
tRNA_biomass_to_biomass,0.004445520523986137,-5.802579008335478e-35
rRNA_biomass_to_biomass,0.03197837727232933,9.295242324835794e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.02107527250340132,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.12831070117877666,0.0
prosthetic_group_biomass_to_biomass,9.990324570226684e-05,-6.852699900456623e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.025215473786928184
DM_5MTR,0.0,-0.04534638601416747
DM_atp_c_,0.0,-0.00989462031600866
DM_btn,0.0,0.0
DM_dad_5,0.0,0.0
DM_dhptd(c),-6.234767426368947e-36,0.0
DM_hcys_L[c],0.0,-0.00839508510091879
EX_12dgr180(e),-0.0029739200416038954,0.0
EX_26dap_M(e),-1.0,-0.00517016567582069
EX_2hyoxplac(e),0.0,-0.052199552784965075
EX_3mop(e),-1.0,-0.005933568440331998
EX_4abut(e),1.5543598073426181,0.0
EX_4abz(e),-0.009805118606800197,0.0
EX_4hbz(e),2.164937406447214e-35,0.0
EX_Lkynr[e],0.0,0.0
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),13.274520950177372,0.0
EX_acac(e),0.0,-0.00791737979651983
EX_acald(e),0.0,-0.003957389554944416
EX_acgam(e),-1.0,-0.026160635858819448
EX_actn_R(e),0.0,-0.007912291944894468
EX_adn(e),-1.0,-0.005242267227303538
EX_adocbl(e),-0.0032683728689333986,0.0
EX_ala_L(e),-1.0,-0.0019664997208945407
EX_alaasp(e),0.0,-0.01209152339150553
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,-0.00021514964155506952
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.002943022739584954
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.0234701581552357
