,fluxes,reduced_costs
biomass_dilution,0.27596213486538734,-0.4995867884666767
protein_biomass_to_biomass,0.10260783578838019,1.9089752846550257e-34
mRNA_biomass_to_biomass,0.0004377142783736771,6.760165976108025e-35
tRNA_biomass_to_biomass,0.002526008781410496,5.816823374724269e-35
rRNA_biomass_to_biomass,0.010793058403925155,9.578428086974546e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.015804120400328844,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.08601711465950228,0.0
prosthetic_group_biomass_to_biomass,5.937492250285485e-05,6.935745364304725e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.008819642638297764
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.9896849462097376,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.0021910565621907157,0.0
EX_2obut(e),-1.0,-4.613580001377225e-05
EX_34dhphe(e),0.0,-0.002199104205812238
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.002199104205812238
EX_ac(e),12.70801181867888,0.0
EX_acald(e),0.0,-0.004397102068803776
EX_acgam(e),-0.998009534599137,-6.899027611459395e-32
EX_actn_R(e),0.0,-0.00879296114918903
EX_ade(e),1.9661825880091173,0.0
EX_adn(e),-1.0,-0.030791450165556365
EX_ala_L(e),-1.0,-0.004361247709755607
EX_alaasp(e),0.0,-0.015312573641697544
EX_alagln(e),0.0,-0.002125016006332329
EX_alaglu(e),0.0,-0.0021527518660100606
EX_alagly(e),0.0,-0.004311526920565343
EX_alahis(e),0.0,-0.0021282067937797543
EX_alaleu(e),0.0,0.0
EX_alathr(e),2.2757798574181517e-23,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.062340862930874257,0.0
EX_asn_L(e),-0.225,-0.015358164446907921
EX_asp_L(e),-0.225,-0.015383471053730027
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.030908866975954782
EX_cgly(e),-1.0,-0.006483832858059661
EX_cl(e),0.0,0.0
EX_co2(e),1.6372436329796611,0.0
EX_cobalt2(e),-0.0021910701189724125,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-5.682436212006368e-52,0.0
EX_cytd(e),0.0,-0.013230022493757277
EX_dad_2(e),-1.0,-0.026382867828325062
EX_dcyt(e),0.9502771746376434,0.0
EX_dextrin(e),0.0,-0.1494064044567928
EX_dgsn(e),-0.019750698116932915,0.0
EX_diact(e),0.0,-0.015399051787530873
EX_dopa(e),0.0,0.0
EX_etoh(e),4.098426522930657,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-1.4791921053383106e-08,0.0
EX_fol(e),-0.006573169686572147,0.0
EX_for(e),11.135632788267952,0.0
EX_fru(e),-0.14898579,-0.026392470222489525
EX_gal(e),-0.14898579,-0.017562170903365173
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.026366253906105714
EX_glc_D(e),0.0,-0.026390124206494975
EX_gln_L(e),-0.18,-0.0021959134183648123
EX_glu_L(e),-0.18,-0.0022236492780425437
EX_gly(e),-0.45,-0.004382424332597827
EX_glyasn(e),0.0,-0.015308443657717658
EX_glyasp(e),0.0,-0.015335641664769346
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.008795445345342717
EX_glycys(e),0.0,-0.006483832858059661
EX_glygln(e),0.0,-0.0021461926291745483
EX_glyglu(e),0.0,-0.0021739284888522797
EX_glyleu(e),0.0,-0.006566396350989802
EX_glymet(e),0.0,0.0
EX_glyphe(e),2.2755881833091384e-23,0.0
EX_glypro(e),2.305537357193035e-23,0.0
EX_glytyr(e),0.0,-0.002149383416621974
EX_gua(e),0.0,0.0
