,fluxes,reduced_costs
biomass_dilution,0.14618607371996073,-0.2485682990743757
protein_biomass_to_biomass,0.05710753631765111,-7.118838038572291e-35
mRNA_biomass_to_biomass,0.00019134801032659335,0.0
tRNA_biomass_to_biomass,0.0011376969431936758,0.0
rRNA_biomass_to_biomass,0.0013901112450078786,0.0
ncRNA_biomass_to_biomass,0.0,-2.61310638843192e-35
tmRNA_biomass_to_biomass,0.0,-2.61310638843192e-35
DNA_biomass_to_biomass,0.008644587890678462,-2.61310638843192e-35
lipid_biomass_to_biomass,0.0,-2.61310638843192e-35
constituent_biomass_to_biomass,0.04556604938183306,-2.61310638843192e-35
prosthetic_group_biomass_to_biomass,2.575475259119778e-05,-3.1649354276838226e-35
peptidoglycan_biomass_to_biomass,0.0,-2.61310638843192e-35
DM_5DRIB,0.0,-1.1889552872943188e-06
DM_5MTR,0.0,-1.4799294117181282e-05
DM_atp_c_,0.0,-7.312444332304183e-06
DM_btn,0.0,0.0
DM_dad_5,0.0,0.0
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-8.091741381220467e-06
EX_12dgr180(e),-0.006077364405545183,0.0
EX_26dap_M(e),-0.21365626851417743,0.0
EX_2ddglcn(e),0.0,-4.780565192332312e-06
EX_2hyoxplac(e),0.0,-1.7336899853840186e-05
EX_34dhpha(e),0.0,-1.5747590445748064e-05
EX_3hphac(e),0.0,0.0
EX_3mop(e),-0.06374396239812587,0.0
EX_4abz(e),0.0,0.0
EX_Lkynr[e],0.0,0.0
EX_ac(e),1.479520412206915e-23,0.0
EX_acac(e),0.0,-8.549286111417536e-07
EX_acald(e),0.0,-8.104406207784906e-07
EX_acgam(e),-0.019009920077684716,0.0
EX_adocbl(e),-0.0011606735695143722,0.0
EX_akg(e),0.0,-4.602309503832353e-06
EX_ala_L(e),1.9844193364381475,0.0
EX_alaasp(e),3.311858909024917e-23,0.0
EX_alagln(e),0.0,-7.152226628230861e-08
EX_alaglu(e),3.2843339737994443e-23,0.0
EX_alagly(e),3.320222169509459e-23,0.0
EX_alahis(e),3.398647372062404e-23,0.0
EX_alaleu(e),3.2843339737994443e-23,0.0
EX_alathr(e),3.377315360453219e-23,0.0
EX_amp(e),-1.0,-3.7768675974620064e-06
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
