,fluxes,reduced_costs
biomass_dilution,0.0012354239266813179,-0.6048109433361967
protein_biomass_to_biomass,0.0006075386832196555,8.748677110345817e-35
mRNA_biomass_to_biomass,1.5253036187370078e-06,0.0
tRNA_biomass_to_biomass,9.311588005778382e-06,0.0
rRNA_biomass_to_biomass,6.448760254893651e-05,-5.880692681101412e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,7.327807162323452e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00013732664431253893,0.0
prosthetic_group_biomass_to_biomass,2.1552404138092152e-07,-6.957894870777548e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,3.2451262037915202e-12,0.0
DM_AMOB,9.143614300582956e-52,0.0
DM_atp_c_,0.0,-0.003279125112123891
DM_btn,0.0,-0.0032791303917133214
DM_clpn140(c),0.0,-0.08361886599889619
DM_clpn160(c),0.0,-0.07050324602487841
DM_clpn180(c),0.0,-0.08361886703994773
DM_clpni15(c),0.0,-0.13992014201261094
DM_clpni16(c),0.0,-0.05738758485519674
DM_clpni17(c),0.0,-0.14374791994847455
DM_dad_5,0.0,-0.09618508822937481
DM_kdo2lipid4L(c),0.0,-0.14168154991781012
EX_2hyoxplac(e),0.0,-0.0049191324984376806
EX_4hphac(e),0.0,-0.004917316400109121
EX_Lcyst(e),0.0,0.0
EX_ac(e),0.27545144208262495,0.0
EX_acald(e),0.0,-0.004098696817017561
EX_akg(e),-6.112449724143011e-20,0.0
EX_ala_D(e),0.672760513658034,0.0
EX_ala_L(e),-1.6353692210505317e-19,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arg_L(e),-0.0004072332638012554,0.0
EX_asn_L(e),-0.225,-1.673539779572095e-07
EX_asp_L(e),-0.225,-1.0825933196704006e-07
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.030302041671272064
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.2284929655675139,0.0
EX_cobalt2(e),-9.649239307650209e-06,0.0
