,fluxes,reduced_costs
biomass_dilution,0.060876786929445745,-0.24964185055886204
protein_biomass_to_biomass,0.02948928710720315,0.0
mRNA_biomass_to_biomass,8.749492007202645e-05,-4.1229831539218945e-35
tRNA_biomass_to_biomass,0.00051971200155441,0.0
rRNA_biomass_to_biomass,0.00377479165544391,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0036104923477048266,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00676691189558506,0.0
prosthetic_group_biomass_to_biomass,4.0373004080589986e-05,-3.325174453060275e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,2.09528224312259e-08,0.0
DM_AMOB,0.001701784722833016,0.0
DM_atp_c_,0.0,-0.005228487646542463
DM_btn,0.001701784722833016,0.0
DM_dad_5,0.001701784722833016,0.0
DM_pheme(c),0.0,0.0
EX_2hyoxplac(e),0.0,-0.051403881440285557
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,-1.153247925845915e-07
EX_ac(e),2.903400246934566,0.0
EX_acmana(e),-1.420725813011296e-34,0.0
EX_adn(e),-1.0,-0.0013042503963161358
EX_adocbl(e),9.380494756831897e-24,0.0
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,0.0
EX_arg_L(e),-0.018044551283012075,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.003915917254600643
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.019926492944454696
EX_cholate(e),0.0,-1.153247925845915e-07
EX_chtbs(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.2497954343927156,0.0
EX_cobalt2(e),-0.0004754624705938671,0.0
EX_cro4(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-0.006535905256995356
EX_dad_2(e),0.006776606495480187,0.0
EX_dcyt(e),0.0,0.0
EX_ddca(e),6.67858275788799e-57,0.0
EX_dextrin(e),0.0,-0.12020269223782747
EX_dgchol(e),0.0,0.0
EX_dgsn(e),-0.006776606495480187,0.0
EX_din(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_fe2(e),-5.198828619376445e-10,0.0
EX_fe3(e),0.0,0.0
EX_for(e),2.991701928204621,0.0
EX_fum(e),-1.0,-0.003917308596720517
EX_gal(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),2.09528224312259e-08,0.0
EX_gchola(e),0.0,0.0
EX_glcn(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.005220966272828907
EX_h(e),0.2155695840933828,0.0
EX_h2(e),-0.5201378028217433,0.0
EX_h2o(e),-0.6802643455806779,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_ins(e),0.9819191710685407,0.0
EX_isobut(e),0.0,-9.53909766700716e-07
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-1.367314719240795e-07,0.0
EX_lac_D(e),0.0,-0.0026124336082101016
EX_leu_L(e),-0.038676717241970554,0.0
EX_lys_L(e),-0.03541957490744069,0.0
EX_mantr(e),0.0,-0.020902199140891347
EX_met_L(e),-0.016202049085772528,0.0
EX_mg2(e),-0.001631474951817565,0.0
EX_mn2(e),-4.1957696682168417e-07,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.00047543842474336717,0.0
EX_nh4(e),3.3416690714514674,0.0
EX_no2(e),-1.0,-0.007838927350057267
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.010455736565234505
EX_ocdca(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_pheme(e),0.0,0.0
EX_pi(e),-1.0,-2.9397139241989064e-08
EX_ppa(e),1.165742205826398,0.0
EX_ppi(e),0.47972269728350664,0.0
EX_pro_L(e),-0.013564886891268961,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.00047544401079951005,0.0
EX_pydxn(e),0.0,0.0
EX_rmn(e),0.0,0.0
EX_ser_L(e),-1.0,-0.005225268394443429
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_stys(e),0.0,-0.041807735486461745
EX_succ(e),0.0,-0.001303695718854073
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thr_L(e),-0.225,-0.005225225316103729
EX_thymd(e),0.0,0.0
EX_ttdca(e),0.0,0.0
EX_urea(e),1.9234368041970477e-22,0.0
EX_uri(e),-0.013661865062512532,0.0
EX_val_L(e),-0.031167762675376156,0.0
EX_xan(e),0.0,0.0
EX_xyl_D(e),-0.17878295,-0.016546673576020247
EX_zn2(e),-1.4712715924283983e-07,0.0
translation_469592.4.peg.11,0.0,4.239874208473153e-33
transcription_TU_469592.4.peg.11,0.0,-22.30965431189214
translation_469592.4.peg.13,0.0,9.630306507866394e-35
transcription_TU_469592.4.peg.13,0.0,-50.83825981464797
translation_469592.4.peg.41,0.0,2.072211168962662e-33
transcription_TU_469592.4.peg.41,0.0,-2.1462954658551748e-33
translation_469592.4.peg.42,0.0,5.771711729968886e-34
transcription_TU_469592.4.peg.42,0.0,-24.025714139670693
translation_469592.4.peg.82,0.0,-1.0750235405003332e-33
transcription_TU_469592.4.peg.82,0.0,-1.9849398494399874e-34
translation_469592.4.peg.83,0.0,-2.9593256594112946e-33
transcription_TU_469592.4.peg.83,0.0,-13.131894323336063
translation_469592.4.peg.84,1.0298336197192291e-08,-6.7453658011288375e-34
transcription_TU_469592.4.peg.84,4.600152725546894e-10,2.2544738825423988e-33
translation_469592.4.peg.85,0.0,3.523909181260749e-33
transcription_TU_469592.4.peg.85,0.0,-3.014368559217536e-33
translation_469592.4.peg.89,0.0,-1.4523200939659543e-33
transcription_TU_469592.4.peg.89,0.0,-21.84793534084854
translation_469592.4.peg.90,0.0,3.663149578305997e-33
transcription_TU_469592.4.peg.90,0.0,5.337107626544492e-33
translation_469592.4.peg.91,0.0,1.280100468110805e-32
transcription_TU_469592.4.peg.91,0.0,-27.894051589451603
translation_469592.4.peg.96,0.0,-2.274627502664364e-32
