,fluxes,reduced_costs
biomass_dilution,0.0012628926799318247,-0.420149085878332
protein_biomass_to_biomass,0.00046972932947539564,-8.939782454802067e-35
mRNA_biomass_to_biomass,1.1951128656955453e-06,0.0
tRNA_biomass_to_biomass,7.268291882164894e-06,0.0
rRNA_biomass_to_biomass,5.176203313562441e-05,-4.071455811941247e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,7.490735629582003e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00039364235425027103,0.0
prosthetic_group_biomass_to_biomass,1.6545419694303854e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.002787642144339108
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],5.727494817708632e-07,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-1.0026989010854708e-05,0.0
EX_34dhphe(e),0.0,2.5539451481537358e-39
EX_3mop(e),-0.00021000793921707904,0.0
EX_5htrp(e),0.0,2.5539451481537358e-39
EX_ac(e),2.545630755900492e-56,0.0
EX_acald(e),4.5626976711809887e-05,0.0
EX_acgam(e),0.0,0.0
EX_ade(e),-0.0002710867298001872,0.0
EX_ala_L(e),-0.0005372411359927627,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,-0.0693132071466192
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.00014972863991354055,0.0
EX_asn_L(e),-0.00030574860612560533,0.0
EX_asp_L(e),-0.0002501599389781349,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.026474635363888867
EX_cgly(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.8838446724542537,0.0
EX_cobalt2(e),-1.0026989010854708e-05,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-3.831817303732609e-05,0.0
EX_dcyt(e),-3.788653237027326e-05,0.0
EX_dopa(e),0.0,0.0
EX_etoh(e),0.9212207174607728,0.0
EX_fe2(e),-2.8523782795813954e-10,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-3.0080967032564123e-05,0.0
EX_for(e),1.7326373178553693e-54,0.0
EX_fru(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.005574960723687784
EX_gln_L(e),-0.0005243492521669631,0.0
