,fluxes,reduced_costs
biomass_dilution,0.2601719713361512,-0.5450700364939033
protein_biomass_to_biomass,0.11261071855584728,1.8179723062368926e-34
mRNA_biomass_to_biomass,0.00047766272571429975,0.0
tRNA_biomass_to_biomass,0.0028547333124680743,0.0
rRNA_biomass_to_biomass,0.02054129999162316,8.995785078185083e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.015004477904666441,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.04524440666941508,0.0
prosthetic_group_biomass_to_biomass,9.514298875278653e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,3.8205530210684767e-07,0.0
DM_5DRIB,-1.2030159755626066e-32,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.017428253549671105
DM_btn,-1.2030159755626066e-32,0.0
DM_clpn140(c),0.0,-0.17417940872596246
DM_clpn180(c),0.0,-0.13930804200445807
DM_dad_5,0.0,-0.004359612766460062
DM_kdo2lipid4L(c),0.0,-0.4574348422991263
EX_12dgr180(e),-1.7910363795901795e-18,0.0
EX_12ppd_S(e),0.14898579,0.0
EX_26dap_M(e),-1.521686506266242e-24,0.0
EX_2obut(e),-1.0,-0.01741827721197184
EX_4abut(e),0.0,-0.00870459229622071
EX_4hbz(e),0.0,0.0
EX_4hpro(e),0.0,-0.008721435481068872
EX_ac(e),8.462833571490643,0.0
EX_acmana(e),-0.015135764604451932,0.0
EX_ade(e),1.0002288036874623,0.0
EX_adn(e),-1.0,-0.06093273295811067
EX_adocbl(e),-1.617665464641253e-08,0.0
EX_arab_L(e),0.00201572,0.0
EX_arabinogal(e),-2.191e-05,-19.1981189933867
EX_arabttr(e),0.0,-2.782342359953712e-07
EX_arg_L(e),-0.07648828698822017,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.013057893543021124
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.04846912415263447
EX_cgly(e),-4.894878698171461e-35,0.0
EX_chor(e),-0.16098642905945776,0.0
EX_chtbs(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.2148886162811439,0.0
EX_cobalt2(e),-0.0020319665665941102,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.016204655398982692,0.0
EX_cytd(e),0.0,-0.02179850652253656
EX_dad_2(e),0.0,0.0
EX_dcyt(e),0.0,0.0
EX_ddca(e),-0.03783948724004638,0.0
EX_dgsn(e),0.0,0.0
EX_din(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_fe2(e),-7.888818625298398e-09,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),3.7443575991066735e-55,0.0
