,fluxes,reduced_costs
biomass_dilution,0.10050950808278633,-0.6204680007360143
protein_biomass_to_biomass,0.05026745608215603,1.6202805586340664e-34
mRNA_biomass_to_biomass,0.0001558217810367596,7.744841930291627e-35
tRNA_biomass_to_biomass,0.0009228415113020724,0.0
rRNA_biomass_to_biomass,0.006767183086726186,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.005957426245322796,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00814273482361976,0.0
prosthetic_group_biomass_to_biomass,2.0600506409959125e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,2.554589081282848e-09,0.0
DM_atp_c_,0.0,-0.0154487982641804
DM_cholcoa_c_,-2.453152388928075e-57,0.0
DM_dcholcoa_c_,0.0,0.0
DM_dhptd(c),7.01309175991113e-05,0.0
DM_udoholcoa_c_,0.0,-5.57025768929763e-07
EX_12dhchol(e),0.0,-0.023114151034849845
EX_26dap_M(e),-3.529332249309731e-23,0.0
EX_2ddglcn(e),0.0,-0.040540437512255605
EX_4hpro(e),0.0,-0.00579444754381975
EX_7dhcdchol(e),0.0,-0.023113450474665512
EX_7ocholate(e),0.0,-0.023113450474665512
EX_C02528(e),0.0,-0.0173207289404182
EX_HC02191(e),0.0,-0.011524540211778461
EX_HC02194(e),0.0,-0.017320540169642924
EX_Lcyst(e),0.0,0.0
EX_ac(e),5.687463629411052,0.0
EX_acald(e),0.0,-0.009650461141549342
EX_adchac(e),0.0,-0.011523526051938052
EX_ala_L(e),-1.0,-0.009649317943037852
EX_alaasp(e),0.0,-0.02123244287917362
EX_alagln(e),0.0,-0.001924455041634241
EX_alaglu(e),0.0,-0.0019248536823867836
EX_alagly(e),0.0,-0.023163690517285854
EX_alahis(e),0.0,-0.001924455041634241
EX_alaleu(e),0.0,-0.0019242660916766817
EX_alathr(e),0.0,-0.03281465038682147
EX_alchac(e),0.0,-0.011524101915577619
EX_arab_L(e),0.0,0.0
EX_asn_L(e),-0.225,-0.019306750289170876
EX_asp_L(e),-0.225,-0.01930798783753938
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.062295124229793844
EX_cgly(e),-1.0,-0.013513513518623363
EX_cholate(e),0.0,-0.0173207289404182
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.005793744681302397
EX_cobalt2(e),-0.0020126060607818744,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9851445584883017,0.0
EX_dchac(e),0.0,-0.011523964348138892
EX_drib(e),-0.17878295,-0.019294660105567116
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-0.003857989710311949
EX_fe2(e),-3.4680001037978088e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),3.491832774964982,0.0
EX_fru(e),-0.14898579,-0.050189247839679846
EX_fum(e),-1.0,-0.019309377681287116
EX_gal(e),-0.14898579,-0.050186341484942824
EX_glc_D(e),0.0,-0.050188548272715613
EX_gln_L(e),-0.03743277263036349,0.0
EX_glu_L(e),-0.10526342703115298,0.0
EX_gly(e),-0.45,-0.021239235475651614
EX_glyasn(e),0.0,-0.03282112286341888
EX_glyasp(e),0.0,-0.03282236041178738
EX_glyb(e),0.0,-0.025101381566127616
EX_glycys(e),0.0,-0.013513513518623363
EX_glygln(e),0.0,-0.013514372574248002
EX_glyglu(e),0.0,-0.013514771215000543
EX_glyleu(e),0.0,-0.02510083579799484
EX_glymet(e),0.0,-0.02510094172445256
