,fluxes,reduced_costs
biomass_dilution,0.29634228964074505,-0.4130137924689075
protein_biomass_to_biomass,0.1379021412512335,0.0
mRNA_biomass_to_biomass,0.000617261520524036,0.0
tRNA_biomass_to_biomass,0.00375187681935432,5.644624977607933e-35
rRNA_biomass_to_biomass,0.026685175044210443,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.016790369750822452,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.03294067026334644,0.0
prosthetic_group_biomass_to_biomass,8.48405374349958e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,2.0737143603563542e-24,0.0
DM_4HBA,0.0,-0.14933957257833277
DM_5DRIB,0.0,-0.044524765300372415
DM_5MTR,0.0,-0.04603375554761468
DM_AMOB,0.0,0.0
DM_HQN,2.0737143603563542e-24,0.0
DM_atp_c_,0.0,-0.012325423766855205
DM_btn,0.0,-0.012326690186896404
DM_clpn140(c),0.0,-0.15565376801589573
DM_clpn160(c),0.0,-0.10633094617071165
DM_clpn180(c),0.0,-0.15566389937622532
DM_clpni16(c),0.0,-0.05702466021105403
DM_dad_5,0.0,-0.02632424718807119
DM_dhptd(c),0.00036788984867847747,0.0
DM_kdo2lipid4L(c),0.0,-0.28512236374798755
EX_12ppd_S(e),0.0,-0.0826471204059811
EX_13ppd(e),2.09762644,0.0
EX_15dap(e),0.0,-3.571369788052843e-06
EX_2ddglcn(e),0.0,-0.012318239333098077
EX_2hyoxplac(e),0.0,-0.05463292493265677
EX_34dhpha(e),0.0,0.0
EX_3hphac(e),0.0,0.0
EX_3hpppn(e),0.0,0.0
EX_4hbz(e),-4.88184898723152e-23,0.0
EX_4hoxpacd(e),0.0,0.0
EX_5mta(e),0.0,-0.027833675874776257
EX_Lcyst(e),0.0,0.0
EX_ac(e),15.932570305489893,0.0
EX_acald(e),0.0,-0.003578159440823743
EX_acgam(e),-0.9923339740125476,0.0
EX_actn_R(e),0.0,-0.008968740473172197
EX_adn(e),-0.057834691097397854,0.0
EX_adocbl(e),0.0,0.0
EX_akg(e),0.0,-0.011531510484528208
EX_ala_D(e),-1.0,-1.1766576301167995e-05
EX_ala_L(e),-1.0,-1.2781569737947165e-05
EX_alaasp(e),0.0,-0.0069781963770059255
EX_alagln(e),3.0701555647157145e-23,0.0
