,fluxes,reduced_costs
biomass_dilution,0.07052099919873944,-0.7138561134796038
protein_biomass_to_biomass,0.035589902154361606,0.0
mRNA_biomass_to_biomass,0.00010295365309624077,0.0
tRNA_biomass_to_biomass,0.0006353052862420957,0.0
rRNA_biomass_to_biomass,0.0021386026344156622,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.004182149741431452,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.007838938492591024,0.0
prosthetic_group_biomass_to_biomass,1.3827274772956288e-05,-1.3526682632425211e-34
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,-0.1347910897936238
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.016851588916679004
DM_btn,0.0,0.0
DM_clpn140(c),0.0,-0.2822230177905
DM_clpn160(c),0.0,-0.14532489717833807
DM_clpn180(c),0.0,-0.2822230177905
DM_clpni16(c),0.0,-0.008424366489411413
DM_dad_5,0.0,-0.13339026675855728
EX_15dap(e),0.0,-0.018952814016854176
EX_2obut(e),-1.0,-0.012633404392362853
EX_4abut(e),0.0,-0.01052861464588518
EX_ac(e),8.24314448156583,0.0
EX_acac(e),0.0,-0.016848341884090443
EX_acald(e),0.0,-0.010530656182626871
EX_acgam(e),-1.0,-0.008400911659031743
EX_ade(e),0.9858455040508427,0.0
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-0.018475476017177125,0.0
EX_alaasp(e),0.0,-0.025269613490597337
EX_alagln(e),0.0,-0.012627072721289876
EX_alaglu(e),0.0,-0.01263004774483116
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-0.01683162013074677
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.004204182052775104
EX_arg_L(e),-0.013366708575874535,0.0
EX_asn_L(e),-0.225,-0.03369414823598699
EX_asp_L(e),-0.225,-0.03369691356445275
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_btoh(e),1.247137512985671,0.0
EX_but(e),0.3042023641387084,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cgly(e),-1.0,-0.008414882348803129
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.00210425506869322
EX_cobalt2(e),-0.0005507518267473817,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.01684398102928057
EX_cytd(e),0.0,-0.07230642398414881
EX_dad_2(e),-0.9951559578420203,0.0
EX_ddca(e),0.0,0.0
EX_dgsn(e),0.9951559578420203,0.0
EX_drib(e),0.0,0.0
EX_etha(e),0.0,-0.006318319652637021
EX_etoh(e),0.0,-0.004213082350185964
EX_fe2(e),-6.752516375973516e-07,0.0
EX_fe3(e),0.0,0.0
EX_for(e),8.676704430205966,2.993436327183471e-35
EX_fru(e),-0.14898579,-0.004194029156001406
EX_gal(e),0.0,0.0
EX_gcald(e),0.0,-0.1270653464988465
EX_gln_L(e),-0.18,-0.021055330453997913
EX_glu_L(e),-0.18,-0.021058471927765162
EX_glutar(e),0.0,-0.048444072383652045
EX_gly(e),0.9722083799414503,0.0
EX_glyasn(e),0.0,-0.02526504955550955
EX_glyasp(e),0.0,-0.025268610988141
EX_glyc(e),-2.69948229,-0.0042043314475519004
EX_glycys(e),0.0,-0.008414882348803129
EX_glygln(e),0.0,-0.012626070218833538
EX_glyglu(e),0.0,-0.012629045242374824
EX_glyleu(e),0.0,-0.004209617099068962
EX_glymet(e),3.599278448111742e-23,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gua(e),-1.0,-0.004210113924847754
EX_h(e),11.158660186615569,0.0
EX_h2o(e),-10.0,-1.6953961761778632e-06
EX_h2s(e),1.9965514579873052,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.02525971630876787
EX_hxan(e),-5.72445220237503e-36,0.0
EX_ile_L(e),-0.04406808855901656,0.0
EX_indole(e),0.07888574636008004,0.0
EX_k(e),-7.058300653316126e-10,0.0
EX_lac_D(e),0.0,-0.010529238090140535
EX_leu_L(e),-0.04108068177556391,0.0
EX_lys_L(e),-0.15,-0.021055154578687653
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),3.599278448111742e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.012361870863059121,0.0
