,fluxes,reduced_costs
biomass_dilution,0.2612914905235073,-0.5558357654458221
protein_biomass_to_biomass,0.12236821872844451,-6.287346711293073e-35
mRNA_biomass_to_biomass,0.0005103665748111819,0.0
tRNA_biomass_to_biomass,0.003035787102105647,5.624343056167135e-35
rRNA_biomass_to_biomass,0.02236743229893903,0.0
ncRNA_biomass_to_biomass,0.0,-6.001442642869942e-35
tmRNA_biomass_to_biomass,0.0,-6.001442642869942e-35
DNA_biomass_to_biomass,0.015062102069172703,-6.001442642869942e-35
lipid_biomass_to_biomass,0.0,-6.001442642869942e-35
constituent_biomass_to_biomass,0.029044510799952145,-6.001442642869942e-35
prosthetic_group_biomass_to_biomass,7.09499153320396e-05,6.848954847003647e-35
peptidoglycan_biomass_to_biomass,0.0,-6.001442642869942e-35
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.014794194163492575
DM_dhptd(c),0.00025967458550549846,0.0
EX_12ppd_S(e),0.14898579,0.0
EX_2ddglcn(e),0.0,-0.03695367025564096
EX_4hbz(e),0.0,0.0
EX_ac(e),12.957011272120265,0.0
EX_acald(e),0.0,-0.007394533479368548
EX_actn_R(e),0.0,-0.014782751741162002
EX_adn(e),-1.0,-0.007384920313868218
EX_adocbl(e),0.0,0.0
EX_ala_D(e),-1.0,-0.007373346068354079
EX_ala_L(e),-1.0,-0.00737537683784761
EX_alaasp(e),0.0,-0.01104519053693556
EX_alagln(e),0.0,-0.0036647065972254017
EX_alaglu(e),0.0,-0.003671899050618146
EX_alagly(e),0.0,-0.007353757088420185
EX_alahis(e),3.1753790202428383e-23,0.0
EX_alaleu(e),3.10542024327392e-23,0.0
EX_alathr(e),3.1304491875205274e-23,2.1674425134148653e-34
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.04434689348500191
EX_arg_L(e),-0.06449222124778912,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.011061760526822194
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.011068917359376467
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),-1.7072865604001484e-06,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.027495832893359964
EX_cellb(e),-0.07449289,-0.08869229313256963
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.5643559811258538,0.0
EX_cobalt2(e),-0.0020405676173609576,0.0
EX_crn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.006574188161181763,0.0
EX_cytd(e),0.0,-0.018491938660875035
EX_dad_2(e),0.960819415187744,0.0
EX_dcyt(e),0.0,0.0
EX_ddca(e),-1.4635128713530697e-25,0.0
EX_dextrin(e),0.0,-0.251263521875914
EX_dgsn(e),-0.02872415026351666,0.0
EX_din(e),2.7561826742639504e-23,0.0
EX_duri(e),0.0,0.0
EX_etoh(e),3.427184487346048,0.0
EX_fe2(e),-2.642151105820168e-07,0.0
EX_fe3(e),2.726310588503783e-57,0.0
EX_for(e),10.556084599854408,0.0
EX_fru(e),-0.14898579,-0.04432930399610908
EX_gal(e),-0.14898579,-0.0295473412580108
EX_galt(e),0.0,-0.0369328859763774
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.04434907921743088
EX_gln_L(e),-0.18,-0.003688433419666309
EX_glu_L(e),-0.18,-0.0036956258730590536
EX_gly(e),-0.45,-0.007377094277779416
EX_glyasn(e),0.0,-0.011040140777394767
EX_glyasp(e),0.0,-0.01104729760994904
EX_glyb(e),0.0,0.0
EX_glyc(e),-2.69948229,-0.014759104640651163
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.003666813670238883
EX_glyglu(e),0.0,-0.0036740061236316276
EX_glyleu(e),0.0,-0.01107436805458502
EX_glymet(e),0.0,-0.0036759156103673826
EX_glyphe(e),3.1279172459271865e-23,1.205288727757919e-33
EX_glypro(e),3.178218427528675e-23,3.119657697703037e-33
EX_glytyr(e),3.142816874526887e-23,1.2007595926230199e-33
EX_h(e),17.472867501443233,0.0
EX_h2(e),1.528362220636744e-23,0.0
EX_h2o(e),-6.569826580626698,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.03299919966996701,0.0
EX_hxan(e),1.965173394348115e-23,0.0
EX_ind3ac(e),0.0,0.0
EX_ins(e),0.0,-0.003700438465275756
EX_isobut(e),0.0,-6.969844521353074e-06
EX_isocapr(e),2.1140719044626546e-37,0.0
EX_isoval(e),-1.0570359522313273e-37,0.0
EX_k(e),-5.508697916261405e-07,0.0
EX_lac_D(e),0.0,0.0
EX_lac_L(e),0.0,-0.011081131362332549
EX_lcts(e),-0.07449289,-0.0738894790006185
EX_leu_L(e),-0.14103333330290607,-6.27020048178506e-33
EX_lys_L(e),-0.15,-0.023686390109465393
EX_mal_L(e),0.0,-0.01107828396611792
EX_malt(e),-0.07449289,-0.0886871924520605
EX_malthx(e),0.0,-0.26605232366494247
EX_malttr(e),0.0,-0.1330266219187189
EX_man(e),-0.14898579,-0.044346835127698395
EX_mantr(e),0.0,-0.11823090718019026
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.0036738085373539007
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.04984672101579738,0.0
EX_mg2(e),-0.002631797006731385,0.0
EX_mn2(e),-1.0135316422350693e-05,0.0
EX_mnl(e),-0.14898579,-0.03694794674545577
EX_na1(e),0.0,0.0
EX_nac(e),0.997959456719893,0.0
EX_ncam(e),-1.0,-0.0036894569093211945
EX_nh4(e),5.657029670718079,0.0
EX_no2(e),-1.0,-0.02589590461305686
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.04438408632419652
EX_ocdca(e),0.0,0.0
EX_oxa(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0832013216715233,0.0
EX_pi(e),-0.1949865092391746,0.0
EX_ppi(e),0.0,-5.460272176571891e-06
EX_pro_L(e),0.06235721896393036,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.0020407451693838594,0.0
EX_pydxn(e),0.0,0.0
EX_rib_D(e),-0.17878295,-0.02215682623617866
EX_ribflv(e),-0.0040810647410475165,0.0
EX_rmn(e),-0.14898579,-0.025860237885338182
EX_salcn(e),0.0,-0.04434689348500191
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.014776916041142611
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_strch1(e),-0.25733909,-0.48782667214833564
EX_strch2(e),0.0,-0.13303515503919
EX_stys(e),0.0,-0.1625770996972229
EX_succ(e),0.0,-0.003677424839802231
EX_sucr(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thr_L(e),-0.19759622207893507,-6.835885485485519e-33
EX_thymd(e),0.0,0.0
EX_tre(e),-0.07449289,-0.10348524179779978
EX_ttdca(e),0.0,0.0
EX_tyr_L(e),-0.05525727237570494,0.0
EX_ura(e),0.0,0.0
EX_urea(e),0.0,0.0
EX_uri(e),-0.07056242407277943,0.0
EX_val_L(e),-0.13466199536790913,0.0
EX_xan(e),0.0,0.0
EX_xyl_D(e),-0.17878295,-0.02215839550356596
EX_zn2(e),-2.1918891536158413e-06,0.0
translation_525367.9.peg.12,0.0,-1.750731177159669e-33
transcription_TU_525367.9.peg.12,0.0,7.170128234015786e-33
translation_525367.9.peg.16,0.0,3.739685711787156e-33
transcription_TU_525367.9.peg.16,0.0,-73.99588020683603
translation_525367.9.peg.19,2.3475860599692174e-07,4.593172429458211e-34
transcription_TU_525367.9.peg.19,3.584137581795805e-09,5.3109739224134206e-33
translation_525367.9.peg.20,1.464506759514562e-07,-1.8372786352175768e-32
transcription_TU_525367.9.peg.20,2.235911093985181e-09,9.51605220812402e-32
translation_525367.9.peg.22,-1.2614638258863884e-36,-1.6197726650702928e-32
transcription_TU_525367.9.peg.22,-3.7588805996736284e-53,9.108172994142856e-32
translation_525367.9.peg.24,0.0,-7.817107392060618e-33
transcription_TU_525367.9.peg.24,0.0,-54.03023449137956
translation_525367.9.peg.25,0.0,2.377887440621922e-34
transcription_TU_525367.9.peg.25,0.0,-2.0187936262469243e-32
translation_525367.9.peg.26,0.0,1.8507194257610753e-33
transcription_TU_525367.9.peg.26,-1.1097932604437369e-44,4.5453506764197617e-32
translation_525367.9.peg.32,-6.263987925447725e-43,1.2465371050240311e-32
transcription_TU_525367.9.peg.32,0.0,1.5419627346105744e-33
translation_525367.9.peg.33,0.0,1.1268551796003145e-33
transcription_TU_525367.9.peg.33,0.0,-6.538134474661085e-33
translation_525367.9.peg.35,0.0,1.8866458959094874e-32
