,fluxes,reduced_costs
biomass_dilution,0.45122853967647925,-0.46265181651512005
protein_biomass_to_biomass,0.1715532545390834,1.2634626002455886e-34
mRNA_biomass_to_biomass,0.0009419638886146386,0.0
tRNA_biomass_to_biomass,0.005723135665022892,0.0
rRNA_biomass_to_biomass,0.04070942351586132,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.02196025517430006,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.11371238745582699,0.0
prosthetic_group_biomass_to_biomass,0.0001294137595355206,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.03102957851923793
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.01694441029742837
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.005654227849901693
EX_26dap_M(e),-1.0,-0.004226545597044119
EX_34dhphe(e),0.0,-0.004225813048513923
EX_3mop(e),-1.0,-0.009881516159418131
EX_4abut(e),0.0,-0.008471710516465298
EX_4abz(e),-0.004191687519324654,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.004225813048513923
EX_Cit_Mg(e),0.0,0.0
EX_ac(e),15.521266531593529,0.0
EX_acac(e),0.0,-0.012709403150547131
EX_acald(e),0.0,-0.0070507758759983915
EX_acgam(e),-1.0,-0.04370829671107028
EX_adn(e),-1.0,-0.008902299787963289
EX_adocbl(e),-0.001397229173108218,0.0
EX_akg(e),0.0,-0.022593173596879724
EX_ala_D(e),-1.0,-2.7688849293543708e-06
EX_ala_L(e),-0.72057511076813,0.0
EX_alaasp(e),0.0,-0.011296561817054969
EX_alagln(e),2.83572637603766e-23,0.0
EX_alaglu(e),0.0,-3.872994698835955e-06
EX_alagly(e),2.923707189068811e-23,0.0
EX_alahis(e),2.7480054210257604e-23,0.0
EX_alaleu(e),0.0,-0.00990902206303303
EX_alathr(e),0.0,-9.140711516038315e-07
EX_alltn(e),0.0,0.0
EX_amp(e),-1.0,-0.00987688115926504
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.02117803285479706
EX_asn_L(e),-0.225,-0.036707185734721565
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.015522156027627753
EX_biomass(e),0.0,0.0
EX_but(e),3.1677870014982e-23,0.0
EX_ca2(e),-2.0352846001291336e-07,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),-2.439935428703132e-24,0.0
EX_cgly(e),-0.001397229173108218,0.0
EX_chol(e),0.0,0.0
EX_cit(e),-3.9127741455804625e-07,0.0
EX_cl(e),0.0,0.0
EX_co2(e),2.3441123256514373,0.0
EX_cobalt2(e),-0.0014004127110941991,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.00847116127428328
EX_cytd(e),0.0,-0.01695379484505838
EX_dad_2(e),1.9463566983917058,0.0
EX_dcyt(e),-0.018523356438010716,0.0
EX_dgsn(e),-0.0598188699284674,0.0
EX_din(e),1.610560643604743e-22,0.0
EX_dopa(e),0.0,0.0
EX_drib(e),-0.17878295,-0.01407695343822675
EX_duri(e),2.5097986458244113e-23,0.0
EX_etha(e),0.0,-0.0028105972714933805
EX_etoh(e),0.0,-0.0013947780460358524
EX_fe2(e),0.0,0.0
EX_fe3(e),-1.9563870727902313e-07,0.0
EX_for(e),14.806106825972172,0.0
EX_fru(e),-0.14898579,-0.047936306303381415
