,fluxes,reduced_costs
biomass_dilution,0.0010916740515762957,-0.32759698445737
protein_biomass_to_biomass,0.00040623516258469057,-1.0823478756840601e-34
mRNA_biomass_to_biomass,1.0235627317185637e-06,0.0
tRNA_biomass_to_biomass,6.0178239280600815e-06,3.963873259191853e-35
rRNA_biomass_to_biomass,4.471966686014193e-05,0.0
ncRNA_biomass_to_biomass,0.0,-4.023942730248465e-35
tmRNA_biomass_to_biomass,0.0,-4.023942730248465e-35
DNA_biomass_to_biomass,6.475167561007134e-05,-4.023942730248465e-35
lipid_biomass_to_biomass,0.0,-4.023942730248465e-35
constituent_biomass_to_biomass,0.0003402736832393574,-4.023942730248465e-35
prosthetic_group_biomass_to_biomass,1.4519766836739807e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,-4.023942730248465e-35
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.002030028250399525
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.0005074872351865514
EX_12dgr180(e),-7.886690018207791e-06,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-8.667564467300314e-06,0.0
EX_2obut(e),4.922581481663596e-07,0.0
EX_3mop(e),-1.0,-0.0010150009442788056
EX_4hbz(e),0.0,0.0
EX_ac(e),1.1114619311080758,0.0
EX_acald(e),0.0,-0.0010150034065088455
EX_acgam(e),0.0,0.0
EX_ade(e),4.922581481663599e-07,0.0
EX_ala_L(e),-1.0,-0.001014947642882456
EX_alaasp(e),0.0,-0.0015224578502297066
EX_alagln(e),0.0,-1.354641342926535e-35
EX_alaglu(e),0.0,-1.899589838132102e-08
EX_alagly(e),0.0,-1.354641342926535e-35
EX_alahis(e),0.0,-1.354641342926535e-35
EX_alaleu(e),0.0,-2.2719959661953427e-09
EX_alathr(e),3.5582229342131095e-23,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.000309594302845377,0.0
EX_asp_L(e),-0.225,-0.0015224612652543297
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.02091876759689285
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.22412211542160915,0.0
EX_cobalt2(e),-8.667564467300314e-06,0.0
EX_crn(e),0.0,0.0
EX_cro4(e),0.0,-0.0005075058962814501
EX_csn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-3.5881996892618345e-05,0.0
EX_cytd(e),0.007412614511359293,0.0
EX_dad_2(e),0.0,0.0
EX_dcyt(e),3.966669454168026e-46,0.0
EX_dgsn(e),0.0,0.0
EX_diact(e),0.0,0.0
EX_etoh(e),0.11090932638022231,-3.760994175455909e-37
EX_fe2(e),-3.0855127254837404e-11,0.0
EX_fe3(e),7.116445643393849e-23,0.0
EX_fol(e),-2.6002693401900943e-05,0.0
EX_for(e),1.2235850975130456,0.0
EX_fru(e),0.0,0.0
EX_gal(e),-0.00018928056043698697,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,-0.05818010451503301
EX_glc_D(e),7.717753825616917e-22,0.0
EX_gln_L(e),-0.0007034226173298425,0.0
EX_glu_L(e),-6.814723370890952e-51,0.0
EX_gly(e),-0.0002913172177510121,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-0.0005075136223718736
EX_glyb(e),0.0,0.0
EX_glyc(e),2.8122942744872425e-05,0.0
EX_glyc3p(e),-0.002007422637039671,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.0005075735682069618
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,-0.0005075748039529842
EX_glytyr(e),0.0,0.0
EX_gua(e),-0.0005446273366444476,0.0
EX_h(e),0.8577464973779786,0.0
EX_h2o(e),-1.2816594562791186,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0001255260423372547,0.0
EX_ile_L(e),0.9994441132447516,0.0
EX_k(e),-7.428353040288355e-13,0.0
EX_lac_L(e),0.0,-0.0010149710022166933
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.0006013962850415993,0.0
EX_lys_L(e),-0.0004285918378016744,0.0
EX_malt(e),0.0,0.0
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,-1.0436394662386181e-07
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0001250007241457022,0.0
EX_metala(e),0.0,-6.733155418048252e-36
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-5.398348723113783e-06,0.0
EX_mn2(e),4.1111613085975293e-50,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-8.667564467300314e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-8.667564467300314e-06,0.0
EX_nh4(e),0.21662060739394431,0.0
EX_no2(e),0.0,0.0
EX_o2(e),0.0,-0.0020301035138630356
EX_ocdca(e),-7.49945143361964e-05,0.0
EX_orn(e),-0.00021210707156976054,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.00023687348145433313,0.0
EX_pheme(e),-8.667564467300314e-06,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-8.667576176924053e-06,0.0
EX_ppa(e),0.0,0.0
EX_pro_L(e),-0.0001828838702151927,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-8.667564822474968e-06,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-1.7337826672756145e-05,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-0.0004202668441494805,0.0
EX_sheme(e),-8.667564467300314e-06,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-8.667564467300314e-06,0.0
EX_succ(e),0.0005691668193505224,0.0
EX_sucr(e),0.0,0.0
EX_thm(e),-8.667564467300314e-06,0.0
EX_thr_L(e),-0.00027749041161808237,0.0
EX_thymd(e),-6.254886339277277e-05,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-7.792168475237728e-05,0.0
EX_tyr_L(e),-0.00023233989421263937,0.0
EX_ura(e),0.0,0.0
EX_uri(e),-0.00807700677781406,0.0
EX_val_L(e),-0.0003241810824295996,0.0
EX_xan(e),0.0,0.0
EX_zn2(e),-6.83379705488342e-08,0.0
translation_g.2789.peg.0,6.220090332255106e-14,1.3164160164951523e-31
transcription_TU_g.2789.peg.0,1.3379603932205948e-13,1.078609220890173e-32
translation_655812.3.peg.1,0.0,9.963624307386058e-32
transcription_TU_655812.3.peg.1,0.0,-0.5288345656699401
translation_g.2789.peg.4,0.0,-2.0900754622779727e-30
transcription_TU_g.2789.peg.4,0.0,31103.373832995494
translation_g.2789.peg.7,0.0,1.343315122459642e-32
transcription_TU_g.2789.peg.7,0.0,-5.164294079083144
translation_g.2789.peg.12,0.0,6.983781803179331e-32
transcription_TU_g.2789.peg.12,0.0,-2.065929623682113e-32
translation_g.2789.peg.23,3.076614063884551e-08,2.441684358216708e-33
transcription_TU_g.2789.peg.23,6.617890645987742e-08,-5.891838432411413e-33
translation_g.2789.peg.24,3.076613426039749e-08,1.054572209454075e-32
transcription_TU_g.2789.peg.24,6.617889273964128e-08,1.4889203399133344e-32
translation_g.2789.peg.26,0.0,-1.528495056968024e-33
transcription_TU_g.2789.peg.26,0.0,-0.4321727860347211
translation_g.2789.peg.27,3.076614223345751e-08,-3.346127284209027e-33
transcription_TU_g.2789.peg.27,6.617890988993645e-08,3.709752650084208e-33
translation_g.2789.peg.34,0.0,2.631268555549546e-32
transcription_TU_g.2789.peg.34,0.0,-2.2942256707191677
translation_655812.3.peg.34,0.0,1.8392067818593005e-31
transcription_TU_655812.3.peg.34,0.0,-7.782271501406665
translation_g.2789.peg.35,0.0,8.073093834414981e-32
transcription_TU_g.2789.peg.35,0.0,-3.59940888667452
