,fluxes,reduced_costs
biomass_dilution,0.0025048036248029697,-0.5153263807196777
protein_biomass_to_biomass,0.0010146103149677981,0.0
mRNA_biomass_to_biomass,2.663166024044101e-06,0.0
tRNA_biomass_to_biomass,1.549671736291121e-05,0.0
rRNA_biomass_to_biomass,0.00012006315750412523,8.554972197400354e-35
ncRNA_biomass_to_biomass,0.0,8.722787338085606e-35
tmRNA_biomass_to_biomass,0.0,8.722787338085606e-35
DNA_biomass_to_biomass,0.00014857019958053092,8.722787338085606e-35
lipid_biomass_to_biomass,0.0,8.722787338085606e-35
constituent_biomass_to_biomass,0.0006312260312447656,8.722787338085606e-35
prosthetic_group_biomass_to_biomass,1.4557359494080646e-06,7.355813271781383e-35
peptidoglycan_biomass_to_biomass,0.0,8.722787338085606e-35
DM_5MTR,0.0,-0.05982325892589269
DM_atp_c_,0.0,-0.001759674729633416
DM_clpn180(c),0.0,-0.16187778115720977
DM_clpnai17(c),0.0,-0.1407686219590582
DM_clpni17(c),0.0,-0.14076859594953234
DM_dad_5,0.0,-0.07302237264718985
DM_dhptd(c),0.0,0.0
DM_kdo2lipid4L(c),0.0,-0.20762705330996659
EX_C02528(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),0.93075183021748,0.0
EX_acald(e),0.0,0.0
EX_ala_L(e),1.0638408529195098,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,-6.191006656626957e-07
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,-4.5463409248455225e-07
EX_arg_L(e),-0.015414518768732276,0.0
EX_asn_L(e),-0.0005331203538390805,0.0
EX_asp_L(e),-0.07055840613025237,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.029097439083909608
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.5021657226319465,0.0
EX_cobalt2(e),-7.756176252959549e-06,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-8.399131861371736e-05,0.0
EX_ddca(e),0.0,0.0
EX_dextrin(e),0.0,-0.029910735316088267
EX_dgchol(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-0.0017593775129234302
EX_fe2(e),-1.245011244086637e-05,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-2.3268373272607185e-05,0.0
EX_for(e),0.5496749982927949,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.003518708782483397
EX_gln_L(e),-0.0013585828332373557,0.0
EX_glu_L(e),-0.000345497916387784,0.0
EX_gly(e),-0.0012264331907606977,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyc(e),8.001344699070605e-05,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-6.405092436524647e-07
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-6.538512789096591e-07
EX_glymet(e),0.0,-6.418203971898862e-07
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),1.464852568571954,0.0
EX_h2o(e),0.4016295747847294,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00037446076094640996,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.0008503947960637572,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-2.1640027984509513e-09,0.0
EX_lac_L(e),0.0,-0.001759491354295344
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.001352114282958891,0.0
EX_lys_L(e),-0.022389494386881943,0.0
EX_malt(e),-0.07449289,-0.008797106036137179
EX_malthx(e),0.0,-0.029911158915743384
EX_malttr(e),0.0,-0.014075501296111471
EX_mantr(e),0.0,0.0
EX_melib(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0003998800241845537,0.0
EX_metala(e),0.0,-6.204118192001173e-07
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-1.3730538939079547e-05,0.0
EX_mn2(e),-2.837202916935186e-09,0.0
EX_mops(e),0.0,0.0
EX_mqn7(e),-1.551224884840479e-05,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-7.756133640747157e-06,0.0
EX_nh4(e),-9.629220754733587e-57,0.0
EX_o2(e),0.0,-0.0017596843605868732
EX_ocdca(e),-0.00021336919197521617,0.0
EX_orn(e),0.01438690589838189,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0005269123674220443,0.0
EX_pheme(e),-7.756124424202395e-06,0.0
EX_pi(e),-0.0016889734655891732,0.0
EX_pnto_R(e),-7.756124424202395e-06,0.0
EX_pro_L(e),-0.0009010190177466086,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),0.0,0.0
EX_pydxn(e),0.0,0.0
EX_raffin(e),0.0,0.0
EX_rib_D(e),-0.014869778432775788,0.0
EX_ribflv(e),-1.5513974139114875e-05,0.0
EX_ser_L(e),-0.9527682671805298,0.0
EX_sheme(e),-4.353697393581764e-06,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-7.756124424202395e-06,0.0
EX_stys(e),0.0,0.0
EX_succ(e),0.014410174271654497,0.0
EX_sucr(e),-0.07449289,-0.010556663531606699
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thm(e),-7.756127373533992e-06,0.0
EX_thr_L(e),-0.000730351412698308,0.0
EX_trp_L(e),-0.0002198957120705357,0.0
EX_ttdca(e),0.04358905014298817,0.0
EX_tyr_L(e),-0.0004686472527240618,0.0
EX_uri(e),0.013915702096306265,0.0
EX_val_L(e),-0.0009830815275974816,0.0
EX_xan(e),-0.0002591101142177827,0.0
EX_xyl_D(e),-0.17878295,-0.005278661581190223
EX_zn2(e),-9.123800746388324e-06,0.0
translation_742729.5.peg.1,0.0,6.864872494076411e-32
transcription_TU_742729.5.peg.1,0.0,-71.11443337165095
translation_742729.5.peg.2,0.0,-6.209978323886242e-32
transcription_TU_742729.5.peg.2,0.0,-46.583894409087904
translation_742729.5.peg.5,0.0,2.554405219750834e-32
transcription_TU_742729.5.peg.5,0.0,-82.96606348099569
translation_742729.5.peg.6,0.0,1.0273036727487992e-31
transcription_TU_742729.5.peg.6,0.0,-111.02822504840276
translation_742729.5.peg.10,1.3727496774660671e-08,3.946342073614903e-33
transcription_TU_742729.5.peg.10,1.2917211997678619e-08,3.8408773773533447e-34
translation_742729.5.peg.44,0.0,-2.8123778798530826e-32
transcription_TU_742729.5.peg.44,0.0,-3.06032580060997
translation_742729.5.peg.50,0.0,2.2617180192664505e-32
transcription_TU_742729.5.peg.50,0.0,-87.54603314129913
translation_742729.5.peg.53,0.0,-1.7933842126180553e-32
transcription_TU_742729.5.peg.53,0.0,-19.674222401513475
translation_742729.5.peg.55,8.011136484647549e-10,-3.276019845338657e-32
transcription_TU_742729.5.peg.55,7.538267902240189e-10,1.5283435332514747e-32
translation_742729.5.peg.62,0.0,4.158349447348848e-32
transcription_TU_742729.5.peg.62,0.0,-63.06198623819001
translation_742729.5.peg.63,1.4264344456697886e-12,-4.0553110174440894e-32
transcription_TU_742729.5.peg.63,1.3422371491297112e-12,5.118484486762079e-32
translation_742729.5.peg.64,0.0,6.62967219334207e-33
transcription_TU_742729.5.peg.64,0.0,-0.990842363777218
translation_742729.5.peg.65,0.0,-2.701108516432357e-28
transcription_TU_742729.5.peg.65,0.0,298581.06293075596
translation_742729.5.peg.67,0.0,3.9847656738315765e-30
transcription_TU_742729.5.peg.67,0.0,260881.79662392306
translation_742729.5.peg.70,4.7265090227452604e-12,1.6452172716044283e-32
transcription_TU_742729.5.peg.70,4.447520189437487e-12,6.616759817224345e-33
translation_742729.5.peg.73,0.0,-2.386886753528145e-32
transcription_TU_742729.5.peg.73,0.0,-0.3402769184562443
translation_742729.5.peg.81,0.0,-4.924829476071609e-33
transcription_TU_742729.5.peg.81,0.0,-26.362561277484833
translation_742729.5.peg.88,0.0,5.497089833259075e-32
transcription_TU_742729.5.peg.88,0.0,-28.20194002681741
translation_742729.5.peg.91,0.0,2.6078335414038614e-32
transcription_TU_742729.5.peg.91,0.0,-44.389254427979665
translation_742729.5.peg.93,1.697112146234102e-15,-1.9859104226316156e-32
transcription_TU_742729.5.peg.93,1.5969377182594996e-15,4.2102527078567635e-34
translation_742729.5.peg.96,0.0,5.149566832041799e-32
transcription_TU_742729.5.peg.96,0.0,-0.9892338848273002
translation_742729.5.peg.98,0.0,-6.492985265682954e-32
transcription_TU_742729.5.peg.98,0.0,-89.75231826828107
translation_742729.5.peg.111,0.0,-4.0780301085929186e-32
transcription_TU_742729.5.peg.111,0.0,-30.42681502906864
translation_742729.5.peg.112,0.0,-1.994644926422269e-32
transcription_TU_742729.5.peg.112,0.0,-17.863149299720387
translation_742729.5.peg.122,0.0,-9.271854663818473e-29
transcription_TU_742729.5.peg.122,0.0,175010.85762552609
translation_742729.5.peg.126,0.0,-1.1246924475559795e-28
transcription_TU_742729.5.peg.126,0.0,148150.8605341106
translation_742729.5.peg.128,2.2787847696362843e-12,-2.246303646878257e-32
transcription_TU_742729.5.peg.128,2.1442762981236055e-12,-2.4924902853865985e-32
translation_742729.5.peg.131,0.0,1.5119880379702436e-32
transcription_TU_742729.5.peg.131,0.0,-58.806168640576935
translation_742729.5.peg.132,0.0,3.9484174913345017e-32
transcription_TU_742729.5.peg.132,0.0,-42.88006397358193
translation_742729.5.peg.133,0.0,1.0430806309970416e-31
transcription_TU_742729.5.peg.133,0.0,-39.21345720317433
translation_742729.5.peg.134,0.0,3.670764175534733e-32
transcription_TU_742729.5.peg.134,0.0,-33.10552072679129
translation_742729.5.peg.135,0.0,2.5113475298781283e-32
transcription_TU_742729.5.peg.135,0.0,-49.76688459506143
translation_742729.5.peg.137,0.0,-9.908927860091939e-29
transcription_TU_742729.5.peg.137,0.0,234796.87992049972
translation_742729.5.peg.139,0.0,-1.573040039210811e-32
transcription_TU_742729.5.peg.139,0.0,-28.49965063086003
translation_742729.5.peg.140,0.0,-9.262750905183197e-32
