,fluxes,reduced_costs
biomass_dilution,0.0030236690867264295,-0.2882996522805504
protein_biomass_to_biomass,0.001232347519729143,0.0
mRNA_biomass_to_biomass,3.111979388817686e-06,0.0
tRNA_biomass_to_biomass,1.9028930221288176e-05,-3.962529464621593e-35
rRNA_biomass_to_biomass,0.00013348604429762225,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0001793462429719244,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0007619833421320374,0.0
prosthetic_group_biomass_to_biomass,1.1695481379538817e-06,3.4985976617475573e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,0.0
DM_AMOB,0.0,-0.1050667642926099
DM_atp_c_,0.0,-0.001489451560533593
DM_btn,0.0,-0.0014894644821963569
DM_clpn180(c),0.0,-0.13206413395630653
DM_clpnai17(c),0.0,-0.3740924470330976
DM_clpni17(c),0.0,-0.37409241185263953
DM_dad_5,0.0,-0.02979031573659286
DM_dhptd(c),0.0,0.0
DM_kdo2lipid4L(c),0.0,-0.23285086243942393
EX_26dap_M(e),0.00932144231688556,0.0
EX_2obut(e),5.986426774154733e-18,0.0
EX_ac(e),-0.01226588666817236,0.0
EX_ala_L(e),-0.0008367471412150885,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_asn_L(e),-0.0010808228465676727,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.01989793444584656,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.01872964661977724
EX_cgly(e),-9.36279132704839e-06,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.8548796053648914,0.0
EX_cobalt2(e),-9.362871861554543e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.00012461856307737607,0.0
EX_cytd(e),0.007501550467829813,0.0
EX_dad_2(e),0.0,0.0
EX_ddca(e),-0.0004537499378722962,0.0
EX_fe2(e),-1.3943052292261978e-12,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-2.8088373981145164e-05,0.0
EX_for(e),-0.8551236150397186,0.0
EX_fum(e),-0.8134949322734844,-1.1873892983334521e-38
EX_gln_L(e),-0.011102460705694235,0.0
EX_glu_L(e),-5.0948169813170925e-31,0.0
EX_gly(e),-0.0018456935233383783,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyc(e),9.658808530638906e-05,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.000372370530380209
EX_glymet(e),0.0,-0.006329752620293239
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gua(e),0.0,0.0
EX_h(e),-1.0,-0.0016754324803180888
EX_h2(e),-1.0,-0.0007445763081820756
EX_h2o(e),1.2002875714280796,0.0
EX_h2s(e),-0.0002918056788275214,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0004693255808864771,0.0
EX_ile_L(e),-0.0017507570487280987,0.0
EX_k(e),-1.0965162579105412e-11,0.0
EX_lac_L(e),0.0,0.0
EX_leu_L(e),-0.002187828398518757,0.0
EX_lys_L(e),-0.0014551546401818337,0.0
EX_mal_L(e),0.0,-0.0014890746346985944
EX_met_D(e),0.0,0.0
EX_met_L(e),1.2538067428333223e-48,0.0
EX_metala(e),0.0,-0.006329752620293239
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-3.985744617493193e-05,0.0
EX_mn2(e),-3.020726147881332e-10,0.0
EX_mqn8(e),-1.872558265409678e-05,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.0,0.0
EX_nh4(e),0.012478355446671224,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-2.7545396687650606e-08
EX_o2(e),0.0,-0.0014905669092864391
EX_ocdca(e),-0.00025756823081191397,0.0
EX_ocdcea(e),0.0,0.0
EX_orn(e),-0.000563516371504304,0.0
