,fluxes,reduced_costs
biomass_dilution,0.0016403310532458189,0.01553407929647826
protein_biomass_to_biomass,0.0006664207041004709,1.0681899037289254e-36
mRNA_biomass_to_biomass,1.7536087603159906e-06,0.0
tRNA_biomass_to_biomass,1.0566024392988577e-05,2.1516978949817616e-36
rRNA_biomass_to_biomass,7.582129787324519e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,9.729477777110954e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0004133735876198086,0.0
prosthetic_group_biomass_to_biomass,2.3940667136516977e-07,2.249954305576255e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-1.1791371340687891e-06
DM_5MTR,5.0792851063756775e-06,0.0
DM_atp_c_,0.0,-1.8895519075165284e-07
DM_dhptd(c),8.3676097296804e-07,0.0
DM_hcys_L[c],0.0,-3.146638371439574e-08
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-5.0792851063756775e-06,0.0
EX_2obut(e),8.367609729680407e-07,0.0
EX_34dhphe(e),0.0,0.0
EX_5htrp(e),0.0,0.0
EX_ac(e),-0.001635733216769998,0.0
EX_acald(e),0.0,-4.5564610770070424e-07
EX_acgam(e),0.0,0.0
EX_ade(e),5.916046079343718e-06,0.0
EX_adn(e),3.771861031656993e-33,0.0
EX_akg(e),3.9256029526245884e-46,0.0
EX_ala_L(e),-0.0009531108963788348,0.0
EX_alaasp(e),1.2114465541161571e-22,3.6734198463196485e-40
EX_alagln(e),1.2114465541161571e-22,4.408103815583578e-40
EX_alaglu(e),1.2114465541161571e-22,0.0
EX_alagly(e),1.2114465541161571e-22,4.70197740328915e-40
EX_alahis(e),1.2114465541161571e-22,4.261167021730792e-40
EX_alaleu(e),1.2114465541161571e-22,3.967293434025221e-40
EX_alathr(e),1.2114465541161571e-22,4.114230227878007e-40
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.00041957802837912163,0.0
EX_asn_L(e),-0.010549141544731019,2.577895549561551e-36
EX_asp_L(e),-0.225,-2.2171934308119978e-08
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.00031660219095594846
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.495788911963259,0.0
EX_cobalt2(e),-5.079290822544312e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-9.374724407985081e-05,0.0
EX_cytd(e),0.0,-4.3616719386798267e-07
EX_dad_2(e),-9.463036103659527e-23,0.0
EX_dgsn(e),3.1861838222649046e-56,0.0
EX_dopa(e),0.0,-1.5612034346858507e-41
EX_etoh(e),0.0,-5.591654544552857e-07
EX_fe2(e),-3.978585676512717e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-1.5227740520467174e-28,0.0
EX_fru(e),-0.00036679114615418174,0.0
EX_fum(e),-1.0,-3.94124187360409e-08
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-8.205263994546235e-05,0.0
EX_gcald(e),1.5237855319127034e-05,0.0
EX_glc_D(e),-0.14898579,-2.90745104907785e-07
EX_gln_L(e),-0.00041318045402339546,0.0
EX_glu_L(e),-0.000749335006379928,0.0
EX_gly(e),-0.10538966074189832,0.0
EX_glyasn(e),1.2114465541161571e-22,-1.6409901137479135e-37
EX_glyasp(e),1.2114465541161571e-22,6.7590925172281535e-40
EX_glyc(e),0.00041918988131906616,0.0
EX_glyclt(e),0.0,-8.08782682640864e-07
EX_glycys(e),0.0,0.0
EX_glygln(e),1.2114465541161571e-22,5.804003357185045e-40
EX_glyglu(e),1.2114465541161571e-22,4.70197740328915e-40
EX_glyleu(e),0.0,-6.74645524549796e-08
EX_glymet(e),1.2114465541161571e-22,5.583598166405866e-40
EX_glyphe(e),1.2114465541161571e-22,4.922382594068329e-40
EX_glypro(e),1.2114465541161571e-22,5.583598166405866e-40
EX_glytyr(e),1.2114465541161571e-22,5.583598166405866e-40
EX_gthrd(e),-5.0792851063756775e-06,0.0
EX_gua(e),-0.00016713302089760388,0.0
EX_h(e),-1.0,-1.1904403879983395e-08
EX_h2o(e),-0.5403980519797978,0.0
EX_h2s(e),0.0,0.0
EX_hdca(e),0.0,0.0
EX_his_L(e),-0.000212563084524476,0.0
EX_hista(e),0.0,-9.183549615799121e-43
EX_hxan(e),-0.0001636164502740869,0.0
EX_ile_L(e),-0.0006931186983027351,0.0
EX_k(e),-3.362630740646955e-13,0.0
EX_lac_D(e),0.14457948457944778,0.0
EX_lac_L(e),1.694868150248722e-17,-1.9285454193178155e-40
EX_leu_L(e),-0.0010544030703290375,0.0
EX_lys_L(e),-0.0005376130404444278,0.0
EX_mal_L(e),0.0,-5.062783670986261e-08
EX_malt(e),0.0,0.0
EX_man(e),-1.7769026645103132e-32,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.000283048033844334,0.0
EX_metala(e),1.2114465541161571e-22,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-9.095422742547298e-06,0.0
EX_mn2(e),-7.374893534717523e-12,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-5.0792851063756775e-06,0.0
EX_n2(e),0.0,0.0
EX_n2o(e),0.0,-5.416425208630332e-08
EX_na1(e),3.780722844554828e-37,0.0
EX_nac(e),-5.0792890939095295e-06,0.0
EX_nh4(e),0.14721962253520032,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-5.935940073456238e-07
EX_ocdca(e),-0.00013972996043969184,0.0
EX_ocdcea(e),0.0,0.0
EX_orn(e),-1.0158570212751355e-05,0.0
EX_phe_L(e),-0.00036459432493384663,0.0
EX_pheme(e),-5.0792851063756775e-06,0.0
EX_pi(e),-0.10913069551532378,0.0
EX_ppa(e),0.0,0.0
EX_ppi(e),0.054015668013652464,0.0
EX_pro_L(e),-0.00033873045987369986,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),0.0,0.0
EX_pydxn(e),-8.768007744157544e-18,0.0
EX_q8(e),0.0,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),0.19949971508950717,0.0
EX_sheme(e),-5.0792851063756775e-06,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),5.550428812168498e-34,0.0
EX_srtn(e),0.0,-1.5612034346858507e-41
EX_succ(e),1.0850367980332583,0.0
EX_sucr(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-5.0792851063756775e-06,0.0
EX_thr_L(e),-0.0004906309329616203,0.0
EX_thymd(e),-7.85528418755399e-05,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-8.975807930384426e-05,0.0
EX_trypta(e),0.0,-2.0703356057056315e-10
EX_tsul(e),0.0,0.0
EX_ttdca(e),-0.0002461579253006528,0.0
EX_tym(e),0.8461148910813624,0.0
EX_tyr_L(e),-0.8463875765340778,0.0
EX_ura(e),0.0,0.0
EX_uri(e),-0.00023503544459211708,0.0
EX_val_L(e),0.0015145871296494658,0.0
EX_xan(e),0.0,0.0
EX_zn2(e),-7.574643785192234e-08,0.0
translation_g.2606.peg.0,0.0,9.482127356652276e-34
transcription_TU_g.2606.peg.0,0.0,-0.008153044921451469
translation_g.2606.peg.2,3.258307273262175e-14,1.3666393453764281e-33
transcription_TU_g.2606.peg.2,4.6711783858341014e-14,-1.4755352360456799e-33
translation_596320.3.peg.12,3.0228733843191506e-45,7.215089674937337e-33
transcription_TU_596320.3.peg.12,0.0,8.189120905465888
translation_g.2606.peg.17,5.229759339357523e-08,1.4444249536541556e-33
transcription_TU_g.2606.peg.17,7.497493864248952e-08,-3.3264746845654567e-34
translation_g.2606.peg.19,5.229759339357523e-08,2.8435790736782614e-34
