,fluxes,reduced_costs
biomass_dilution,0.14793933534172193,-0.320599765388613
protein_biomass_to_biomass,0.0590225279067962,-6.27572938740774e-35
mRNA_biomass_to_biomass,0.0002004707130155209,0.0
tRNA_biomass_to_biomass,0.0012199789919661518,0.0
rRNA_biomass_to_biomass,0.0082396890026573,8.941484038528215e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.008747003355344434,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.03728162902195146,0.0
prosthetic_group_biomass_to_biomass,2.7864402418005927e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.022993863146090265
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.008616741874420719
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.025125498341347505
EX_12dgr180(e),-6.491652527236588e-18,0.0
EX_26dap_M(e),-1.0,-0.00214899519882098
EX_2dmmq8(e),0.0,0.0
EX_2hyoxplac(e),0.0,-0.037322201474337464
EX_2obut(e),-0.2751731054067803,0.0
EX_34dhphe(e),0.0,-0.0021491892736998203
EX_3mop(e),-1.0,-0.0028715079862678718
EX_4abut(e),0.0,0.0
EX_4abz(e),-0.001374282455656926,0.0
EX_4hphac(e),0.9826553801184368,0.0
EX_5htrp(e),0.0,-0.0021491892736998203
EX_Lcyst(e),0.0,0.0
EX_ac(e),10.816640061790777,0.0
EX_acac(e),0.0,-0.00861290391861469
EX_acald(e),0.0,-0.005744214239481318
EX_acgam(e),0.0,0.0
EX_adn(e),-0.010844304887359062,0.0
EX_akg(e),0.0,-0.004302504035565511
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.061051400651378825,0.0
EX_alaasp(e),0.0,-0.00932451392080044
EX_alagln(e),2.4961037983762177e-23,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-0.0021531695958964072
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.015064489706381997
EX_asn_L(e),-0.225,-0.013630214181332674
EX_asp_L(e),-0.225,-0.013632467167861718
EX_bhb(e),0.0,-0.007894663385950393
EX_biomass(e),0.0,0.0
EX_but(e),-2.0,-0.002865872108737
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-387289.4728579209
EX_cgly(e),-1.0,-0.0028531449740356995
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),5.118382634645787,0.0
EX_cobalt2(e),-0.0004590651715893432,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.005734217006363526
EX_cytd(e),0.0,-0.010770251185939711
EX_dad_2(e),-0.00596615520278875,0.0
EX_dopa(e),0.0,0.0
EX_etha(e),0.0,-0.012913632982789873
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-0.0028733400972096733
EX_fe2(e),-5.0993812327001005e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-1.0,-0.000709752089029013
EX_fru(e),-0.14898579,-0.0229571853072199
EX_galt(e),0.0,0.0
EX_gam(e),-0.007400221432463614,0.0
EX_gcald(e),0.0,-0.017222902667652328
EX_glc_D(e),0.0,-0.002873193650131869
EX_gln_L(e),-0.18,-0.0014247443121689581
EX_glu_L(e),-0.18,-0.0014271589698614667
EX_gly(e),-0.45,-0.0014282085499548668
EX_glyasn(e),0.0,-0.010749142149004848
EX_glyasp(e),0.0,-0.01075270424143356
EX_glyc(e),-1.79965486,-0.008606922552819312
EX_glyclt(e),3.259874843775885,0.0
EX_glycys(e),0.0,-0.0028531449740356995
EX_glygln(e),2.527029465383197e-23,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.0035831600278161237
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-0.008602687279683588
EX_gthrd(e),-0.00045809415188564196,0.0
EX_gua(e),-0.014839957071215912,0.0
EX_h(e),-1.0,-1.927713588284592e-06
EX_h2o(e),-6.982933583348185,0.0
EX_h2s(e),1.996532606404201,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.021198030475404507,0.0
EX_hista(e),0.0,-0.004313242675157533
