,fluxes,reduced_costs
biomass_dilution,0.6681660333355162,-0.3877656960923012
protein_biomass_to_biomass,0.2283695230749236,0.0
mRNA_biomass_to_biomass,0.0015619285027711645,-4.391324536458248e-35
tRNA_biomass_to_biomass,0.009541804736640182,0.0
rRNA_biomass_to_biomass,0.06854623161821097,-5.741681002967547e-35
ncRNA_biomass_to_biomass,0.0,3.774016567911155e-35
tmRNA_biomass_to_biomass,0.0,3.774016567911155e-35
DNA_biomass_to_biomass,0.023208219086735482,3.774016567911155e-35
lipid_biomass_to_biomass,0.0,3.774016567911155e-35
constituent_biomass_to_biomass,0.20826666792181922,3.774016567911155e-35
prosthetic_group_biomass_to_biomass,0.00021380166477101128,6.141761363692142e-35
peptidoglycan_biomass_to_biomass,0.0,3.774016567911155e-35
DM_5DRIB,0.0,-0.04235644790132016
DM_5MTR,0.005305037854873997,0.0
DM_atp_c_,0.0,-0.013149267520918002
DM_dad_5,0.0,0.0
DM_dhptd(c),0.016711104532846962,0.0
DM_hcys_L[c],0.0,-0.010190446091300726
EX_12dgr180(e),-0.027777532870650747,0.0
EX_26dap_M(e),-1.0,-0.0006233973789833441
EX_2ddglcn(e),0.0,-0.038754582330998405
EX_34dhpha(e),0.0,0.0
EX_3mop(e),-1.0,-0.005217729054214733
EX_4abz(e),-0.015915113564621993,0.0
EX_4hbz(e),0.0,0.0
EX_Lcyst(e),0.0,-0.00720514181788833
EX_ac(e),28.12382409156528,0.0
EX_acald(e),0.0,-0.009213172760159882
EX_acgam(e),-1.0,-0.05183529281189395
EX_actn_R(e),0.0,-0.01842421678984708
EX_adn(e),-1.0,-0.006254816893876508
EX_adocbl(e),-0.005305037854873997,0.0
EX_akg(e),0.0,-0.012079411192420283
EX_ala_D(e),-1.0,-0.012188011970492756
EX_ala_L(e),-1.0,-0.012191084779212677
EX_alaasp(e),0.0,-0.025939159840361124
EX_alagln(e),0.0,-0.019725429253995695
EX_alaglu(e),0.0,-0.016745671172620047
EX_alagly(e),0.0,-0.005607800605227063
EX_alahis(e),0.0,-0.005613443559667392
EX_alaleu(e),0.0,-0.00991361108110492
EX_alathr(e),0.0,-0.014811530605326449
EX_alltn(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.03546610009905703
EX_arabttr(e),0.0,-0.10639627875970266
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.03257389634902441
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.023299329949531666
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.020319373258066944
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),-2.0,-0.00525819013823452
EX_butso3(e),0.0,0.0
EX_ca2(e),-1.0527098846071528e-05,0.0
EX_cbl1(e),-1.6091988866264098e-08,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.019994448320635152
EX_cellb(e),-0.07449289,-0.09207969034865812
EX_cgly(e),-1.0,-0.009516827955778401
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cit(e),-1.0,-0.03768468144511963
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.0039254734484525655
EX_cobalt2(e),-0.005305553704597535,0.0
EX_crn(e),0.0,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),1.2448856551316741e-23,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.016100112129764015
EX_cytd(e),0.0,-0.019426711214847427
EX_dad_2(e),0.5126588536873574,0.0
