,fluxes,reduced_costs
biomass_dilution,0.42991211718449474,-0.3689801754538915
protein_biomass_to_biomass,0.18210300494162,-2.9874299832988053e-35
mRNA_biomass_to_biomass,0.0009726531134242274,0.0
tRNA_biomass_to_biomass,0.005868368627537435,5.857661363381705e-35
rRNA_biomass_to_biomass,0.04198512478319278,-4.5627192191063415e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.021521032137196743,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.07476254479723718,0.0
prosthetic_group_biomass_to_biomass,0.00026644850462512643,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,5.39849674761438e-07,0.0
DM_AMOB,0.0,-0.12402026419463358
DM_atp_c_,0.0,-0.009083125196719662
DM_btn,0.0,0.0
DM_dad_5,0.0,-0.0355012571213272
DM_kdo2lipid4L(c),0.0,-0.33772369230329835
DM_pheme(c),0.0,0.0
DM_teich_45_BS(c),0.0,-4.132971741875745
EX_12ppd_S(e),0.30086958,0.0
EX_2obut(e),-1.0,-0.0048035242919789445
EX_4abut(e),0.0,-0.008501992825424451
EX_4hbz(e),0.0,0.0
EX_Ser_Thr(e),0.0,0.0
EX_T_antigen(e),0.0,-0.06115900429082368
EX_Tn_antigen(e),0.0,-0.035121898234951446
EX_ac(e),15.31574323938047,0.0
EX_acgal(e),0.0,-0.03512373546622147
EX_acgalglcur(e),0.0,-0.06232555007020627
EX_acgalidour(e),0.0,-0.035121898234951446
EX_acgalidour2s(e),0.0,-0.03854175852210628
EX_acgam(e),-1.0,-0.035119332051663205
EX_acnam(e),-1.0,-0.03964587865765398
EX_adn(e),-0.122983118996226,0.0
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-1.0,-0.008493978325556815
EX_arab_L(e),-0.17878295,-0.020181677554067332
EX_arabinogal(e),-2.191e-05,-16.63826396977427
EX_arabttr(e),0.0,-0.060542419401852274
EX_arg_L(e),-0.12718369177722053,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.010764149540367368
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.02975805468959682
EX_cellb(e),-0.07449289,-0.06116919982114648
EX_chtbs(e),0.0,-0.06569770200785188
EX_cl(e),0.0,0.0
EX_co2(e),0.9476375475975581,0.0
EX_cobalt2(e),-0.003368011076484472,0.0
EX_core2(e),0.0,-0.09627649911121686
EX_core3(e),0.0,-0.07023939305534463
EX_core4(e),0.0,-0.10535688787573781
EX_core5(e),0.0,-0.07024379646990289
EX_core6(e),0.0,-0.07023939305534463
EX_core7(e),0.0,-0.07024379646990289
EX_core8(e),0.0,-0.06115900429082368
EX_cro4(e),0.0,0.0
EX_cspg_a(e),0.0,-0.1314889834834522
EX_cspg_a_degr(e),0.0,-0.0657454103573611
EX_cspg_ab_rest(e),0.0,0.0
EX_cspg_b(e),0.0,-0.10770519193535219
EX_cspg_b_degr(e),0.0,-0.04196161880926111
EX_cspg_c(e),0.0,-0.1314889834834522
EX_cspg_c_degr(e),0.0,-0.0657454103573611
EX_cspg_c_rest(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.7687732126429127,0.0
EX_cytd(e),0.0,-0.02045071463659735
EX_dad_2(e),0.05426038188590859,0.0
EX_dcyt(e),-0.014821717846462986,0.0
EX_ddca(e),-0.06252671700009589,0.0
EX_dgsn(e),-0.05426038188590859,0.0
EX_din(e),0.0,-0.006801008370695577
EX_dsT_antigen(e),0.0,-0.1404470871435916
EX_duri(e),0.0,0.0
EX_f1a(e),0.0,-0.09627649911121686
EX_fe2(e),-3.382172546792923e-07,0.0
EX_fe3(e),0.0,0.0
EX_for(e),13.148457101359599,0.0
EX_fru(e),-0.14898579,-0.032859568041700996
EX_fuc_L(e),-0.14898579,-0.016996361542653084
EX_gal(e),-0.14898579,-0.026038943287142253
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-0.02720280894069159
EX_gam(e),-1.0,-0.03285499016917575
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,-0.0036632843037232637
EX_glc_D(e),0.0,-0.02604403684607726
EX_glcur(e),0.0,-0.02720365183525483
EX_glyb(e),0.0,0.0
EX_gncore1(e),0.0,-0.09627649911121686
EX_gncore2(e),0.0,-0.13139399393161005
EX_gsn(e),0.0,-3.004163838873661e-05
EX_h(e),22.92434464085314,0.0
EX_h2(e),0.0,0.0
EX_h2o(e),-6.113283936111546,0.0
EX_h2s(e),1.0,0.0
EX_ha(e),0.0,-0.12464045608002601
EX_ha_deg1(e),0.0,-0.0974386414760412
EX_ha_pre1(e),0.0,-0.062321146655648016
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_homogal(e),-0.00012823,-2.7202790568378887
EX_idour(e),0.0,0.0
EX_ins(e),0.0,-0.006826214074171609
EX_inulin(e),-0.00047019,-1.0448084002210125
EX_isocapr(e),0.0,-0.04001803348311817
EX_isoval(e),0.0,0.0
EX_k(e),-5.758195466926238e-06,0.0
EX_kesto(e),0.0,-0.09176133569820923
EX_kestopt(e),-0.00282117,-0.15748047178161123
EX_kestottr(e),0.0,-0.12462090373991022
EX_lac_D(e),0.0,-0.008496287922102788
EX_lac_L(e),0.0,0.0
EX_lcts(e),-0.07449289,-0.06116415282725835
EX_leu_L(e),-0.15,-0.026672171021485523
EX_lys_L(e),-0.15,-0.01786824668430569
EX_malt(e),-0.07449289,-0.06116835121848467
EX_man(e),-0.14898579,-0.026044657779474917
EX_mantr(e),0.0,-0.09628817381380109
EX_melib(e),-0.07449289,-0.06116247299148924
EX_meoh(e),0.00907565,0.0
EX_met_L(e),0.6671166094472332,0.0
EX_metala(e),0.0,-0.003947023301940756
EX_mg2(e),-0.009637712851768183,0.0
EX_mn2(e),-3.231442171511494e-05,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.003376354879963766,0.0
EX_nh4(e),4.441289770503952,0.0
EX_no2(e),-1.0,-0.025528933179516503
EX_o2(e),0.0,-0.02610773504015189
EX_ocdca(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_pect(e),-3.339e-05,-10.60909364963845
