,fluxes,reduced_costs
biomass_dilution,0.14545776797489568,-0.527743894002573
protein_biomass_to_biomass,0.05785464750468669,-6.328251459047421e-35
mRNA_biomass_to_biomass,0.00019674580998451372,5.57255380385656e-35
tRNA_biomass_to_biomass,0.001150513437259377,-5.744984448757791e-35
rRNA_biomass_to_biomass,0.008358408392088117,0.0
ncRNA_biomass_to_biomass,0.0,-5.94480063745568e-35
tmRNA_biomass_to_biomass,0.0,-5.94480063745568e-35
DNA_biomass_to_biomass,0.008602023277487245,-5.94480063745568e-35
lipid_biomass_to_biomass,0.0,-5.94480063745568e-35
constituent_biomass_to_biomass,0.03665625867167042,-5.94480063745568e-35
prosthetic_group_biomass_to_biomass,9.593166033305351e-05,6.832178539207107e-35
peptidoglycan_biomass_to_biomass,0.0,-5.94480063745568e-35
DM_5DRIB,0.0,-0.03909374627283387
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.014103846115174519
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],8.821979386045628e-05,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.00045040997853426444,0.0
EX_2obut(e),0.0,0.0
EX_4abz(e),-0.0013512299356027934,0.0
EX_4hbz(e),0.0,0.0
EX_ac(e),6.533498737552642,0.0
EX_acald(e),0.0,-0.007936187855530762
EX_ade(e),0.996609420571205,0.0
EX_adn(e),-1.0,-0.017037486227495655
EX_ala_L(e),-1.0,-0.0017696549557736424
EX_arg_L(e),-0.03467037412654569,0.0
EX_asn_L(e),-0.225,-0.019401329835059197
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.026436035930253128
EX_cgly(e),-1.0,-0.0061423471074555005
EX_cl(e),0.0,0.0
EX_co2(e),5.540006327758722,0.0
EX_cobalt2(e),-0.00045040997853426444,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9875857353999308,0.0
EX_cytd(e),0.0,-0.034362507564640134
EX_dad_2(e),-0.013969559206536164,0.0
EX_dcyt(e),0.9687901101763742,0.0
EX_dextran40(e),-0.00017632,-0.28186553261036185
EX_dgsn(e),0.0,0.0
EX_din(e),0.0,-0.13135560286513526
EX_duri(e),2.711658258193664e-23,0.0
EX_fe2(e),-1.3787540123121177e-06,0.0
EX_fe3(e),7.102131283205769e-24,0.0
EX_fru(e),0.21189905900892658,0.0
EX_gcald(e),0.0013512299356027934,0.0
EX_glc_D(e),0.0,0.0
EX_gln_L(e),-0.07229728333634626,0.0
EX_glu_L(e),-0.04482196933346346,0.0
EX_gly(e),-0.45,-0.006144399422218024
EX_glyc(e),0.0046465029401900676,0.0
EX_gthrd(e),-0.00045040997853426444,0.0
EX_gua(e),-0.005447302716990132,0.0
EX_h(e),0.35284974616986425,0.0
EX_h2o(e),-2.784175790421568,0.0
EX_his_L(e),-0.018746897888257924,0.0
EX_ile_L(e),-0.06720970807936075,0.0
EX_ins(e),0.0,-0.14839400449372042
EX_inulin(e),-0.00047019,-0.09163144809954694
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-2.8891601331431336e-09,0.0
EX_lac_D(e),0.0,-0.0017723211272222606
EX_lac_L(e),0.0,-0.0017750697584454078
EX_lcts(e),-6.872982023350982e-36,0.0
EX_leu_L(e),-0.09518103466234311,0.0
EX_lys_L(e),-0.05362705155229681,0.0
EX_malt(e),-0.07449289,-0.0070466538556188734
EX_met_L(e),-0.015374179316039282,0.0
EX_mg2(e),-0.001011052187681659,0.0
EX_mn2(e),-0.000563738859659893,0.0
EX_mqn8(e),-0.00045040997853426444,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.9995495887840404,0.0
EX_nh4(e),5.642517267870837,0.0
EX_nmn(e),-1.0,-0.03466593895763225
EX_no2(e),-1.0,-0.03963209333481826
EX_no3(e),-1.0,-0.042269417999614645
EX_o2(e),0.0,-0.04052565608131539
EX_ocdca(e),-0.01239067835828432,0.0
EX_ocdcea(e),0.0,0.0
EX_orn(e),-0.00045040997853426444,0.0
EX_phe_L(e),-0.032290975105026945,0.0
EX_pheme(e),-0.00045040997853426444,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.000450692566869392,0.0
EX_ppa(e),0.0,0.0
EX_ppi(e),0.4483062831328085,0.0
EX_pro_L(e),-0.026687291546526704,0.0
