,fluxes,reduced_costs
biomass_dilution,0.1268929105951021,-0.40487841807288844
protein_biomass_to_biomass,0.050285227231665446,9.343936410887857e-35
mRNA_biomass_to_biomass,0.0001741256050914577,0.0
tRNA_biomass_to_biomass,0.0010320323918800835,0.0
rRNA_biomass_to_biomass,0.007601585684739869,4.4588130431678215e-35
ncRNA_biomass_to_biomass,0.0,-5.828323850759948e-35
tmRNA_biomass_to_biomass,0.0,-5.828323850759948e-35
DNA_biomass_to_biomass,0.0075133712574865525,-5.828323850759948e-35
lipid_biomass_to_biomass,0.0,-5.828323850759948e-35
constituent_biomass_to_biomass,0.03197779959869858,-5.828323850759948e-35
prosthetic_group_biomass_to_biomass,2.3328507728303907e-05,6.787670583064785e-35
peptidoglycan_biomass_to_biomass,0.0,-5.828323850759948e-35
DM_atp_c_,0.0,-0.010073757752292346
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.002518776671827932
EX_12dgr180(e),0.0,0.0
EX_26dap_M(e),-1.0,-0.002515516064010891
EX_2dmmq8(e),-0.0003929238976577337,0.0
EX_2obut(e),-1.0,-0.005026563569049968
EX_34dhphe(e),0.0,-0.002515425363043818
EX_3mop(e),-1.0,-0.00880037400068999
EX_4abut(e),0.0,-0.003778501057320584
EX_4abz(e),1.4387792154443968e-23,0.0
EX_5htrp(e),0.0,-0.002515425363043818
EX_ac(e),2.447622602303837,0.0
EX_acald(e),0.0,-0.006291610602374747
EX_acgam(e),0.0,0.0
EX_actn_R(e),0.0,-0.012583763482145198
EX_adn(e),-1.0,-0.03061652032524056
EX_adocbl(e),-0.0003929238976577337,0.0
EX_ala_L(e),-0.07775446486113527,0.0
EX_alaasp(e),0.0,-0.0012510173511258592
EX_alagln(e),0.0,0.0
EX_alaglu(e),2.3405031550836202e-23,0.0
EX_alagly(e),2.694518022209854e-23,0.0
EX_alahis(e),2.4477841765444208e-23,0.0
EX_alaleu(e),2.5686865292750482e-23,0.0
EX_alathr(e),0.0,0.0
EX_arab_D(e),-0.009521155760682295,0.0
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.225,-0.006285548995212626
EX_asp_L(e),-0.225,-0.006287990378559217
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),-1.3819255768171533e-11,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.020304816791418365
EX_cgly(e),4.038898278269338e-35,0.0
EX_chol(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),5.802660103227299,0.0
EX_cobalt2(e),-0.0003929238976577337,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.008431790651424267,0.0
EX_cytd(e),0.0,-0.022667214278700686
EX_dad_2(e),0.9873968343640528,0.0
EX_dcyt(e),-0.0072188357987933,0.0
EX_dgsn(e),-0.9946156701628461,0.0
EX_din(e),3.566757785566506e-23,0.0
EX_dopa(e),0.0,0.0
EX_duri(e),2.88820291821264e-23,0.0
EX_fe2(e),-2.7211235292177246e-09,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.0011787716929732009,0.0
EX_for(e),1.0262394112573965e-34,0.0
EX_fru(e),-0.14898579,-0.027681611086807827
EX_fum(e),-1.0,-0.006290045089459642
EX_galt(e),0.0,0.0
EX_gam(e),-0.006347437173788197,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),0.0,-0.027681314638557816
EX_gln_L(e),-0.059911705260719275,0.0
EX_glu_L(e),-0.09242062713762082,0.0
EX_gly(e),-0.45,-0.0037689435840365763
EX_glyasn(e),0.0,-0.005017420148637283
EX_glyasp(e),0.0,-0.005019861531983874
EX_glyc(e),-1.79965486,-0.010060688920212777
EX_glycys(e),0.0,0.0
EX_glygln(e),2.4208987351684032e-23,0.0
EX_glyglu(e),2.694518022209854e-23,0.0
EX_glyleu(e),0.0,-0.011305731611511294
EX_glymet(e),2.4969599399244052e-23,0.0
EX_glyphe(e),2.694518022209854e-23,0.0
EX_glypro(e),2.413592545064312e-23,0.0
EX_glytyr(e),0.0,-0.00250770341076468
EX_gthrd(e),-0.0003929238976577337,0.0
EX_gua(e),0.9803253666911111,0.0
EX_h(e),2.790514176410313,0.0
EX_h2o(e),-0.089028172130438,0.0
EX_h2s(e),4.156906135530247e-36,0.0
EX_his_L(e),-0.15,-0.002515425363043818
EX_hista(e),0.12709765193173977,0.0
EX_hxan(e),4.170417879137357e-24,0.0
EX_ile_L(e),-0.15,-0.005019292725088638
EX_ins(e),0.0,-0.02810133875692435
EX_k(e),-6.670364912379345e-07,0.0
EX_leu_L(e),-0.15,-0.00501820620011974
EX_lys_L(e),0.9760643863997076,0.0
EX_malt(e),-0.07449289,-0.05535927428482436
EX_malthx(e),0.0,-0.06543310993048525
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.02768181216201227
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.02260063831713922,0.0
EX_metala(e),2.4969599399244052e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.0008959043438908912,0.0
EX_mn2(e),-1.0834332660677083e-06,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-0.0003929238976577337,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.00039292559769504295,0.0
EX_ncam(e),-1.115219974172724e-34,0.0
EX_nh4(e),2.068904144520109,0.0
EX_o2(e),0.0,-0.11081627366094386
EX_orn(e),0.018527649969575618,0.0
EX_phe_L(e),0.9625001410364252,0.0
EX_pheme(e),-0.0003929238976577337,0.0
EX_pi(e),-0.09122999166054817,0.0
EX_ppa(e),8.003854792857867,0.0
EX_ppi(e),0.0,-1.2982784401176252e-06
EX_pro_L(e),-0.028282250709017985,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.0003932642168408791,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_rib_D(e),-0.17878295,-0.012991944340825954
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.0075481734235982026
EX_sheme(e),-0.0003929238976577337,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.0003929238976577337,0.0
EX_srtn(e),0.0,0.0
EX_succ(e),0.0,-0.002513743989116472
EX_sucr(e),0.0,0.0
EX_thm(e),-0.00039306770293513977,0.0
EX_thr_L(e),-0.04380873626736615,0.0
EX_thymd(e),7.204220873140602e-23,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.08181818,-0.002515425363043818
EX_trypta(e),0.0675327826949653,0.0
EX_ttdca(e),-0.029851557217497767,0.0
EX_tym(e),0.0,-0.0012604068942962052
EX_tyr_L(e),-1.0,-0.0037758322573400232
EX_ura(e),2.5980663347064043e-37,0.0
EX_uri(e),-0.02027883326900693,0.0
EX_val_L(e),-0.06983334130085912,0.0
EX_zn2(e),-2.3796671580821473e-07,0.0
translation_g.2252.peg.2,3.2154971655318073e-06,1.925316133274253e-32
transcription_TU_g.2252.peg.2,7.939571844429198e-08,1.1917536185185005e-32
translation_g.2252.peg.9,0.0,1.4134458786728845e-33
transcription_TU_g.2252.peg.9,0.0,-2.2426857295262218e-32
translation_g.2252.peg.11,0.0,3.294769615946379e-32
transcription_TU_g.2252.peg.11,0.0,4.650039403047996e-32
translation_g.2252.peg.13,4.202300399890299e-10,1.4198353947105122e-32
transcription_TU_g.2252.peg.13,1.0376145342141663e-11,-1.7710105587430443e-32
translation_g.2252.peg.15,1.9576291125968905e-07,2.953939708011131e-33
transcription_TU_g.2252.peg.15,4.833696372311557e-09,2.424171829258963e-33
translation_553204.6.peg.19,0.0,-3.296920968929507e-33
transcription_TU_553204.6.peg.19,0.0,2.23414272147659e-32
translation_g.2252.peg.20,9.071675745214436e-11,2.0783905630545028e-33
transcription_TU_g.2252.peg.20,2.239940439088636e-12,-1.3898504541542865e-32
translation_g.2252.peg.26,1.4621864433284254e-06,9.2299222099309e-33
transcription_TU_g.2252.peg.26,3.610369942539326e-08,6.104140714945616e-32
translation_g.2252.peg.36,0.0,1.7628786718265728e-32
transcription_TU_g.2252.peg.36,0.0,1.4256681457187954e-33
translation_g.2252.peg.41,-1.2572233302160784e-28,-9.283640727572292e-34
transcription_TU_g.2252.peg.41,-3.1042835495991514e-30,8.420322240537037e-33
translation_g.2252.peg.43,-1.035811118257824e-44,6.757851877110164e-33
transcription_TU_g.2252.peg.43,1.7285051957005387e-46,2.0413439660904323e-32
translation_553204.6.peg.46,8.426228028733463e-08,2.382857943359222e-33
transcription_TU_553204.6.peg.46,2.080569173837469e-09,-7.733244257536294e-33
translation_g.2252.peg.56,5.175857741960991e-06,1.273932799000523e-32
transcription_TU_g.2252.peg.56,1.2780012633613335e-07,-1.0160297931485392e-32
translation_g.2252.peg.70,0.0,1.8591187549168723e-33
transcription_TU_g.2252.peg.70,0.0,4.1001398979032746e-33
translation_g.2252.peg.71,1.1317076270696909e-10,5.845927929991499e-33
transcription_TU_g.2252.peg.71,2.7943653965318402e-12,3.764664349770598e-33
translation_g.2252.peg.72,-3.381206513158726e-29,-1.624331619596932e-33
transcription_TU_g.2252.peg.72,-8.348734472491043e-31,1.6315337265558976e-32
translation_g.2252.peg.78,0.0,5.932689646761515e-34
transcription_TU_g.2252.peg.78,0.0,-73.24510817387525
translation_553204.6.peg.86,4.357559845569267e-10,9.261648491988612e-33
transcription_TU_553204.6.peg.86,1.075950550700455e-11,-1.3478961763700477e-33
translation_g.2252.peg.87,0.0,-2.394322230889143e-33
transcription_TU_g.2252.peg.87,0.0,-53.3036170267225
translation_g.2252.peg.89,0.0,1.7323567363992645e-33
transcription_TU_g.2252.peg.89,0.0,1.9728436555387688e-32
translation_g.2252.peg.92,0.0,1.6811413490438358e-33
transcription_TU_g.2252.peg.92,0.0,9.427262110880921e-33
translation_g.2252.peg.100,5.755254730469128e-09,1.1495823099097892e-32
transcription_TU_g.2252.peg.100,1.421063557616084e-10,-9.78144864807439e-33
translation_553204.6.peg.100,5.7896517363359815e-30,-1.219600273070604e-32
transcription_TU_553204.6.peg.100,0.0,-59.68555335501846
translation_553204.6.peg.101,0.0,-6.725965180257387e-33
transcription_TU_553204.6.peg.101,0.0,-75.78676307759258
translation_553204.6.peg.102,0.0,5.321458695371711e-33
transcription_TU_553204.6.peg.102,0.0,-1.848306715499361e-32
translation_553204.6.peg.103,0.0,-1.6588474290864873e-33
transcription_TU_553204.6.peg.103,0.0,-33.89320953767268
translation_553204.6.peg.104,0.0,-3.295913475310332e-33
transcription_TU_553204.6.peg.104,0.0,1.270788242176691e-32
translation_553204.6.peg.108,0.0,1.0022398139519346e-32
transcription_TU_553204.6.peg.108,0.0,-79.82023312250196
translation_g.2252.peg.113,0.0,3.492048680641318e-33
transcription_TU_g.2252.peg.113,0.0,-22.058494003446672
translation_g.2252.peg.115,1.763506918243958e-10,2.5349915177959225e-33
transcription_TU_g.2252.peg.115,4.354377925016812e-12,4.449900198593184e-33
translation_553204.6.peg.117,2.3824924517621717e-08,4.128631820972747e-33
transcription_TU_553204.6.peg.117,5.882751256117975e-10,-9.830363248901906e-33
translation_g.2252.peg.120,1.0378289920464194e-10,6.334959595636088e-33
transcription_TU_g.2252.peg.120,2.5625641760506098e-12,1.8768770090158523e-33
translation_g.2252.peg.128,0.0,-9.704527811579732e-34
transcription_TU_g.2252.peg.128,0.0,1.1208688443914997e-32
translation_g.2252.peg.130,0.0,-8.305928765479156e-33
transcription_TU_g.2252.peg.130,0.0,1.605558932433147e-32
translation_g.2252.peg.131,-5.349678224283572e-29,-2.577825886880753e-33
transcription_TU_g.2252.peg.131,0.0,-42.80242911128594
translation_g.2252.peg.133,1.0799597342465833e-08,2.4556097158753758e-33
transcription_TU_g.2252.peg.133,2.666591652156938e-10,3.4171220096983404e-33
translation_g.2252.peg.137,1.0378289920464194e-10,-8.47428391254864e-33
transcription_TU_g.2252.peg.137,2.5625641760506098e-12,-8.83083869998275e-33
translation_g.2252.peg.144,0.0,7.054186369218187e-33
transcription_TU_g.2252.peg.144,0.0,-1.3291079124743162e-32
translation_553204.6.peg.150,3.6172950455330574e-10,-3.688972137105887e-33
transcription_TU_553204.6.peg.150,8.93167445593365e-12,2.1722266232277394e-33
translation_g.2252.peg.151,1.514291458574522e-08,1.0904600534375578e-32
transcription_TU_g.2252.peg.151,3.7390254787456666e-10,-2.4113991912593473e-32
translation_g.2252.peg.154,0.0,-2.1273201165562923e-32
transcription_TU_g.2252.peg.154,0.0,-2.5749701960809506e-33
translation_g.2252.peg.163,2.553169509700041e-09,-3.763130421828013e-33
transcription_TU_g.2252.peg.163,6.304179947836135e-11,3.2899908903846574e-32
translation_553204.6.peg.163,6.3235870133963e-29,-1.5801809371976133e-33
transcription_TU_553204.6.peg.163,1.561393800795212e-30,9.011976976884472e-33
translation_553204.6.peg.164,0.0,-2.4388693218973788e-33
transcription_TU_553204.6.peg.164,0.0,1.9728436555387688e-32
translation_g.2252.peg.167,-2.0757905981013266e-29,1.7726858564518495e-32
transcription_TU_g.2252.peg.167,-5.125455797094564e-31,-2.5091803674457383e-32
translation_g.2252.peg.172,0.0,4.886752459663104e-33
transcription_TU_g.2252.peg.172,0.0,9.034984513329193e-33
translation_g.2252.peg.179,0.0,2.196312133791274e-32
transcription_TU_g.2252.peg.179,0.0,-110.0579137075306
translation_g.2252.peg.188,0.0,2.9756981781444408e-33
transcription_TU_g.2252.peg.188,0.0,5.409420986181225e-32
translation_553204.6.peg.189,4.3577155909369265e-29,-8.06879454087455e-33
transcription_TU_553204.6.peg.189,1.0759890066987754e-30,-1.4329624575273825e-32
translation_g.2252.peg.192,5.175886117557387e-06,6.436088297084189e-34
transcription_TU_g.2252.peg.192,1.2780082697455603e-07,6.406954464569361e-33
translation_553204.6.peg.194,0.0,1.312134126426192e-32
transcription_TU_553204.6.peg.194,0.0,1.0551563009392983e-32
translation_g.2252.peg.195,1.9972281484062956e-06,-5.456184868022137e-33
transcription_TU_g.2252.peg.195,4.931472664310526e-08,2.2110462018278013e-32
translation_g.2252.peg.196,4.116483166187712e-09,1.4892615681516163e-33
transcription_TU_g.2252.peg.196,1.0164248998467176e-10,-1.2162597041091981e-32
translation_553204.6.peg.196,5.402057414953858e-07,-1.8399137343284897e-32
transcription_TU_553204.6.peg.196,1.3338535456822306e-08,-4.518413440826814e-34
translation_g.2252.peg.197,1.7692818448249793e-10,-1.919865160308483e-32
transcription_TU_g.2252.peg.197,4.368637133508057e-12,-2.1959701183304324e-32
translation_553204.6.peg.197,1.7906347745570061e-06,1.9893483304142425e-33
transcription_TU_553204.6.peg.197,4.421360899373494e-08,-1.4148517554907063e-32
translation_553204.6.peg.198,-2.5119731538400322e-42,-3.4826019567816687e-32
transcription_TU_553204.6.peg.198,1.040864379568863e-43,2.924245895925718e-33
translation_g.2252.peg.201,5.193565245623532e-13,1.9938009463878404e-33
transcription_TU_g.2252.peg.201,1.282373526506868e-14,1.3921010465724025e-33
translation_553204.6.peg.202,3.513619936588336e-07,-9.802363907813041e-33
transcription_TU_553204.6.peg.202,8.675684189554578e-09,-7.927475917164776e-32
translation_g.2252.peg.207,0.0,-1.5046355714343573e-32
transcription_TU_g.2252.peg.207,0.0,-2.3640521065043878e-32
translation_553204.6.peg.209,3.522132866280297e-07,-8.165291268534762e-33
transcription_TU_553204.6.peg.209,8.69670396143322e-09,-1.2636944397015828e-32
translation_g.2252.peg.210,0.0,-6.018405531278468e-33
transcription_TU_g.2252.peg.210,0.0,-78.58547538862413
translation_g.2252.peg.212,0.0,4.98850806933833e-32
transcription_TU_g.2252.peg.212,0.0,-6.998767225590696e-32
translation_g.2252.peg.216,6.351484435765268e-29,1.0469303063145241e-33
transcription_TU_g.2252.peg.216,1.5682821162802038e-30,9.011976976884472e-33
translation_g.2252.peg.222,6.278386780933043e-24,2.621976916745615e-33
transcription_TU_g.2252.peg.222,0.0,-31.09153881432431
translation_g.2252.peg.223,0.0,-4.2493703612035215e-33
transcription_TU_g.2252.peg.223,0.0,-1.8132205929467255e-33
translation_g.2252.peg.229,3.585987911946171e-10,2.5874456170009512e-33
transcription_TU_g.2252.peg.229,8.854372183979971e-12,9.946920326581459e-33
translation_g.2252.peg.232,-1.0479222883073503e-29,1.0148584161372264e-32
transcription_TU_g.2252.peg.232,-2.587486123318628e-31,6.984703096654918e-33
translation_g.2252.peg.233,2.6397202257721246e-06,2.357080408135298e-33
transcription_TU_g.2252.peg.233,6.517887375666335e-08,-2.148752183771019e-32
translation_g.2252.peg.236,0.0,2.5585110179089533e-32
transcription_TU_g.2252.peg.236,0.0,-1.6283526425132992e-32
translation_g.2252.peg.238,1.2458483791289259e-06,7.952026207444742e-33
transcription_TU_g.2252.peg.238,3.07619699354449e-08,-1.4459195027931737e-32
translation_g.2252.peg.239,3.379441431672886e-29,-1.152376737573667e-32
transcription_TU_g.2252.peg.239,0.0,-63.694829090758574
translation_g.2252.peg.241,0.0,5.04223235450574e-33
transcription_TU_g.2252.peg.241,0.0,-24.94669153489603
translation_g.2252.peg.242,0.0,-6.527203741757771e-33
transcription_TU_g.2252.peg.242,0.0,-71.23207594697054
translation_g.2252.peg.244,5.175886117557387e-06,3.1066941584168885e-33
transcription_TU_g.2252.peg.244,1.2780082697455603e-07,-1.8046911123585296e-33
translation_g.2252.peg.247,0.0,-1.4818252636042477e-32
transcription_TU_g.2252.peg.247,0.0,2.025924043777376e-32
translation_g.2252.peg.248,0.0,-6.116212045563824e-33
transcription_TU_g.2252.peg.248,0.0,-6.840615611655008e-32
translation_553204.6.peg.256,5.698054085569724e-63,1.3437842143845802e-33
transcription_TU_553204.6.peg.256,0.0,-1.3975301721444263e-32
translation_553204.6.peg.257,0.0,-9.833488154897948e-33
transcription_TU_553204.6.peg.257,0.0,3.719979845720892e-32
translation_g.2252.peg.258,0.0,-5.433204048322032e-34
transcription_TU_g.2252.peg.258,0.0,-41.97076487160647
translation_g.2252.peg.262,0.0,7.518702498906165e-34
transcription_TU_g.2252.peg.262,0.0,-27.405634645553608
translation_g.2252.peg.269,2.8067506568530875e-12,-2.7961690276622848e-33
transcription_TU_g.2252.peg.269,6.930311968040048e-14,9.855240823900483e-33
translation_g.2252.peg.281,2.0112625001086062e-09,-6.68266900862081e-33
transcription_TU_g.2252.peg.281,4.966125701739671e-11,9.719057927471256e-33
translation_g.2252.peg.287,0.0,2.1566472167301576e-32
transcription_TU_g.2252.peg.287,0.0,-4.420742867128575e-32
translation_g.2252.peg.291,0.0,-6.538052756035413e-33
transcription_TU_g.2252.peg.291,0.0,3.5932014742389864e-32
translation_g.2252.peg.294,1.3352795439991073e-06,1.3019275825544006e-32
transcription_TU_g.2252.peg.294,3.297016705727431e-08,1.2864550294705406e-32
translation_g.2252.peg.296,7.081507415507931e-09,-1.364656839955641e-32
transcription_TU_g.2252.peg.296,1.748536353723842e-10,-6.898453539188306e-33
translation_g.2252.peg.301,1.3313326940665492e-28,9.757980298364513e-33
