,fluxes,reduced_costs
biomass_dilution,0.08720994172240085,-0.5120218814860504
protein_biomass_to_biomass,0.04426787118194611,1.9232700185185518e-34
mRNA_biomass_to_biomass,0.00013294963056574073,0.0
tRNA_biomass_to_biomass,0.0008212437023141402,5.726329035779465e-35
rRNA_biomass_to_biomass,0.0022046786342297827,0.0
ncRNA_biomass_to_biomass,0.0,5.898688166927608e-35
tmRNA_biomass_to_biomass,0.0,5.898688166927608e-35
DNA_biomass_to_biomass,0.005170682223473679,5.898688166927608e-35
lipid_biomass_to_biomass,0.0,5.898688166927608e-35
constituent_biomass_to_biomass,0.009694039745207805,5.898688166927608e-35
prosthetic_group_biomass_to_biomass,1.7799064818896565e-05,-6.735709370893641e-35
peptidoglycan_biomass_to_biomass,0.0,5.898688166927608e-35
DM_4HBA,0.0,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.013050244127050496
DM_btn,7.48936356920743e-33,0.0
DM_clpn140(c),0.0,-0.21041633426480105
DM_clpn160(c),0.0,-0.2104164776268393
DM_clpn180(c),0.0,-0.21041633426480105
DM_clpni16(c),0.0,-0.21042055845741275
DM_dad_5,7.48936356920743e-33,0.0
DM_dhptd(c),6.417083332255157e-05,0.0
EX_15dap(e),0.0,-0.013045973755765446
EX_4abut(e),0.0,-0.009787290092812057
EX_ac(e),6.879816102037514,0.0
EX_acac(e),0.0,-0.011417843648444975
EX_acgam(e),-1.0,-0.016291257144121097
EX_ala_L(e),-0.02418013456080618,0.0
EX_alaasp(e),0.0,-0.0016276047632109564
EX_alagln(e),0.0,-0.003259187630475346
EX_alaglu(e),0.0,-0.004891653040598118
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-0.01467633989390627
EX_alaleu(e),0.0,0.0
EX_alathr(e),4.022613795441726e-23,0.0
EX_arg_L(e),-0.02384936120416262,0.0
EX_asn_L(e),-0.225,-0.008152080790875536
EX_asp_L(e),-0.225,-0.009784357983044004
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
