,fluxes,reduced_costs
biomass_dilution,0.21461604902457337,-0.38393842922062915
protein_biomass_to_biomass,0.07698178022757861,0.0
mRNA_biomass_to_biomass,0.000294671673485061,0.0
tRNA_biomass_to_biomass,0.001716419931994301,0.0
rRNA_biomass_to_biomass,0.01282690171821838,-4.6886360983700566e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.012559620131794265,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.06689560256417455,0.0
prosthetic_group_biomass_to_biomass,3.880139931523927e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,-0.05952825813404791
DM_5DRIB,0.00340797408888081,0.0
DM_5MTR,0.0,0.0
DM_GCALD,0.0,-0.015520891988435854
DM_atp_c_,0.0,-0.010354101773186781
DM_dad_5,0.0,-0.00518476719331663
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.007770852023915361
EX_12dgr180(e),-0.008922190082888784,0.0
EX_13ppd(e),0.0,0.0
EX_2ddglcn(e),0.0,-0.025865603834276732
EX_Lcyst(e),0.0,0.0
EX_ac(e),7.365092855138028,0.0
EX_acald(e),0.0,-0.005174978959900598
EX_acgam(e),-1.0,-0.03361397149461745
EX_actn_R(e),0.0,-0.010346658781451405
EX_adocbl(e),-0.001703987044440405,0.0
EX_ala_D(e),-0.027908499322316302,0.0
EX_ala_L(e),-0.0869200484207686,0.0
EX_alaasp(e),0.0,-0.002575503255081369
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),2.4162082425563956e-23,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.02327593034092753
EX_arbt(e),0.0,-0.03103113409142876
EX_asn_L(e),-0.225,-0.007749199601074414
EX_asp_L(e),-0.225,-0.007753076985930457
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),-8.991415259237221e-10,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.02312196537557859
EX_cellb(e),-0.07449289,-0.062062426834603134
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.36213142417430844,0.0
EX_cobalt2(e),-0.001703987044440405,0.0
EX_crn(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.007656022158681432,0.0
EX_dextrin(e),0.0,-0.17582331833968365
EX_drib(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),4.707123181850879,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-0.0017039982541244415,0.0
EX_fol(e),-0.005111961133321215,0.0
EX_for(e),10.49800698114907,0.0
EX_fru(e),-0.14898579,-0.03103260545991233
EX_gal(e),-0.14898579,-0.02584948989647539
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.03102989838866081
EX_gcald(e),0.0,-0.015519974825833185
EX_glc_D(e),0.0,-0.03103267270348499
EX_glcn(e),-0.14898579,-0.02586146241890292
EX_gln_L(e),-0.06581145969065387,0.0
EX_glu_L(e),-0.18,-4.890401947790273e-06
EX_gly(e),-0.45,-0.005157782748389174
EX_glyasn(e),0.0,-0.007729521480368714
EX_glyasp(e),0.0,-0.007733398865224757
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.010339020914137919
EX_glyc3p(e),-0.23726822186977164,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),2.4225495920512934e-23,0.0
EX_glyleu(e),0.0,-0.0077464685641414534
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),2.4508170290033793e-23,0.0
EX_glytyr(e),0.0,0.0
EX_gua(e),-0.04767880027758621,0.0
EX_h(e),14.370264150076027,0.0
EX_h2o(e),-6.17116592691668,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.04850591370707213,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.05596407722488396,0.0
EX_ind3ac(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-3.827217456014402e-08,0.0
EX_lac_D(e),0.0,-0.005172285886545894
EX_lac_L(e),0.0,-0.0051729216888905145
EX_leu_L(e),-0.11900065957205713,0.0
EX_lys_L(e),-0.07201846470222076,0.0
EX_malt(e),-0.07449289,-0.06205842520089091
EX_malthx(e),0.0,-0.18617470284739424
EX_malttr(e),0.0,-0.09308704006429154
EX_man(e),-0.14898579,-0.031033721966517703
EX_mantr(e),0.0,-0.08272861170612761
EX_melib(e),-0.07449289,-0.051700870405061744
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.03125865974117274,0.0
EX_metala(e),2.4853163913739187e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.0014983032623458196,0.0
EX_mn2(e),-1.2335691421565008e-06,0.0
EX_mnl(e),-0.14898579,-0.025856183245963962
EX_mops(e),0.0,0.0
EX_mqn7(e),-0.00340797408888081,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.0,0.0
EX_nh4(e),3.7517185269954476,0.0
EX_nmn(e),-0.001703987044440405,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.010349886197490546
EX_o2(e),0.0,-0.02070357182191891
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.05082328109957539,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.0017044125657726223,0.0
EX_pro_L(e),0.0,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.001704033307352492,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_raffin(e),-0.00470194,-0.08273102813975565
EX_rib_D(e),-0.17878295,-0.015511151424876229
EX_ribflv(e),-0.00340797408888081,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,-0.02585740219137243
EX_ser_D(e),0.0,-0.010346764586680343
EX_ser_L(e),-1.0,-0.010344223441699184
EX_sheme(e),-0.001703987044440405,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.001703987044440405,0.0
EX_stys(e),0.0,-0.11375876944082151
EX_succ(e),0.0,-0.0025777032627820854
EX_sucr(e),-0.07449289,-0.062062245570852374
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-0.001703987044440405,0.0
EX_thr_L(e),-0.06564780160211847,0.0
EX_tre(e),-0.07449289,-0.0724146751532495
EX_trp_L(e),-0.011427811090639712,0.0
EX_tyr_L(e),-0.03392903030511968,0.0
EX_ura(e),-0.04652707791242102,0.0
EX_val_L(e),-0.07563837491600345,0.0
EX_xan(e),0.0,0.0
EX_xyl_D(e),-0.17878295,-0.02586579928301826
EX_zn2(e),-6.320056842067824e-07,0.0
translation_g.24585.CDS.2,0.0,-9.51421727328354e-33
transcription_TU_g.24585.CDS.2,0.0,-3.465091303287547e-33
translation_g.24585.CDS.3,8.753480224966452e-06,-1.9934809796820767e-33
transcription_TU_g.24585.CDS.3,1.5049839834692293e-07,-4.000300903653671e-33
translation_g.24585.CDS.13,0.0,-3.3674667138346166e-32
transcription_TU_g.24585.CDS.13,0.0,2.3588374279202635e-32
translation_g.24585.CDS.19,1.4918855566849932e-06,-1.2127580551302567e-34
transcription_TU_g.24585.CDS.19,2.564995647760882e-08,7.894159903223838e-33
translation_1136177.4.peg.19,0.0,7.637414031494506e-33
transcription_TU_1136177.4.peg.19,0.0,-1.9953390279651947e-32
translation_g.24585.CDS.21,0.0,-1.8403260518716178e-32
transcription_TU_g.24585.CDS.21,0.0,-66.8113754444428
translation_g.24585.CDS.24,1.4753952631243953e-09,1.205819317444863e-32
transcription_TU_g.24585.CDS.24,2.5366439213005633e-11,1.7172172205724257e-32
translation_g.24585.CDS.26,0.0,-9.842557014508712e-33
transcription_TU_g.24585.CDS.26,0.0,-6.225005611145895e-34
translation_g.24585.CDS.28,8.753480224966452e-06,-2.9094832052174554e-33
transcription_TU_g.24585.CDS.28,1.5049839834692293e-07,-5.569266161978715e-34
translation_1136177.4.peg.29,0.0,6.796623021145264e-33
transcription_TU_1136177.4.peg.29,0.0,-2.4543441779480136e-32
translation_1136177.4.peg.30,0.0,2.3815871750298692e-33
transcription_TU_1136177.4.peg.30,0.0,-69.86763027677033
translation_1136177.4.peg.31,3.861274882734318e-08,7.952460001507455e-33
transcription_TU_1136177.4.peg.31,6.638681649971336e-10,7.448791476411424e-33
translation_1136177.4.peg.32,0.0,1.1509973228800864e-33
transcription_TU_1136177.4.peg.32,0.0,2.6758617879566387e-32
translation_1136177.4.peg.33,4.929573048451258e-08,3.789690893296975e-33
transcription_TU_1136177.4.peg.33,8.475404402126423e-10,1.4711118036627562e-33
translation_1136177.4.peg.34,3.580308379945719e-08,5.970946075689253e-33
transcription_TU_1136177.4.peg.34,6.155616542470251e-10,-2.425226499548627e-32
translation_g.24585.CDS.35,0.0,9.765062936960657e-33
transcription_TU_g.24585.CDS.35,0.0,-85.74271921221745
translation_1136177.4.peg.35,0.0,-5.549996133592484e-33
transcription_TU_1136177.4.peg.35,0.0,-66.55760257381155
translation_g.24585.CDS.36,0.0,-6.113662939761329e-33
transcription_TU_g.24585.CDS.36,0.0,-2.336724080369314e-32
translation_g.24585.CDS.37,8.753480224966452e-06,5.102583083050622e-34
transcription_TU_g.24585.CDS.37,1.5049839834692293e-07,-7.857370641212851e-33
translation_g.24585.CDS.39,0.0,1.4837872562055732e-34
transcription_TU_g.24585.CDS.39,0.0,-3.742941230165009e-32
translation_g.24585.CDS.41,0.0,-1.318963789026885e-32
transcription_TU_g.24585.CDS.41,0.0,-2.2531618065091704e-32
translation_g.24585.CDS.42,0.0,-6.638574678144973e-33
transcription_TU_g.24585.CDS.42,0.0,2.218482431278383e-32
translation_g.24585.CDS.43,0.0,-2.6995134703410976e-33
transcription_TU_g.24585.CDS.43,0.0,-66.68165039753777
translation_g.24585.CDS.47,0.0,6.657500558386303e-33
transcription_TU_g.24585.CDS.47,0.0,-3.352131252583501e-32
translation_g.24585.CDS.48,8.753480224966452e-06,-9.507499594160181e-34
transcription_TU_g.24585.CDS.48,1.5049839834692293e-07,4.184781214872837e-33
translation_g.24585.CDS.49,9.040363139937675e-10,-1.5551663126016772e-32
transcription_TU_g.24585.CDS.49,1.5543077017008893e-11,-2.696231472767179e-32
translation_g.24585.CDS.56,8.75356941459609e-06,-5.291001067949322e-33
transcription_TU_g.24585.CDS.56,1.5049993178231833e-07,2.283890188077042e-33
translation_g.24585.CDS.58,0.0,5.315678811704445e-34
transcription_TU_g.24585.CDS.58,0.0,-51.666789490566245
translation_g.24585.CDS.62,0.0,-1.6228342275565962e-32
transcription_TU_g.24585.CDS.62,0.0,8.485221157559825e-33
translation_1136177.4.peg.62,6.310811498983873e-08,1.1097241243054698e-33
transcription_TU_1136177.4.peg.62,1.0850164716857594e-09,-7.768248242715983e-33
