,fluxes,reduced_costs
biomass_dilution,0.17636949495599613,-0.2985437096318404
protein_biomass_to_biomass,0.06927683733693643,-5.035088958571111e-35
mRNA_biomass_to_biomass,0.0002645336209824686,0.0
tRNA_biomass_to_biomass,0.0016062552518354908,0.0
rRNA_biomass_to_biomass,0.011375774257995812,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.010395487517362795,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.044446205375670664,0.0
prosthetic_group_biomass_to_biomass,3.6180593185727455e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.04113842764279653
DM_atp_c_,0.0,-0.00628726554898684
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.001967097427228844
EX_26dap_M(e),7.016803312848199e-35,0.0
EX_34dhphe(e),0.0,-0.001966708106419358
EX_3mop(e),-0.060023176342218675,0.0
EX_4abz(e),-0.001638384423393726,0.0
EX_5htrp(e),0.0,-0.001966708106419358
EX_Lcyst(e),0.0,-0.0019683836213183047
EX_ac(e),15.096846170967554,0.0
EX_acald(e),0.0,-0.007459195453384149
EX_acgam(e),0.0,0.0
EX_adocbl(e),-0.0005465977493364379,0.0
EX_ala_L(e),-1.0,-0.0035258008102043883
EX_alaasp(e),0.0,-0.011378050045204074
EX_alagln(e),0.0,-0.016087108826530718
EX_alaglu(e),0.0,-0.01608890500010616
EX_alagly(e),0.0,-0.0003819352687242629
EX_alahis(e),0.0,-0.0023480546676066883
EX_alaleu(e),0.0,-0.0050971182194892994
EX_alathr(e),0.0,-0.0003819352687242629
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.225,-0.010993781516736433
EX_asp_L(e),-0.225,-0.010996703484016743
EX_biomass(e),0.0,0.0
EX_but(e),-2.0,-0.008627719524601138
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),-1.798092982389339e-10,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.019308678112968155
EX_cgly(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.0003985657566062768
EX_cobalt2(e),-0.0005462109310782714,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0038398392238199663,0.0
EX_dcyt(e),-0.016874443186477725,0.0
EX_dopa(e),0.0,0.0
EX_etha(e),0.0,-0.005886985457800253
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-0.008634651624786516
EX_fe2(e),-0.0005461380233822531,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-1.0,-0.0015720861214099553
EX_fru(e),-0.14898579,-0.030623811827410155
EX_fum(e),-1.0,-0.010998412893847339
EX_galt(e),0.0,0.0
EX_gam(e),-0.008822354876688837,0.0
EX_gcald(e),0.0,-0.012561994640253748
EX_glc_D(e),0.0,-0.03691739932709845
EX_gln_L(e),-0.18,-0.015705762265343388
EX_glu_L(e),-0.18,-0.015707243324081556
EX_gly(e),-0.20825440244248883,0.0
EX_glyasn(e),0.0,-0.007849327267719374
EX_glyasp(e),0.0,-0.007852249234999685
EX_glyc(e),-1.79965486,-0.0164851286730438
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.01256189672386326
EX_glyglu(e),0.0,-0.012562515482364837
EX_glyleu(e),0.0,-0.006286954999972644
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),3.292241051326694e-23,0.0
EX_gthrd(e),-0.000546128141131242,0.0
EX_gua(e),0.0,0.0
EX_h(e),4.807849216200939,0.0
EX_h2o(e),-2.002320572894571,0.0
EX_h2s(e),-1.0796945439630928e-22,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.001966708106419358
EX_hista(e),0.1292635351140199,0.0
EX_ile_L(e),0.0,0.0
EX_ind3ac(e),0.0,0.0
EX_isetac(e),-2.687919691630997e-25,0.0
EX_k(e),-3.1861457162155715e-07,0.0
EX_leu_L(e),-0.10638466555446338,0.0
EX_lys_L(e),-0.06528977917742115,0.0
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_L(e),-0.029306912741145434,0.0
EX_metala(e),0.0,-0.0003813465611873302
EX_mg2(e),-0.001350443199018625,0.0
EX_mn2(e),-1.895306935058322e-06,0.0
EX_mnl(e),0.0,0.0
EX_mops(e),0.0,0.0
EX_mqn7(e),-0.001092256282262484,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.0,0.0
EX_nh4(e),1.6126357549537222,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.007467702468524422
EX_o2(e),0.0,-0.04003728941160088
EX_ocdca(e),-0.015023859058331574,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.03855933531038525,0.0
EX_pheme(e),-0.000546128141131242,0.0
EX_pi(e),-0.09100136266611936,0.0
EX_ppa(e),-2.0,-0.004702418619522126
EX_pro_L(e),-0.049141145740043406,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),0.0,0.0
EX_pydxn(e),-0.0005464838390904656,0.0
EX_ribflv(e),-0.0010922947858583428,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_so4(e),5.306581650623302e-23,0.0
EX_spmd(e),-0.000546128141131242,0.0
EX_srtn(e),0.0,0.0
EX_succ(e),0.0,-0.006674269011772153
EX_sucr(e),0.0,0.0
EX_sulfac(e),2.687919691630997e-25,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-0.0005461513625362207,0.0
EX_thr_L(e),-0.049480817240218876,0.0
EX_tre(e),0.0,0.0
EX_trypta(e),0.0,-0.08131038678664099
EX_tsul(e),2.7451818945038134e-23,0.0
EX_ttdca(e),-0.02646712780083687,0.0
EX_tym(e),0.9729125242139631,0.0
EX_tyr_L(e),-1.0,-0.001966708106419358
EX_val_L(e),-0.07983402737929166,0.0
EX_zn2(e),-9.118638501496245e-07,0.0
translation_g.3.peg.6,7.855331231153227e-41,8.857755048276752e-33
transcription_TU_g.3.peg.6,-1.2746530256959033e-42,-8.689334233417513e-33
translation_g.3.peg.10,0.0,3.368105335749169e-33
transcription_TU_g.3.peg.10,0.0,-38.65461802372736
translation_g.3.peg.15,0.0,-2.8224193909328647e-33
transcription_TU_g.3.peg.15,0.0,1.0329950259716985e-32
translation_g.3.peg.20,0.0,-1.29418833795108e-32
transcription_TU_g.3.peg.20,0.0,-2.1041109895585557e-32
translation_g.3.peg.22,0.0,-6.955056519379682e-33
transcription_TU_g.3.peg.22,0.0,-59.3801198465565
translation_g.3.peg.32,3.3512722528807314e-09,-4.852979124490103e-33
transcription_TU_g.3.peg.32,6.548326307943271e-11,-1.0953100360620051e-32
translation_1000565.3.peg.36,0.0,9.513461307400172e-35
transcription_TU_1000565.3.peg.36,0.0,-1.007784115086999e-32
