,fluxes,reduced_costs
biomass_dilution,0.26241234965004623,0.012869115617412129
protein_biomass_to_biomass,0.1135473533681087,5.242962777357897e-36
mRNA_biomass_to_biomass,0.00048211940541696235,1.7861665215051235e-36
tRNA_biomass_to_biomass,0.002825714612313066,0.0
rRNA_biomass_to_biomass,0.02086755492694324,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.01511965847941788,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.04563401277112785,0.0
prosthetic_group_biomass_to_biomass,6.554981715739078e-05,-2.1428512868973413e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,1.919099993799424e-06,0.0
DM_AMOB,-1.3132571722416493e-56,0.0
DM_atp_c_,0.0,-1.1378830060663204e-05
DM_btn,0.0,-1.2500250358312975e-05
DM_dad_5,0.0,-4.0340982548586014e-05
DM_dhptd(c),0.017535488203303504,0.0
DM_kdo2lipid4L(c),0.0,-0.0003322352574666445
DM_pheme(c),0.0,-1.2500250358312975e-05
EX_12ppd_S(e),0.0,-3.6396489932713635e-06
EX_3dhcdchol(e),0.0,-2.183721804169956e-06
EX_3dhchol(e),0.0,-2.183721804169956e-06
EX_4abut(e),0.0,-1.1079864318797535e-05
EX_4hbz(e),0.0,0.0
EX_4hpro(e),0.0,-6.260823873879487e-06
EX_C02528(e),0.0,0.0
EX_ac(e),6.008013149434751,0.0
EX_acald(e),0.0,-3.946247534760296e-06
EX_acgam(e),-0.3367718825733407,0.0
EX_adn(e),0.0,0.0
EX_adocbl(e),-0.07046930432942972,0.0
EX_arab_L(e),-1.0293704864425802e-56,0.0
EX_arabttr(e),0.0,0.0
EX_arg_L(e),-0.12282991545242875,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-2.302322620160225e-06
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0004625289371447801
EX_cholate(e),0.0,0.0
EX_chtbs(e),0.0,0.0
EX_cl(e),-2.0111998998344864e-29,0.0
EX_co2(e),0.0,-2.3220713040591537e-06
EX_cobalt2(e),-0.004212918114681195,0.0
EX_cro4(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-3.175313887497911e-05
EX_dad_2(e),0.0010807807188263402,0.0
EX_dcyt(e),-0.024552735221297212,0.0
EX_ddca(e),-0.03816536341136778,0.0
EX_dgchol(e),0.0,0.0
EX_dgsn(e),-0.0010807807188263402,0.0
EX_din(e),0.0,-1.794276710803499e-05
EX_drib(e),-6.315028603490609e-34,0.0
EX_duri(e),0.0,0.0
EX_etoh(e),0.0,-1.8615572632262747e-06
EX_fe2(e),-7.184574310843784e-09,0.0
EX_fe3(e),-2.91640966569593e-29,0.0
EX_for(e),1.3835126476659991,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-1.1112312348430245e-05
EX_gbbtn(e),0.0,0.0
EX_gcald(e),1.919099993799424e-06,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),9.696059804571024e-35,0.0
EX_glcur(e),0.0,-1.088665259676609e-05
EX_glu_L(e),-0.18,-1.0127161599818992e-05
EX_gly(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_gsn(e),0.0,-2.5829899672844246e-06
EX_h(e),15.707589820781818,0.0
EX_h2(e),4.284346971202768,0.0
EX_h2o(e),-2.6591071125258894e-34,0.0
EX_hdca(e),5.866344366442679e-57,0.0
EX_hg2(e),0.0,0.0
EX_icdchol(e),0.0,0.0
EX_ins(e),0.0,-1.7259350565423365e-05
EX_isobut(e),0.0,-2.846671324597095e-06
EX_isocapr(e),0.0,0.0
EX_isochol(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-1.5883778658707416e-06,0.0
EX_lac_D(e),0.0,-1.114207320522483e-06
EX_lac_L(e),0.0,0.0
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.12973303396373106,0.0
EX_lys_L(e),-0.11585125938018981,0.0
EX_malt(e),-3.324363361567209e-33,0.0
EX_man(e),0.0,0.0
EX_mantr(e),1.3199274824496029e-56,0.0
EX_met_L(e),-0.06837104399941941,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.002479648044979741,0.0
EX_mn2(e),-8.346912519028531e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0020495849791209346,0.0
EX_nh4(e),0.9513609554776613,0.0
