,fluxes,reduced_costs
biomass_dilution,0.6712586129697684,0.009584134536409527
protein_biomass_to_biomass,0.2781654945491502,0.0
mRNA_biomass_to_biomass,0.00192980758891286,0.0
tRNA_biomass_to_biomass,0.011283479349784124,0.0
rRNA_biomass_to_biomass,0.0831855066844207,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.02320865922346885,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.11673316502764901,0.0
prosthetic_group_biomass_to_biomass,0.0002844098624857487,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,1.3218753851228702e-05,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-3.263204557447121e-05
DM_btn,2.556510054887449e-32,0.0
DM_dad_5,0.0,-0.00018754222001670403
DM_dhptd(c),0.0009251129525731558,0.0
DM_kdo2lipid4L(c),0.0,-0.0009431454261201798
DM_pheme(c),0.0,0.0
DM_teich_45_BS(c),0.0,-0.0058425324428158275
EX_12ppd_S(e),1.944569137949059e-34,0.0
EX_2obut(e),-0.2615246092049342,0.0
EX_C02528(e),0.0,0.0
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),12.975979873899004,0.0
EX_acgam(e),-1.0,-1.1144293254996159e-05
EX_adn(e),-0.2034629687209742,0.0
EX_adocbl(e),0.0,0.0
EX_amylopect900(e),-1.567e-05,-0.0175446732977722
EX_amylose300(e),-4.702e-05,-0.0033879489902483694
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,0.0
EX_arg_L(e),-0.15,-0.00018377040429942481
EX_asn_L(e),-0.225,-1.4168359260564415e-05
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),2.2679069870001229e-41,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0006769192767745591
EX_cholate(e),0.0,0.0
EX_chtbs(e),0.0,-8.559409719689962e-06
EX_cit(e),0.0,0.0
EX_cl(e),-1.7395108972134201e-28,0.0
EX_co2(e),0.0,-5.9758462778682194e-06
EX_cobalt2(e),-0.005250029355569609,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.054117116851760357,0.0
EX_cytd(e),0.0,-4.806010847017992e-05
EX_dad_2(e),0.018236860438172717,0.0
EX_dcyt(e),-0.03243556883679809,0.0
EX_ddca(e),-0.09762858082266203,0.0
EX_dgchol(e),0.0,0.0
EX_dgsn(e),-0.018236860438172717,0.0
EX_din(e),0.0,0.0
EX_duri(e),8.380744691070062e-56,0.0
EX_fe2(e),-5.1815228035538966e-08,0.0
EX_fe3(e),-1.1700538722407223e-28,0.0
EX_for(e),1.5440187678395034,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-3.674870426145762e-05
EX_gam(e),-1.0,-1.121981939533104e-05
EX_gam26s(e),0.0,-3.138396157360992e-07
EX_gcald(e),1.3218753851228702e-05,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),10.776623883357031,0.0
EX_glcur(e),0.0,-3.740797336647647e-05
EX_gly(e),0.0,0.0
