,fluxes,reduced_costs
biomass_dilution,0.02599539974819718,-0.30203167983282125
protein_biomass_to_biomass,0.012695809465642707,-6.845007344718087e-35
mRNA_biomass_to_biomass,3.395947862203321e-05,0.0
tRNA_biomass_to_biomass,0.00019897957065024581,-4.3710523999581065e-35
rRNA_biomass_to_biomass,0.00148916440527481,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0015418884690619008,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.002889583840724656,0.0
prosthetic_group_biomass_to_biomass,4.6216937968034795e-06,-3.649453017951388e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.002302450613899546
DM_dhptd(c),1.733309729704041e-05,0.0
EX_4abut(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),-1.0,-0.0022974156799524924
EX_acald(e),0.0,-0.0023002594643571324
EX_acgam(e),0.0,0.0
EX_actn_R(e),0.0,-0.004600089131697582
EX_adn(e),-0.16113216047657075,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.01158361511103483,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-1.5931092770312844e-07
EX_alahis(e),0.0,-7.529840804347451e-08
EX_alaleu(e),0.0,-1.790434578839921e-07
EX_alathr(e),0.0,-7.529840804347451e-08
EX_arab_L(e),3.1796600775241414e-52,0.0
EX_arabttr(e),0.0,0.0
EX_arbt(e),0.0,-1.0993295524960424e-07
EX_arg_L(e),-0.008753399458179918,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.008523794241952641,0.0
EX_asp_L(e),-0.07990636586532081,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),-4.5305054443305266e-08,0.0
EX_cd2(e),0.0,0.0
EX_cellb(e),0.0,0.0
EX_cgly(e),2.1886687456449072e-29,0.0
EX_chol(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.18896536237371925,0.0
EX_cobalt2(e),-0.00020300848171188814,0.0
EX_crn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.000936317011876652,0.0
EX_cytd(e),0.0,-0.01736163627325746
EX_dad_2(e),0.15961186858546753,0.0
EX_dcyt(e),-1.8948113051069854e-30,0.0
EX_dextrin(e),0.0,0.0
EX_dgchol(e),0.0,0.0
EX_dgsn(e),-0.16308228413168574,0.0
EX_din(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_etoh(e),0.9206696306252287,0.0
EX_fe2(e),-5.8397008715318044e-09,0.0
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,0.0
EX_for(e),0.0007560653081279511,0.0
EX_fru(e),-1.5966086292786672e-39,0.0
EX_gal(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.16231889744066857,0.0
EX_gln_L(e),-0.03236692523073532,0.0
EX_glu_L(e),0.0,0.0
EX_gly(e),-0.010307027235009765,0.0
EX_glyasn(e),0.0,-1.5931092770312844e-07
EX_glyasp(e),0.0,-1.5931092770312844e-07
EX_glyb(e),0.0,0.0
