,fluxes,reduced_costs
biomass_dilution,0.0010677601108114317,0.014737453839428547
protein_biomass_to_biomass,0.0005346156572958484,6.359285292462734e-36
mRNA_biomass_to_biomass,1.3515367351261495e-06,0.0
tRNA_biomass_to_biomass,8.248896213577712e-06,0.0
rRNA_biomass_to_biomass,4.0607950247123785e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,6.333324147889263e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00011868955245379739,0.0
prosthetic_group_biomass_to_biomass,1.9196915815094922e-07,-2.1530732570992715e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,0.0
DM_AMOB,-7.808367106670487e-33,0.0
DM_atp_c_,0.0,-2.2594440486313675e-07
DM_btn,-7.808367106670487e-33,0.0
DM_clpn140(c),0.0,-4.632177993582256e-06
DM_clpn160(c),0.0,-3.206788391091261e-06
DM_clpn180(c),0.0,-4.579859868468437e-06
DM_clpni16(c),0.0,0.0
DM_dad_5,-7.808367106670487e-33,0.0
DM_hcys_L[c],0.22468975580338743,0.0
EX_15dap(e),0.0,-4.3832121252262565e-07
EX_26dap_M(e),0.0,0.0
EX_4abut(e),0.0,0.0
EX_ac(e),1.5143674466529444,0.0
EX_acac(e),0.0,-1.9635392031757186e-07
EX_acald(e),0.0,-1.5099556920250232e-07
EX_acgam(e),5.2202435743988196e-52,0.0
EX_adn(e),-0.0002822840146016174,0.0
EX_adocbl(e),-1.3205457469759123e-51,0.0
EX_ala_L(e),-0.0004574538583240767,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),-2.705846403218268e-41,1.841338432166187e-37
EX_arg_L(e),-0.00027315912410056997,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.21484363643159163,-6.33816541415389e-38
EX_asp_L(e),-0.225,-1.4105991658120123e-08
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_btoh(e),0.0,-1.5772822970712092e-07
EX_but(e),0.0,-5.1518106977539707e-08
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,9.917498901093787e-36
EX_cd2(e),0.0,-0.00031080698219163884
EX_cgly(e),0.0,0.0
EX_cit(e),-2.8162152335379845e-57,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.8885385854566646,0.0
EX_cobalt2(e),-8.338571352093743e-06,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_ctbt(e),0.0,9.918262972421822e-36
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-9.960711434444894e-08
EX_cytd(e),0.0,-2.0897941239886455e-07
EX_dad_2(e),0.00014837753809943891,0.0
EX_dcyt(e),0.0,0.0
EX_dgsn(e),-8.582810923898242e-05,0.0
EX_din(e),0.0,-4.84195392086351e-07
EX_drib(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_etoh(e),0.0,-8.973168959398282e-08
EX_fe2(e),-1.2271566420180418e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-1.620596891308516e-05,0.0
EX_fru(e),-9.658367130802174e-42,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gbbtn(e),0.0,9.918262972421822e-36
EX_gcald(e),0.0,-1.0631790150979167e-07
EX_glc_D(e),8.9647322459663e-43,0.0
EX_gln_L(e),3.818126545967637e-45,0.0
