,fluxes,reduced_costs
biomass_dilution,0.003201479226896347,-0.8252814905336837
protein_biomass_to_biomass,0.0011886761797806147,-8.929748885871363e-35
mRNA_biomass_to_biomass,3.090839543436661e-06,0.0
tRNA_biomass_to_biomass,1.7924050383382873e-05,-1.7002628390126757e-34
rRNA_biomass_to_biomass,0.00013495518106628252,0.0
ncRNA_biomass_to_biomass,0.0,8.575579916987906e-35
tmRNA_biomass_to_biomass,0.0,8.575579916987906e-35
DNA_biomass_to_biomass,0.00018989289327352122,8.575579916987906e-35
lipid_biomass_to_biomass,0.0,8.575579916987906e-35
constituent_biomass_to_biomass,0.0009978977944720116,8.575579916987906e-35
prosthetic_group_biomass_to_biomass,4.1193725050146743e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,8.575579916987906e-35
DM_5DRIB,5.0837569235577845e-05,0.0
DM_5MTR,2.5418784617788922e-05,0.0
DM_GCALD,0.014547078486784446,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.007567290605493488
DM_clpn180(c),0.0,-0.425667496599631
DM_clpnai17(c),0.0,-3.0773986650528206e-07
DM_clpni17(c),0.0011381290560077242,0.0
DM_dad_5,0.0,-0.0548638806160175
DM_dhptd(c),0.0,0.0
EX_4abz(e),-0.014547078486784446,0.0
EX_5mthf(e),0.0,-0.07189003848825652
EX_Lcyst(e),0.0,0.0
EX_ac(e),1.979095856511556,0.0
EX_acald(e),0.0,-1.1597191071680715
EX_acgam(e),0.0,0.0
EX_actn_R(e),0.0,-1.1828940619035513
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.001930134161827831,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-2.7363070315353368e-08
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-1.877420597760518e-05
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.0005244872025036697,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.01511154619623319,0.0
EX_biomass(e),0.0,0.0
EX_btd_RR(e),0.0,-1.1985017847172483
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.04060080257173753
EX_cellb(e),0.0,0.0
EX_cgly(e),-0.0021004701910046354,0.0
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cit(e),-1.0,-0.011350728796228218
EX_cl(e),0.0,0.0
EX_co2(e),1.032806157213524,0.0
EX_cobalt2(e),-2.5418784617788922e-05,0.0
EX_crn(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0020404643472535775,0.0
EX_dextrin(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-1.175326871026374
EX_fe2(e),-3.743752317956537e-05,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),0.014470822132931079,0.0
EX_for(e),1.0254144514585803,0.0
EX_fru(e),-8.828178327295981e-26,0.0
EX_gal(e),-3.042765449287983e-21,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-0.0004163177974822194,0.0
EX_gbbtn(e),0.0,0.0
EX_glc_D(e),-0.0164120455096942,0.0
EX_glcn(e),0.0,0.0
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.01703633151609825,0.0
EX_gly(e),0.0,0.0
EX_glyasn(e),0.0,-6.32688761311125e-08
EX_glyasp(e),0.0,-2.7363070315353368e-08
EX_glyb(e),0.0,0.0
EX_glyc(e),0.0,0.0
EX_glyc3p(e),-0.005643890258379489,0.0
EX_glycys(e),0.0,7.190268320102886e-29
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,-2.7363070315353368e-08
EX_glyleu(e),0.0,-0.005675520535376702
EX_glymet(e),0.0,-0.005675510845334866
EX_glyphe(e),0.0,-6.32688761311125e-08
EX_glypro(e),0.0,-0.00567551054334239
EX_glytyr(e),0.0,-2.7363070315353368e-08
EX_h(e),-0.06442102050892098,0.0
EX_h2o(e),-0.8684481937696819,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.000662932244811072,0.0
EX_ile_L(e),-0.0011996963339904261,0.0
EX_ind3ac(e),0.0,0.0
EX_inost(e),0.0,0.0
EX_inulin(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-4.1664856722800365e-11,0.0
EX_kesto(e),0.0,0.0
EX_kestopt(e),0.0,0.0
EX_kestottr(e),0.0,0.0
EX_lac_D(e),0.0,-0.023174959243741786
EX_lac_L(e),0.0,-0.025066702504857836
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.006443306994079726,0.0
EX_lys_L(e),-0.0006622384596046987,0.0
EX_mal_L(e),0.0,-0.025083768240879246
EX_malt(e),0.0,0.0
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_man(e),0.0,0.0
EX_mantr(e),0.0,-0.001891800947831434
EX_melib(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0003630570362147065,0.0
EX_metala(e),0.0,-0.0018918293174468325
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-1.5890825210716778e-05,0.0
EX_mn2(e),-1.0594097002388674e-12,0.0
EX_mnl(e),0.0,0.0
