,fluxes,reduced_costs
biomass_dilution,0.24249274706703955,-0.6770817877690913
protein_biomass_to_biomass,0.08564412945475783,1.289729186296876e-34
mRNA_biomass_to_biomass,0.0003654881196433484,1.295451938104013e-34
tRNA_biomass_to_biomass,0.0021641359354630314,1.4042099950013664e-34
rRNA_biomass_to_biomass,0.01638489729196731,-9.501434711861287e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.014077438089314005,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0755847407787952,0.0
prosthetic_group_biomass_to_biomass,9.709457879753701e-05,6.953924601184188e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.01078084332778088
DM_dhptd(c),0.00013031481788009438,0.0
DM_hcys_L[c],0.0,-0.037701449050465526
EX_12dgr180(e),-0.0017518646019111205,0.0
EX_26dap_M(e),-1.0,-0.04308371754715044
EX_2dmmq8(e),-0.0019253196638881738,0.0
EX_2obut(e),0.1655746842280321,0.0
EX_34dhphe(e),0.0,0.0
EX_3mop(e),-0.1152210024187639,0.0
EX_5htrp(e),0.0,0.0
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),15.057522792274947,0.0
EX_acald(e),0.0,-0.010772760812786341
EX_ade(e),-0.03252598254523424,0.0
EX_ala_L(e),-0.1649805519483806,0.0
EX_alaasp(e),0.0,-0.043090591461093196
EX_alagln(e),0.0,-0.053855752596135155
EX_alaglu(e),0.0,-0.04308851887351143
EX_alagly(e),0.0,-0.04308699554717888
EX_alahis(e),0.0,-0.04308906813476065
EX_alaleu(e),0.0,-0.08941938284495816
EX_alathr(e),0.0,-0.05385782526244608
EX_amylopect900(e),0.0,0.0
EX_amylose300(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_asn_L(e),-0.04343371278580664,0.0
EX_asp_L(e),-0.1734025446075371,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),-6.763245105741667e-10,0.0
EX_cd2(e),0.0,-0.03552252041158226
EX_cellb(e),-2.0,-0.04308117725209455
EX_cgly(e),-1.0,-0.043084922959597115
EX_cl(e),0.0,0.0
EX_co2(e),1.0803563828217748,0.0
EX_cobalt2(e),-0.0019253196638881738,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9862040986216758,0.0
EX_cytd(e),0.1690862826860125,0.0
EX_dad_2(e),0.0,0.0
EX_dextran40(e),0.0,0.0
EX_dextrin(e),0.0,-0.15081178785718918
EX_dgsn(e),0.0,0.0
EX_diact(e),0.0,0.0
EX_dopa(e),0.0,-4.1820718958589534e-07
EX_drib(e),0.0,0.0
EX_etoh(e),0.0003386221132589273,0.0
EX_fe2(e),-2.5135023578646056e-06,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.005775958991664521,0.0
EX_for(e),0.7909676786382812,0.0
EX_fru(e),0.06821506923659608,0.0
EX_galur(e),0.0,-0.03231582111621323
EX_glc_D(e),-3.393080697290007e-52,0.0
EX_glcur(e),0.0,-0.03231996629137677
EX_gln_L(e),-0.18,-0.010766684461374507
EX_glu_L(e),0.076698223938734,0.0
EX_gly(e),0.9221250185541885,0.0
EX_glyasn(e),0.0,-0.04308699554717888
EX_glyasp(e),0.0,-0.04308699554717888
EX_glyb(e),0.0,0.0
EX_glyc(e),9.897414899805852e-19,0.0
EX_glycys(e),0.0,-0.043084922959597115
EX_glygln(e),0.0,-0.05385368000855339
EX_glyglu(e),0.0,-0.043084922959597115
EX_glygn2(e),0.0,0.0
EX_glygn4(e),0.0,0.0
EX_glygn5(e),0.0,0.0
EX_glyleu(e),0.0,-0.07326338907479542
EX_glymet(e),0.0,-0.04308699554717888
EX_glyphe(e),0.0,-0.043086577339989295
EX_glypro(e),0.0,-0.026932530454882617
EX_glytyr(e),0.0,-0.04308810066632184
EX_gua(e),-1.2142158466293644e-18,0.0
EX_h(e),23.328209559079706,0.0
EX_h2o(e),-2.780977601481741,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.03316716470513268,0.0
EX_hista(e),0.0,-4.1820718958589534e-07
EX_hxan(e),0.0,0.0
EX_inulin(e),-0.00047019,-0.7971983591737791
EX_k(e),-2.7603536907559246e-06,0.0
EX_lac_L(e),8.703351806077757,0.0
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.15,-0.046330314710197516
EX_lys_L(e),0.9414644182749983,0.0
EX_malt(e),-2.710031372051848e-18,0.0
EX_malthx(e),0.0,-0.1508176425718458
EX_malttr(e),0.0,-3.454312636282611e-09
EX_man(e),-2.0,-0.016150953830656845
EX_mantr(e),0.0,0.0
EX_melib(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.038590706052379894,0.0
EX_metala(e),0.0,-0.04308906813476065
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.0018782601189343945,0.0
EX_mn2(e),-1.7718685213611801e-06,0.0
EX_mqn8(e),-0.0019253196638881738,0.0
EX_na1(e),-2.7052980422966667e-09,0.0
EX_nac(e),-0.0019253196638881738,0.0
EX_nh4(e),0.0,-0.010772902302848967
EX_o2(e),0.0,-0.021552104169479242
EX_ocdca(e),-0.016658475746715005,0.0
EX_orn(e),-0.051705134648927335,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.053914761228804946,0.0
EX_pheme(e),-0.0019253196638881738,0.0
EX_pi(e),-0.2765523551543195,0.0
EX_pnto_R(e),-0.0019253196638881738,0.0
EX_ppa(e),0.0,0.0
EX_pro_L(e),-0.058572559501882095,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.0021255178602019057,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_raffin(e),0.0,0.0
EX_rib_D(e),0.0,0.0
EX_ribflv(e),-0.0038506393277763476,0.0
EX_salcn(e),0.0,-0.02693575804877379
EX_ser_L(e),-0.08931201568675068,0.0
EX_sheme(e),-0.0019253196638881738,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.0019253196638881738,0.0
EX_srtn(e),0.0,-4.1820718958589534e-07
EX_strch1(e),0.0,0.0
EX_strch2(e),0.0,0.0
EX_stys(e),0.0,0.0
EX_succ(e),0.04977981498503916,0.0
EX_sucr(e),-2.0,-0.026929693423748555
EX_thm(e),-0.0019253196638881738,0.0
EX_thr_L(e),-0.225,-0.010768757127685427
EX_thymd(e),-0.011638287189506246,0.0
EX_trp_L(e),-0.010921266343097214,0.0
EX_trypta(e),-1.1971270825533698e-47,0.0
EX_tym(e),0.0,5.172067654313107e-36
EX_tyr_L(e),-0.04816061623767127,0.0
EX_ura(e),-0.2131872705082381,0.0
EX_val_L(e),-0.08523499171069306,0.0
EX_xan(e),-0.024515092139728266,0.0
EX_xyl_D(e),0.0,0.0
EX_xylan(e),0.0,0.0
EX_zn2(e),-5.893914658135973e-07,0.0
translation_g.2728.peg.1,0.0,2.6955968578385017e-31
transcription_TU_g.2728.peg.1,0.0,-8.476820896095195e-32
translation_641146.3.peg.4,0.0,-4.406570182648493e-32
transcription_TU_641146.3.peg.4,0.0,-240.20653129394876
translation_641146.3.peg.5,0.0,6.575833099335018e-34
transcription_TU_641146.3.peg.5,0.0,53.775318118110825
translation_g.2728.peg.24,9.863386760906996e-08,1.273492113058289e-30
transcription_TU_g.2728.peg.24,1.5734725445424955e-09,7.137556140418889e-32
translation_g.2728.peg.27,0.0,3.118054454168828e-32
transcription_TU_g.2728.peg.27,0.0,-245.45571044151606
translation_g.2728.peg.30,1.1809209609931667e-24,2.890498255989452e-32
transcription_TU_g.2728.peg.30,0.0,-191.36511048736563
translation_g.2728.peg.34,0.0,9.135788164587471e-32
transcription_TU_g.2728.peg.34,0.0,-59.01952370433787
translation_g.2728.peg.42,0.0,3.3032191800430176e-32
transcription_TU_g.2728.peg.42,0.0,-18.503558131746175
translation_g.2728.peg.44,3.3761109157355765e-11,4.153601617132151e-30
transcription_TU_g.2728.peg.44,5.385794922181133e-13,2.5744914409184655e-32
translation_g.2728.peg.49,0.0,1.7974350767513922e-31
transcription_TU_g.2728.peg.49,0.0,-161.5213015049321
translation_641146.3.peg.49,0.0,-9.049167652483567e-33
transcription_TU_641146.3.peg.49,0.0,-154.69276833622374
translation_641146.3.peg.50,0.0,2.3186333848164714e-31
transcription_TU_641146.3.peg.50,0.0,-63.99206501759314
translation_g.2728.peg.51,0.0,-5.989254529676696e-32
transcription_TU_g.2728.peg.51,0.0,-168.09150995229322
translation_g.2728.peg.57,1.0859693182698303e-05,2.3818248545604025e-32
transcription_TU_g.2728.peg.57,1.7324099195680127e-07,4.730066135647413e-33
translation_g.2728.peg.58,1.0859693182698303e-05,8.851207433859315e-33
transcription_TU_g.2728.peg.58,1.7324099195680127e-07,5.0020230885639665e-33
translation_g.2728.peg.60,0.0,1.756695925054218e-31
transcription_TU_g.2728.peg.60,0.0,-164.87941761360517
translation_g.2728.peg.62,3.5058508436438275e-07,1.549353213521853e-29
transcription_TU_g.2728.peg.62,5.592764616712085e-09,7.67983889488576e-32
translation_g.2728.peg.64,0.0,3.7892296387519173e-31
transcription_TU_g.2728.peg.64,0.0,-191.83903920178273
translation_g.2728.peg.68,0.0,1.3154478241926608e-31
transcription_TU_g.2728.peg.68,0.0,-656.4869488455275
translation_g.2728.peg.76,0.0,3.438568752307085e-31
transcription_TU_g.2728.peg.76,0.0,-105.1398433570763
translation_g.2728.peg.82,1.0859693182698303e-05,-2.0671815754548517e-32
transcription_TU_g.2728.peg.82,1.7324099195680127e-07,-7.752045637183209e-33
translation_g.2728.peg.85,1.0859693182698303e-05,3.322689640551482e-33
transcription_TU_g.2728.peg.85,1.7324099195680127e-07,-1.2494005906871524e-33
translation_g.2728.peg.89,4.2259230182534617e-10,1.1924709314305813e-31
transcription_TU_g.2728.peg.89,6.741471267178139e-12,5.636233262182095e-33
translation_g.2728.peg.91,0.0,-4.4770847742867597e-32
transcription_TU_g.2728.peg.91,0.0,-31.150149665251675
translation_g.2728.peg.93,0.0,3.205163549427716e-32
transcription_TU_g.2728.peg.93,0.0,-157.17301982678
translation_g.2728.peg.97,0.0,-3.2482222633711763e-32
transcription_TU_g.2728.peg.97,0.0,-330.081898330856
translation_g.2728.peg.101,0.0,-3.095133577613815e-32
transcription_TU_g.2728.peg.101,0.0,-215.7692555820031
translation_g.2728.peg.103,1.0859693182698303e-05,1.2140653582372665e-32
transcription_TU_g.2728.peg.103,1.7324099195680127e-07,2.573763541942468e-32
translation_g.2728.peg.108,1.343022307029137e-10,1.992357961273398e-31
transcription_TU_g.2728.peg.108,2.1424778101514363e-12,1.3605883543283263e-32
translation_g.2728.peg.113,0.0,-3.9686360034565365e-33
transcription_TU_g.2728.peg.113,0.0,-186.12564928808027
translation_g.2728.peg.117,0.0,-5.184028434714573e-32
transcription_TU_g.2728.peg.117,0.0,80.77455138897906
translation_g.2728.peg.128,0.0,1.7333569382754276e-31
transcription_TU_g.2728.peg.128,0.0,-79.15568174085337
translation_g.2728.peg.133,5.289864042907881e-09,-6.715763669841303e-32
transcription_TU_g.2728.peg.133,8.438740199124794e-11,-1.1270930120584426e-32
translation_641146.3.peg.134,0.0,-6.660624050712352e-32
transcription_TU_641146.3.peg.134,0.0,-276.4362908268736
translation_641146.3.peg.138,0.0,1.0390492894817105e-32
transcription_TU_641146.3.peg.138,0.0,-140.68428832983759
translation_641146.3.peg.140,0.0,4.575644500776913e-32
transcription_TU_641146.3.peg.140,0.0,-149.22543429380306
translation_g.2728.peg.146,6.060752847216376e-25,6.752853377425112e-31
transcription_TU_g.2728.peg.146,0.0,-86.29047728965149
translation_g.2728.peg.149,1.0859693182698303e-05,-7.452497050603583e-33
transcription_TU_g.2728.peg.149,1.7324099195680127e-07,-8.912753778695785e-33
translation_g.2728.peg.155,1.603668990314487e-24,4.5701824459330836e-31
transcription_TU_g.2728.peg.155,0.0,-400.88663823911173
