,fluxes,reduced_costs
biomass_dilution,0.002412926888524582,0.015100511909804451
protein_biomass_to_biomass,0.0008961329691872028,-7.107794237904735e-37
mRNA_biomass_to_biomass,2.3265939192506853e-06,0.0
tRNA_biomass_to_biomass,1.3532093751462745e-05,-2.266601891907561e-36
rRNA_biomass_to_biomass,0.00010131783581301166,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00014312061267814736,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0007521068386300831,0.0
prosthetic_group_biomass_to_biomass,3.1514937762227734e-07,2.2819428579673505e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-1.061598334755673e-07
DM_dhptd(c),4.704383994546587e-51,0.0
DM_hcys_L[c],1.1155891533225054e-06,0.0
EX_26dap_M(e),-9.485495153934957e-56,0.0
EX_2dmmq8(e),-1.9157915616818624e-05,0.0
EX_2obut(e),-0.15914768905007906,0.0
EX_34dhphe(e),9.485495153934957e-56,0.0
EX_3mop(e),-0.13464834149317267,0.0
EX_5htrp(e),0.0,0.0
EX_ac(e),1.1352575960671705,0.0
EX_acald(e),0.0,-4.124661347905265e-08
EX_acgam(e),-3.149524330069412e-41,0.0
EX_ade(e),-0.0001580720368869207,0.0
EX_ala_L(e),-0.0012963890492512227,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.0004354230332900977,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.0005223300534290291,0.0
EX_asp_L(e),-0.1349728031525475,0.0
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),4.741575394396956e-40,0.0
EX_ca2(e),-1.28284011783295e-39,0.0
EX_cd2(e),0.0,-0.00031341847393377323
EX_cellb(e),0.0,0.0
EX_cgly(e),-1.9157915616818624e-05,0.0
EX_chol(e),-0.004655804953624999,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.13485845230055604,0.0
EX_cobalt2(e),-1.9157915616818624e-05,0.0
EX_csn(e),-2.4251015195600878e-31,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-5.940228893618834e-05,0.0
EX_cytd(e),0.0,-7.93273719570317e-07
EX_dad_2(e),-0.00014012863203712543,0.0
EX_dcyt(e),-9.229446789567775e-05,0.0
EX_dgsn(e),-9.229446789567775e-05,0.0
EX_dopa(e),0.0,-3.5562406400019315e-07
EX_drib(e),-4.1761948595190557e-51,0.0
EX_etoh(e),0.0,-4.82719836298377e-08
EX_fe2(e),6.815570632401087e-21,0.0
EX_fe3(e),-1.7617184176574166e-12,0.0
EX_fol(e),-5.747374685045587e-05,0.0
EX_for(e),1.2926570989393504,0.0
EX_fru(e),0.0,0.0
EX_gal(e),3.1618317179783188e-56,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
