,fluxes,reduced_costs
biomass_dilution,0.0038720649029276317,0.015853412383159866
protein_biomass_to_biomass,0.0014319818753486435,5.643030671212973e-36
mRNA_biomass_to_biomass,3.8070982968238637e-06,0.0
tRNA_biomass_to_biomass,2.188867582178635e-05,2.5716658697865216e-36
rRNA_biomass_to_biomass,0.00017181392061983136,0.0
ncRNA_biomass_to_biomass,0.0,2.5413887102481423e-36
tmRNA_biomass_to_biomass,0.0,2.5413887102481423e-36
DNA_biomass_to_biomass,0.00022966808604042873,2.5413887102481423e-36
lipid_biomass_to_biomass,0.0,2.5413887102481423e-36
constituent_biomass_to_biomass,0.0012069186625426973,2.5413887102481423e-36
prosthetic_group_biomass_to_biomass,4.967793738085612e-07,1.575617555023312e-36
peptidoglycan_biomass_to_biomass,0.0,2.5413887102481423e-36
DM_atp_c_,0.0,-2.7431599121624455e-07
DM_dhptd(c),1.02468596701233e-06,0.0
DM_hcys_L[c],0.0,-5.3886437457709474e-08
EX_12dgr180(e),-2.797334568471038e-05,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-3.0743033709774515e-05,0.0
EX_2obut(e),-0.0020275392984478217,0.0
EX_4abz(e),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_ac(e),5.409722406264463,0.0
EX_ala_L(e),-0.0022399348401265285,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-7.726553081094171e-08
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arg_L(e),-0.001173481136205362,0.0
EX_asn_L(e),-0.0007239330698550825,0.0
EX_asp_L(e),5.407982726321957,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0003085336939294975
EX_cgly(e),-3.0743033709774515e-05,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.01479381756645438,0.0
EX_cobalt2(e),-3.07430375432914e-05,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.00022529073096987012,0.0
EX_cytd(e),0.0,-1.9657499087555538e-08
EX_dad_2(e),-0.00017295074492959777,0.0
EX_fe2(e),-1.2463948522450163e-12,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-9.222910112932354e-05,0.0
EX_for(e),6.938913755606738e-05,0.0
EX_fru(e),-0.006093352258962626,0.0
EX_glc_D(e),0.0,0.0
EX_gln_L(e),-0.0023036786137415302,0.0
EX_glu_L(e),0.00025897644153011066,0.0
EX_gly(e),-0.0018109256394121028,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyc(e),9.97494255837896e-05,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-2.548303752936009e-07
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gua(e),-0.0003197855447639568,0.0
EX_h(e),-0.050475181457797114,0.0
EX_h2o(e),-5.335627693016033,0.0
EX_his_L(e),-0.00040009091397395026,0.0
EX_ile_L(e),0.0,0.0
EX_k(e),-3.092160157154062e-11,0.0
EX_leu_L(e),-0.0019839332775775567,0.0
EX_lys_L(e),-0.0009561923830112766,0.0
EX_malt(e),0.0,0.0
EX_met_L(e),-0.0004266713492554642,0.0
EX_metala(e),0.0,0.0
EX_mg2(e),-1.9612354530723692e-05,0.0
EX_mn2(e),-6.522868650685253e-10,0.0
EX_mqn8(e),-3.0743033709774515e-05,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-3.0743035139495196e-05,0.0
EX_nh4(e),0.0,0.0
EX_o2(e),0.0,0.0
EX_ocdca(e),-0.00026599846822343895,0.0
EX_phe_L(e),-0.0007878846400498544,0.0
EX_pheme(e),-3.0743033709774515e-05,0.0
EX_pi(e),-0.004100291349923533,0.0
EX_pnto_R(e),-3.0743033709774515e-05,0.0
EX_ppa(e),0.0,0.0
EX_pro_L(e),-0.0008680921686406558,0.0
EX_ptrc(e),-3.0743033709774515e-05,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-3.0743033709774515e-05,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-6.148607631911897e-05,0.0
EX_ser_L(e),-0.0020118708398985637,0.0
EX_sheme(e),-3.0743033709774515e-05,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-3.0743033709774515e-05,0.0
EX_succ(e),0.0005522241394811702,0.0
EX_thm(e),-3.0743059053325984e-05,0.0
EX_thr_L(e),-0.001061290097246439,0.0
EX_thymd(e),-0.0001999826742864914,0.0
EX_trp_L(e),-0.00019417562699165073,0.0
EX_tyr_L(e),-0.000527667004377451,0.0
EX_ura(e),0.0,0.0
EX_uri(e),3.251507724980722e-05,0.0
EX_val_L(e),0.0007332684451343329,0.0
EX_zn2(e),-7.094481388285508e-08,0.0
translation_g.338.peg.0,5.2929782318473326e-11,-6.658489582596483e-29
transcription_TU_g.338.peg.0,3.2334230770476094e-11,-1.4756440062235386e-33
translation_g.338.peg.1,0.0,-0.9945782795857115
transcription_TU_g.338.peg.1,0.0,-0.021285535208107005
translation_g.338.peg.2,2.0930519998337198e-14,-2.3378975220612906e-34
transcription_TU_g.338.peg.2,1.2786227982201541e-14,1.3397905153786242e-33
translation_g.338.peg.5,1.1385401726522333e-07,3.1002733485047812e-34
transcription_TU_g.338.peg.5,6.95521860688749e-08,-4.025530491345161e-34
translation_g.338.peg.11,1.4447092483503108e-12,-8.290408092619034e-29
transcription_TU_g.338.peg.11,8.825572331155469e-13,1.5026732876191782e-33
translation_203267.1.peg.11,0.0,5.935703902668524e-34
transcription_TU_203267.1.peg.11,0.0,-0.014844427414859696
translation_g.338.peg.13,1.1385401726522333e-07,-4.138074568953502e-34
transcription_TU_g.338.peg.13,6.95521860688749e-08,2.535690625465953e-35
translation_g.338.peg.15,8.244290038608483e-13,-1.2245763452742907e-33
transcription_TU_g.338.peg.15,5.03634749606869e-13,1.1062393800814553e-33
translation_g.338.peg.22,0.0,-1.0435005303258776e-34
transcription_TU_g.338.peg.22,0.0,-0.00853964838293137
translation_g.338.peg.23,1.3079213442957396e-11,-5.955862951156404e-29
transcription_TU_g.338.peg.23,7.989949839889983e-12,4.4186071067303995e-34
translation_203267.1.peg.26,0.0,1.3143316678988277e-33
transcription_TU_203267.1.peg.26,0.0,-0.033724572156798374
translation_203267.1.peg.27,6.770547504532306e-12,-1.4249686047636031e-33
transcription_TU_203267.1.peg.27,4.136054143143755e-12,3.21856571406615e-34
translation_g.338.peg.32,2.2964037963697963e-12,-1.956989229068493e-28
transcription_TU_g.338.peg.32,1.4028482083536384e-12,2.3496530303060324e-33
translation_g.338.peg.34,0.0,-5.494161429296232e-35
transcription_TU_g.338.peg.34,0.0,-0.025084142609939405
translation_g.338.peg.41,0.0,-1.7353330207007994e-33
transcription_TU_g.338.peg.41,0.0,-0.05313553540161584
translation_g.338.peg.45,1.1385401726522333e-07,-4.395838502817336e-34
transcription_TU_g.338.peg.45,6.95521860688749e-08,4.524265461034289e-34
translation_g.338.peg.46,1.1385401726522333e-07,4.3760379214755645e-34
transcription_TU_g.338.peg.46,6.95521860688749e-08,5.95978311207308e-34
translation_203267.1.peg.50,0.0,-1.497486368270755e-33
transcription_TU_203267.1.peg.50,0.0,0.1366629456478873
translation_g.338.peg.51,0.0,-1.022668029143273e-33
transcription_TU_g.338.peg.51,0.0,-0.025186083026597635
translation_g.338.peg.55,0.0,9.468443049575881e-34
transcription_TU_g.338.peg.55,0.0,-0.03803420995639613
translation_g.338.peg.56,0.0,1.2663952438472133e-33
transcription_TU_g.338.peg.56,0.0,-1.0800772770129217e-33
translation_g.338.peg.59,0.0,-8.903653278424433e-34
transcription_TU_g.338.peg.59,0.0,-0.01863273500730936
translation_g.338.peg.61,1.1385403819574333e-07,-5.0049464989117097e-29
transcription_TU_g.338.peg.61,6.955219885510287e-08,9.168609746465578e-34
translation_203267.1.peg.63,0.0,5.197527141254646e-34
transcription_TU_203267.1.peg.63,0.0,-0.020273994289011527
translation_g.338.peg.66,1.1385401726522333e-07,-6.413962514742858e-34
transcription_TU_g.338.peg.66,6.95521860688749e-08,6.03472556993984e-35
translation_g.338.peg.73,0.0,-1.6414538222270077e-34
transcription_TU_g.338.peg.73,0.0,-0.020457200293606283
translation_g.338.peg.75,0.0,1.746608540903905e-33
transcription_TU_g.338.peg.75,0.0,-0.06463483799781142
translation_203267.1.peg.75,0.0,3.362657317901538e-33
transcription_TU_203267.1.peg.75,0.0,-0.03428406544397059
translation_g.338.peg.76,0.0,3.0066292003103724e-33
transcription_TU_g.338.peg.76,0.0,-0.03636861600288357
translation_203267.1.peg.76,0.0,-8.272433898979569e-34
transcription_TU_203267.1.peg.76,0.0,-0.026760021406196023
translation_g.338.peg.79,1.1385401726522333e-07,-4.023312917858219e-34
transcription_TU_g.338.peg.79,6.95521860688749e-08,3.7429064273675824e-34
translation_203267.1.peg.79,0.0,-1.067881132368434e-33
transcription_TU_203267.1.peg.79,0.0,-0.03533379298355931
