,fluxes,reduced_costs
biomass_dilution,0.212373660801904,-0.43585847394315896
protein_biomass_to_biomass,0.10058919067190171,-3.578828617420181e-35
mRNA_biomass_to_biomass,0.0003870961808489805,0.0
tRNA_biomass_to_biomass,0.0024128322835320595,0.0
rRNA_biomass_to_biomass,0.016308225067700525,-4.987836768028726e-35
ncRNA_biomass_to_biomass,0.0,6.622785855899338e-35
tmRNA_biomass_to_biomass,0.0,6.622785855899338e-35
DNA_biomass_to_biomass,0.01243502203226995,6.622785855899338e-35
lipid_biomass_to_biomass,0.0,6.622785855899338e-35
constituent_biomass_to_biomass,0.023606926779084447,6.622785855899338e-35
prosthetic_group_biomass_to_biomass,5.294803362162273e-05,7.556882990028113e-35
peptidoglycan_biomass_to_biomass,0.0,6.622785855899338e-35
DM_4HBA,8.993913618359481e-08,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.011317435890587712
DM_btn,0.0,0.0
DM_clpn140(c),0.0,-0.2121174445388326
DM_clpn160(c),0.0,-0.16684465390592132
DM_clpn180(c),0.0,-0.21211018390085648
DM_clpni15(c),0.0,-0.01980568463924806
DM_clpni16(c),0.0,-0.12157186327301002
DM_clpni17(c),0.0,-0.08766865826317415
DM_dad_5,0.0,-0.37511459220334675
DM_kdo2lipid4L(c),0.0,-0.09520773627870723
EX_2hyoxplac(e),0.0,-0.03678344329134626
EX_4hphac(e),0.9600734580258202,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),15.403360021397585,0.0
EX_acald(e),0.0,-0.008478545492556458
EX_akg(e),0.0,-0.0028406980702809985
EX_ala_D(e),-1.0,-0.005633684305699298
EX_ala_L(e),-1.0,-0.005631926580071499
EX_alaasp(e),0.0,-0.019755620852079884
EX_alagln(e),0.0,0.0
EX_alaglu(e),2.4357546438979317e-23,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arg_L(e),-0.12880296329968643,0.0
EX_asn_L(e),-0.225,-0.019777639956128773
EX_asp_L(e),-0.225,-0.019781123178052553
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.022149288943546654
EX_cgly(e),-1.0,-0.0028046603762960772
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),5.353134648547199,0.0
