,fluxes,reduced_costs
biomass_dilution,0.31006058699580286,-0.1138983402821525
protein_biomass_to_biomass,0.1091191422634663,1.583879491561474e-35
mRNA_biomass_to_biomass,0.0005060352813253925,1.723355066564886e-35
tRNA_biomass_to_biomass,0.003102336687491413,0.0
rRNA_biomass_to_biomass,0.02181664355587259,1.1768020305639541e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.017421490114038637,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0966455672479135,0.0
prosthetic_group_biomass_to_biomass,6.985432249521468e-05,1.731352127570552e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,0.002461788042570576,0.0
DM_atp_c_,0.0,-9.237432702661775e-06
DM_clpn180(c),0.0,-0.00010330299298990847
DM_clpnai15(c),0.0,-0.0005931685909171659
DM_clpnai17(c),0.0,-0.0006621349949178596
DM_clpni15(c),0.004676727510788688,0.0
DM_clpni17(c),0.0,-6.237050491916862e-05
DM_dhptd(c),0.0,0.0
EX_12dgr180(e),-0.012890086771059113,0.0
EX_2dmmq8(e),-0.002232911658392619,0.0
EX_3dhcdchol(e),0.0,-4.631799528007609e-06
EX_3dhchol(e),0.0,-4.631799528007609e-06
EX_4abut(e),0.0,-0.020909329186631482
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),0.5989325002737257,0.0
EX_acgam(e),0.0,0.0
EX_ala_L(e),-0.16259397308392337,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.0503297801114407,0.0
EX_asn_L(e),-0.225,-0.04184045804641849
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),7.23910599730772,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-9.232156380477724e-06
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-4.08121887329404e-06
EX_cobalt2(e),-0.0024621750533101827,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.019501150611347426,0.0
EX_fe2(e),-9.500133027522187e-09,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.007385364127711727,0.0
EX_for(e),15.327763452678532,0.0
EX_fru(e),-2.0,-8.798407052708083e-07
EX_galt(e),0.0,0.0
EX_gam(e),-0.0403200306844646,0.0
EX_glc_D(e),-2.0,-3.5652175395671527e-07
EX_gln_L(e),-0.18,-0.04183988470035674
EX_gly(e),-0.21245225223351186,0.0
EX_glyb(e),0.0,0.0
EX_glyc3p(e),-0.364842197136863,0.0
EX_gthox(e),-0.001230894021285288,0.0
EX_h(e),22.969729515572812,0.0
EX_h2o(e),2.0569647447894224,0.0
EX_hg2(e),0.0,0.0
EX_hxan(e),-0.0726101799146201,0.0
EX_ile_L(e),-0.15,-0.020942791406830842
EX_k(e),-2.609578957234317e-06,0.0
EX_lac_D(e),0.0,0.0
EX_lanost(e),-0.00028000021308655977,0.0
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.15,-0.020792261519353747
EX_lys_L(e),-0.15,-0.005795743722541076
EX_malt(e),-5.782973861506597e-35,0.0
EX_man(e),-2.0,-3.830198842901074e-07
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.06306566507323562,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.002665024789239488,0.0
EX_mn2(e),-1.6858856879015636e-05,0.0
EX_mnl(e),2.820861410387701e-23,0.0
EX_mqn7(e),-0.0026906644267485325,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0024618686055848404,0.0
EX_nh4(e),0.0,-0.020910892971578693
EX_no2(e),0.0,0.0
EX_o2(e),0.0,-1.2651497384081651e-05
EX_pb(e),0.0,0.0
EX_pheme(e),-0.002461788042570576,0.0
EX_pi(e),0.0,0.0
EX_pro_L(e),-0.040523126771822106,0.0
EX_pydx(e),-0.0024618474718879207,0.0
EX_q8(e),0.0,0.0
EX_rib_D(e),0.0,0.0
EX_ribflv(e),-0.004923623654271174,0.0
EX_salcn(e),0.0,-3.5652175395671527e-07
EX_sbt_D(e),3.9474503025601655e-23,0.0
EX_sheme(e),-0.002461788042570576,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.002461788042570576,0.0
EX_succ(e),0.0,-9.465771178118051e-06
EX_sucr(e),-1.0253146559310227,0.0
EX_thymd(e),-0.018695259364801913,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.005872572646587334,0.0
EX_urea(e),0.002461788042570576,0.0
EX_val_L(e),-0.131407905939533,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-5.093461249664342e-07,0.0
translation_6x7.58838.peg.6,4.0436208562788666e-11,1.6783632999476265e-35
transcription_TU_6x7.58838.peg.6,5.613412418910394e-13,2.5225818301850837e-33
translation_6x7.58838.peg.7,3.491820600331641e-08,-1.7171844602910925e-33
transcription_TU_6x7.58838.peg.7,4.847395396151604e-10,-7.822231718358308e-34
translation_6x7.58838.peg.20,1.5258425611863788e-05,2.392852115653052e-33
transcription_TU_6x7.58838.peg.20,2.1181965091919507e-07,6.5433814592143635e-34
translation_6x7.58838.peg.21,1.5258650230300469e-05,-8.120299808911228e-34
transcription_TU_6x7.58838.peg.21,2.1182276910452152e-07,-6.237902575707671e-34
translation_6x7.58838.peg.22,1.5258650230300469e-05,1.1635951878432379e-33
transcription_TU_6x7.58838.peg.22,2.1182276910452152e-07,-3.743064100564307e-34
translation_6x7.58838.peg.23,2.002082235965384e-06,1.3354506593386576e-33
transcription_TU_6x7.58838.peg.23,2.77931925036864e-08,-5.930869136954736e-33
translation_6x7.58838.peg.27,0.0,-4.573202533856517e-34
transcription_TU_6x7.58838.peg.27,0.0,-2.2824941119253416e-33
translation_6x7.58838.peg.35,9.678651972169104e-06,-9.210929320441996e-33
transcription_TU_6x7.58838.peg.35,1.3436043365569872e-07,1.0267883072267439e-32
translation_6x7.58838.peg.39,0.0,-1.5103848667795738e-33
transcription_TU_6x7.58838.peg.39,0.0,-33.521448733339156
translation_6x7.58838.peg.50,1.4003400646740513e-07,-5.96347897046027e-34
transcription_TU_6x7.58838.peg.50,1.943972145047467e-09,2.0071698282416588e-33
translation_6x7.58838.peg.55,2.051631548462966e-09,-3.384505266511065e-34
transcription_TU_6x7.58838.peg.55,2.848104316033366e-11,-2.138994321837819e-33
translation_6x7.58838.peg.58,4.7513748287427636e-07,-2.2814069667889868e-33
transcription_TU_6x7.58838.peg.58,6.595926625798246e-09,2.025742871424809e-33
translation_6x7.58838.peg.59,0.0,-4.157287948294218e-33
transcription_TU_6x7.58838.peg.59,0.0,6.179832034460161e-33
translation_6x7.58838.peg.60,8.067588502577799e-09,-2.5764126947025847e-34
transcription_TU_6x7.58838.peg.60,1.1199541970090617e-10,7.081229261402709e-34
translation_6x7.58838.peg.61,8.292206939259374e-09,-2.7340369729093647e-33
transcription_TU_6x7.58838.peg.61,1.1511360502737347e-10,-1.3973362836137635e-33
translation_6x7.58838.peg.63,2.0218104281394333e-11,-3.928376692204085e-33
transcription_TU_6x7.58838.peg.63,2.806706209455197e-13,3.734090231035377e-33
translation_6x7.58838.peg.64,2.0218104281394333e-11,3.0535927121085758e-33
transcription_TU_6x7.58838.peg.64,2.806706209455197e-13,-2.9765857357522697e-34
translation_6x7.58838.peg.68,0.0,-2.116282596608576e-33
transcription_TU_6x7.58838.peg.68,0.0,-23.675975300787687
translation_6x7.58838.peg.69,0.0,-4.789819353392825e-33
transcription_TU_6x7.58838.peg.69,0.0,6.385087486110327e-35
translation_6x7.58838.peg.76,1.899821678567341e-07,-4.371046194513629e-33
transcription_TU_6x7.58838.peg.76,2.63735967916613e-09,7.158129987710659e-33
translation_6x7.58838.peg.110,0.0,-5.403013515631163e-33
transcription_TU_6x7.58838.peg.110,0.0,-6.32527256966664e-33
translation_6x7.58838.peg.112,0.0,5.365630300469746e-35
transcription_TU_6x7.58838.peg.112,0.0,1.9307141032736346e-33
translation_6x7.58838.peg.117,2.2461843668157467e-10,4.156244673253723e-33
transcription_TU_6x7.58838.peg.117,3.1181853264672982e-12,-2.0067898559842314e-33
translation_6x7.58838.peg.118,2.2461843668157467e-10,3.292010093326674e-33
transcription_TU_6x7.58838.peg.118,3.1181853264672982e-12,-1.6612186616114734e-33
translation_6x7.58838.peg.119,0.0,-4.9127044520598e-35
transcription_TU_6x7.58838.peg.119,0.0,-21.934789914480298
translation_6x7.58838.peg.131,0.0,-6.07256470366273e-34
transcription_TU_6x7.58838.peg.131,0.0,-46.872060183365896
translation_6x7.58838.peg.132,0.0,-5.977906667694984e-34
transcription_TU_6x7.58838.peg.132,0.0,6.187260029431157e-34
translation_6x7.58838.peg.136,1.5258650230300469e-05,2.4495736917942733e-34
transcription_TU_6x7.58838.peg.136,2.1182276910452152e-07,-1.79195314965695e-34
translation_6x7.58838.peg.138,3.3661385638248086e-10,8.189932352127386e-33
transcription_TU_6x7.58838.peg.138,4.6729217920138895e-12,-9.845724424716085e-34
translation_6x7.58838.peg.139,1.5258425611863788e-05,4.229428907987101e-33
