,fluxes,reduced_costs
biomass_dilution,0.8948113863750371,-0.17271976489896676
protein_biomass_to_biomass,0.40839186596515337,1.2212676253657175e-35
mRNA_biomass_to_biomass,0.003493241004576673,-2.0294627439783614e-35
tRNA_biomass_to_biomass,0.021413757726860386,0.0
rRNA_biomass_to_biomass,0.13489407251824045,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.02393210109568956,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.07249276188284676,0.0
prosthetic_group_biomass_to_biomass,0.0004731615762711288,-2.190255381451691e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,-1.337178302441514e-07
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-3.272682829506457e-05
DM_dhptd(c),0.001571007261044291,0.0
EX_12dhchol(e),0.0,-2.1059739996157635e-05
EX_C02528(e),0.0,-8.843535243600543e-06
EX_ac(e),16.92676688875106,0.0
EX_acald(e),0.0,-7.581099815693306e-06
EX_acgam(e),-1.0,-0.021022594352259266
EX_ala_L(e),-0.47814871230264466,0.0
EX_alaasp(e),0.0,-0.0209971918800828
EX_alagln(e),0.0,-0.042070697946608095
EX_alaglu(e),0.0,-0.02104138331371124
EX_alagly(e),0.0,-0.02097513398947495
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-0.0210707402883178
EX_alathr(e),0.0,-0.021043992166160118
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.225,-0.04209084621900792
EX_asp_L(e),-0.225,-0.02102337132654247
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),5.142561820488571,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cellb(e),-2.0,-7.4943767378030994e-06
EX_cgly(e),-1.0,-0.02096748602890764
EX_cholate(e),0.0,-8.843535243600543e-06
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-2.742879514563846e-06
EX_cobalt2(e),-0.017918809547432833,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),-0.49521673531333515,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9050803245424286,0.0
EX_dextrin(e),0.0,0.0
EX_dgchol(e),0.0,-0.02100131343593462
EX_etoh(e),8.709965151254027,0.0
EX_fe2(e),-1.1852789634701961e-07,0.0
EX_fe3(e),0.0,0.0
EX_for(e),35.367042964075665,0.0
EX_fru(e),-2.0,-1.4169844054792684e-05
EX_gal(e),0.0,0.0
EX_gchola(e),0.0,-0.02100131343593462
EX_glc_D(e),-2.0,-1.4327343855971529e-05
EX_gln_L(e),-0.18,-0.04207016755410733
EX_glu_L(e),-0.18,-0.02106756276017091
EX_gly(e),-0.45,-0.02100131343593462
EX_glyasn(e),0.0,-0.06306598020848286
EX_glyasp(e),0.0,-0.04199850531601742
EX_glyc(e),2.0,0.0
EX_glycys(e),0.0,-0.02096748602890764
EX_glygln(e),0.0,-0.06307201138254272
EX_glyglu(e),0.0,-0.04204269674964586
EX_glyleu(e),0.0,-0.042098284494845414
EX_glymet(e),0.0,-0.11986971187743069
EX_glyphe(e),0.0,-0.02096748602890764
EX_glypro(e),0.0,-0.04205828444772515
EX_glytyr(e),0.0,-0.0209787509386749
EX_h(e),37.7182213931592,0.0
EX_h2o(e),-10.0,-6.562302743419357e-06
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.13364223079398033,0.0
EX_hxan(e),-0.24423072943678753,0.0
EX_ile_L(e),-0.15,-0.02105175684888875
EX_indole(e),0.0,0.0
EX_isobut(e),0.0,0.0
EX_k(e),-2.188126894870924e-05,0.0
EX_lac_D(e),0.0,0.0
EX_lac_L(e),0.0,-4.770856542697866e-06
EX_lcts(e),-0.6893511596781947,0.0
EX_leu_L(e),-0.15,-0.02106972912693874
EX_lys_L(e),-0.15,-0.04206936711333479
EX_malt(e),-2.0,-3.260426317614084e-06
EX_man(e),-2.0,-1.3356259599509997e-05
EX_mantr(e),0.0,0.0
EX_melib(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.18,-0.09886885584521106
EX_metala(e),0.0,-0.09886839844149606
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.01821943857299189,0.0
EX_mn2(e),-3.079395829532889e-05,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.017918397707445428,0.0
EX_nh4(e),0.0,-0.021032973355399606
EX_o2(e),0.0,-1.5635596189844687e-05
EX_pb(e),0.0,0.0
EX_phe_L(e),0.5026517440831074,0.0
EX_pi(e),-1.0,-0.002812990789961557
EX_pnto_R(e),-0.01791770320077374,0.0
EX_pro_L(e),-0.18,-0.021083150458250204
EX_ptrc(e),0.0,0.0
EX_pydx(e),-0.017926882575155706,0.0
EX_ribflv(e),-0.03583577297737389,0.0
EX_salcn(e),0.0,0.0
EX_ser_L(e),-1.0,-0.021033020279388123
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_stys(e),0.0,0.0
EX_sucr(e),-2.0,-1.0016578788183054e-05
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thr_L(e),-0.225,-0.021070171612619787
EX_trp_L(e),-0.0461195796340662,0.0
EX_tyr_L(e),-1.0,-3.616949199951186e-06
EX_urea(e),0.0,0.0
EX_val_L(e),-0.18,-0.02104170583229245
EX_xan(e),-0.15932641350136842,0.0
EX_zn2(e),-6.814118613669819e-06,0.0
translation_451640.5.peg.4,5.932065123257212e-06,-2.428843441367868e-33
transcription_TU_451640.5.peg.4,5.480412286581025e-08,3.986378662736767e-33
translation_451640.5.peg.5,0.00019786399723549842,-2.1733030133238774e-33
transcription_TU_451640.5.peg.5,1.8279911952922798e-06,9.798337800423305e-34
translation_451640.5.peg.7,0.0,-1.1993130498012672e-33
transcription_TU_451640.5.peg.7,0.0,-4.466192986541713
translation_451640.5.peg.8,-7.69153664811206e-57,6.703536960462622e-34
transcription_TU_451640.5.peg.8,-9.084364125973914e-59,1.0765568731371544e-33
translation_451640.5.peg.9,-2.3637181840590983e-62,-2.0117288402015276e-33
transcription_TU_451640.5.peg.9,0.0,-2.2286942040038347
translation_451640.5.peg.10,-2.400203949877102e-62,-6.278679011026769e-35
transcription_TU_451640.5.peg.10,-1.5380685357479004e-64,-2.550427783748467e-33
translation_451640.5.peg.11,-1.5645237944865235e-62,8.422600985722397e-34
transcription_TU_451640.5.peg.11,0.0,-5.477063395614442
translation_451640.5.peg.12,-3.6096886431818146e-62,1.676511117945493e-33
transcription_TU_451640.5.peg.12,0.0,-4.917086094148903
translation_451640.5.peg.13,-7.320941292244597e-63,4.2077920758872625e-33
transcription_TU_451640.5.peg.13,0.0,-5.451716237098664
translation_451640.5.peg.16,-2.9220139202721593e-62,9.451929200392846e-33
transcription_TU_451640.5.peg.16,0.0,-4.934326481908182
translation_451640.5.peg.17,0.0,-1.1725378079098002e-33
transcription_TU_451640.5.peg.17,0.0,-3.424413883689122
translation_451640.5.peg.18,-6.255478284753958e-63,6.509150316892259e-33
transcription_TU_451640.5.peg.18,0.0,-7.984874038581588
translation_451640.5.peg.19,-6.306446555678059e-62,3.1371650621393125e-33
transcription_TU_451640.5.peg.19,0.0,-2.2495798119225516
translation_451640.5.peg.20,-2.016078367116441e-62,-2.765868109467408e-35
transcription_TU_451640.5.peg.20,0.0,-3.7485747344439884
translation_451640.5.peg.34,0.0,5.811332243488491e-34
transcription_TU_451640.5.peg.34,0.0,-3.778323483417764
