,fluxes,reduced_costs
biomass_dilution,0.33837417190116037,-0.04804140018905606
protein_biomass_to_biomass,0.15662712413254395,-7.768357267222908e-36
mRNA_biomass_to_biomass,0.0007389243633903438,-8.448003443783456e-36
tRNA_biomass_to_biomass,0.004319659865818922,7.337788738081148e-36
rRNA_biomass_to_biomass,0.03222981860796021,-5.7454714744081545e-36
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.018629884986324684,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.03761282952811638,0.0
prosthetic_group_biomass_to_biomass,0.00011317309244991617,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,-2.1236836954029055e-06
DM_HQN,0.0,-2.1236836954029055e-06
DM_atp_c_,0.0,-1.022857653702155e-05
DM_dhptd(c),0.00037516802248352117,0.0
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,-9.018313811255236e-07
EX_ac(e),1.7496757730658106,0.0
EX_acald(e),0.0,-3.3824887385336937e-06
EX_acgam(e),-1.4787365074899493e-23,0.0
EX_actn_R(e),0.0,-2.0248702620787785e-06
EX_ade(e),-0.05474503381834183,0.0
EX_adocbl(e),0.0,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.22105447556497748,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),3.0076578341685693e-23,6.228230727188851e-36
EX_alaglu(e),0.0,-1.7982947871040452e-07
EX_alagly(e),2.1953703894123787e-23,0.0
EX_alahis(e),2.0754318251065808e-23,0.0
EX_alaleu(e),0.0,-0.051382228006591785
EX_alathr(e),2.0193682401688197e-23,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.098864320736557,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.05837624321811949,0.0
EX_asp_L(e),0.8928260755739857,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0029601519732832507
EX_cellb(e),0.0,0.0
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cholate(e),0.0,-9.018313811255236e-07
EX_chols(e),0.0,0.0
EX_chtbs(e),7.393682537449747e-24,0.0
EX_cit(e),-1.0,-1.0974917610851877e-06
EX_cl(e),0.0,0.0
EX_co2(e),0.3494913876441386,0.0
EX_cobalt2(e),-0.0026424992580449218,0.0
EX_crn(e),0.0,0.0
EX_csn(e),-0.06572244808563808,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.007191599434759938,0.0
EX_ddca(e),0.0,0.0
EX_dgchol(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_etha(e),0.0,0.0
EX_etoh(e),0.0,-4.5914220825194125e-07
