,fluxes,reduced_costs
biomass_dilution,0.3845323968754749,-0.33690764561481557
protein_biomass_to_biomass,0.14727822464939666,-6.349665981543393e-35
mRNA_biomass_to_biomass,0.0007396167612706538,0.0
tRNA_biomass_to_biomass,0.0045127504296856675,0.0
rRNA_biomass_to_biomass,0.03186010287599324,0.0
ncRNA_biomass_to_biomass,0.0,-6.038461750204759e-35
tmRNA_biomass_to_biomass,0.0,-6.038461750204759e-35
DNA_biomass_to_biomass,0.02029188275270974,-6.038461750204759e-35
lipid_biomass_to_biomass,0.0,-6.038461750204759e-35
constituent_biomass_to_biomass,0.09690454627309804,-6.038461750204759e-35
prosthetic_group_biomass_to_biomass,0.0001012717680352758,6.891453621238863e-35
peptidoglycan_biomass_to_biomass,0.0,-6.038461750204759e-35
DM_5DRIB,6.420427096993968e-23,1.6671864195147276e-33
DM_5MTR,0.0,-0.016450902907963156
DM_atp_c_,0.0,-0.009432578402480678
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.026490335880219925
EX_26dap_M(e),9.69217994827657e-32,0.0
EX_2dmmq8(e),1.8793784027279899e-37,0.0
EX_2obut(e),-1.0,-0.004240267603842916
EX_34dhphe(e),0.0,-0.004866373063635647
EX_5htrp(e),0.0,-0.004866373063635647
EX_ac(e),13.602661273478068,0.0
EX_acald(e),0.0,-0.0021282201985563147
EX_acgam(e),0.0,0.0
EX_ade(e),6.420427096993949e-23,0.0
EX_adn(e),-0.045979440320286974,0.0
EX_akg(e),0.0,-0.00515292666667192
EX_ala_L(e),-1.0,-0.000601778824248976
EX_alaasp(e),0.0,-0.011875803980468636
EX_alagln(e),2.3287914391501915e-23,0.0
EX_alaglu(e),2.3287914391501915e-23,-4.632343852145539e-34
EX_alagly(e),2.3287914391501915e-23,0.0
EX_alahis(e),0.0,-0.0018308990238120673
EX_alaleu(e),0.0,-0.003663906938807535
EX_alathr(e),0.0,-0.0012000983713092153
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.09232282731986881,0.0
EX_asn_L(e),-0.225,-0.013392361409393413
EX_asp_L(e),-0.225,-0.014910624590901783
EX_biomass(e),0.0,0.0
EX_ca2(e),-4.102187148745263e-06,0.0
EX_cd2(e),0.0,-0.017237812930386842
EX_cgly(e),-0.9300066471775478,0.0
EX_chol(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.00121950467041033
EX_cobalt2(e),-0.0011910126968186832,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.0027312359287819978
EX_cytd(e),0.0,-0.011578096462952348
EX_dad_2(e),0.0,0.0
EX_dgsn(e),-0.016515842604396296,0.0
EX_dopa(e),0.0,0.0
EX_etoh(e),2.6122527685672816,0.0
EX_fe2(e),-3.2941984614244533e-06,0.0
EX_fe3(e),0.0,0.0
EX_for(e),16.719843653427244,0.0
EX_fru(e),-2.0,-0.013666527351893384
EX_fum(e),-1.0,-0.014914467730816745
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-0.019235079556505004,0.0
EX_gcald(e),0.0,-0.006676398137049518
EX_glc_D(e),-2.0,-0.023079747908046518
EX_gln_L(e),-0.0876831786573521,0.0
EX_glu_L(e),-0.18,-0.0015043706006403177
EX_gly(e),-0.45,-0.000902819414959076
EX_glyasn(e),0.0,-0.01066177891000185
EX_glyasp(e),0.0,-0.012180042091510218
EX_glyc(e),2.015855616586565,0.0
EX_glyclt(e),0.0,-0.0036381225064449118
EX_glycys(e),5.8575632443631314e-58,0.0
EX_glygln(e),2.1795606334341835e-23,0.0
EX_glyglu(e),2.3287914391501915e-23,0.0
EX_glyleu(e),0.0,-0.0097461282697777
EX_glymet(e),2.2264059698775173e-23,0.0
EX_glyphe(e),2.188691296341757e-23,0.0
EX_glypro(e),2.2011509748452152e-23,0.0
EX_glytyr(e),0.0,-0.00213513713485365
EX_gthrd(e),-0.001190704566924908,0.0
EX_gua(e),-0.03216948669970343,0.0
EX_h(e),30.479122862907843,0.0
EX_h2o(e),-10.0,-0.0015126602409563264
EX_h2s(e),1.9099928083712032,0.0
EX_hdca(e),0.0,0.0
EX_his_L(e),-0.15,-0.004866373063635647
EX_hista(e),0.10983230235411093,0.0
EX_hxan(e),-3.5130551628661057e-25,0.0
