,fluxes,reduced_costs
biomass_dilution,0.1839515408227274,-0.5519328028199603
protein_biomass_to_biomass,0.08077090880378462,0.0
mRNA_biomass_to_biomass,0.00029700526919774166,0.0
tRNA_biomass_to_biomass,0.0017626069039920992,0.0
rRNA_biomass_to_biomass,0.01281146423841184,-9.090225671751705e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.010830285205045666,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.03198952707205985,0.0
prosthetic_group_biomass_to_biomass,5.610712810673311e-05,1.3685204738666503e-34
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.016582632222579906
DM_btn,0.0,0.0
DM_dad_5,0.0,-0.13227546304644802
DM_dhptd(c),0.00014204564271432343,0.0
DM_kdo2lipid4L(c),0.0,-0.6168248719269533
DM_pheme(c),0.0,0.0
EX_26dap_M(e),0.0,0.0
EX_2obut(e),-1.0,-0.01657239352437433
EX_3dhcdchol(e),0.0,-0.0010394637217892091
EX_3dhchol(e),0.0,-0.0010394637217892091
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),2.614259587042437,0.0
EX_acald(e),0.0,-0.015534965512757426
EX_acgam(e),-1.0,-0.06419688178264905
EX_ade(e),0.9634606292747059,0.0
EX_adn(e),-1.0,-0.0700779406320217
EX_adocbl(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.04935062787836218
EX_arabttr(e),0.0,-0.1480522376642582
EX_arg_L(e),-0.15,-0.013435319783470146
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.019672426875534256
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0483721786269112
EX_cgly(e),0.0,0.0
