,fluxes,reduced_costs
biomass_dilution,0.002829951554393648,0.016013515684573865
protein_biomass_to_biomass,0.0015283797178478077,-1.762837693249566e-37
mRNA_biomass_to_biomass,3.9674222409884795e-06,0.0
tRNA_biomass_to_biomass,2.3000865289085965e-05,0.0
rRNA_biomass_to_biomass,1.723102705813461e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00016785605984293483,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0002292673152090032,0.0
prosthetic_group_biomass_to_biomass,5.355556163014562e-07,-2.272831818253658e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_HQN,0.0,-2.4662171607107908e-08
DM_atp_c_,0.0,-7.876215289858576e-08
DM_dhptd(c),1.9050910772897908e-06,0.0
EX_26dap_M(e),0.0,0.0
EX_7dhcdchol(e),0.0,0.0
EX_7ocholate(e),0.0,-4.1129105898395095e-09
EX_C02528(e),0.0,-2.028788852584958e-08
EX_ac(e),0.9586132688866168,0.0
EX_acald(e),0.0,-1.52008037324975e-08
EX_acgam(e),0.0,0.0
EX_ala_L(e),-0.0018072719097779705,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),1.5773594273642675e-22,4.286917694853493e-37
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),1.5773594273642675e-22,4.33584764720647e-37
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.0010637929126199835,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.000835483553879337,0.0
EX_asp_L(e),-0.0015697829014738904,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,-5.5449559497619394e-08
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0002780587645086009
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,-2.7318353568256857e-09
EX_cl(e),0.0,0.0
EX_co2(e),0.2255398818798638,0.0
EX_cobalt2(e),-5.666695279942333e-05,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0003309335584023099,0.0
EX_dgchol(e),0.0,-1.7556053169023895e-08
EX_drib(e),0.0,0.0
EX_etha(e),1.0668362681205406e-22,0.0
EX_etoh(e),0.0,-3.673673167811341e-08
EX_fe2(e),-8.675240049839868e-11,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-7.173972943945736e-35,0.0
EX_gal(e),0.0,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.11220625117781269,7.706559331090149e-38
EX_gln_L(e),-0.0008010725938392588,0.0
EX_glu_L(e),-0.0019950452159946544,0.0
EX_glutar(e),0.0,-1.6100492865257685e-08
EX_gly(e),-0.45,-8.767165220742697e-09
EX_glyasn(e),1.5773594273642675e-22,4.103283436735974e-37
EX_glyasp(e),1.5773594273642675e-22,5.904801997768056e-37
EX_glyb(e),0.0,-2.2788878998798935e-08
EX_glyc(e),-2.3558989411958546e-22,0.0
EX_glyc3p(e),-0.0009353543794874282,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),1.5773594273642675e-22,5.6037652413621606e-37
EX_glyglu(e),1.5773594273642675e-22,-4.4938414347966784e-37
EX_glyleu(e),0.0,-1.3553040015464928e-08
EX_glymet(e),0.0,-3.5389396404282136e-08
EX_glyphe(e),1.5773594273642675e-22,4.1032467025375105e-37
EX_glypro(e),0.0,-3.528033431326311e-08
EX_glytyr(e),9.900490780666545e-23,2.9758374175035474e-38
EX_h(e),0.3142496674334536,0.0
EX_h2o(e),-0.29098035908476,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0002836048466658227,0.0
EX_hxan(e),-0.00039104303853298614,0.0
EX_ile_L(e),-0.0013288506238729532,0.0
EX_ind3ac(e),0.0,0.0
EX_k(e),-3.3029527318881394e-10,0.0
EX_leu_L(e),-0.0018657665942464754,0.0
EX_lys_L(e),-0.0013729958975039682,0.0
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_mantr(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0007415742644982423,0.0
EX_metala(e),0.0,-4.827992614103178e-09
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-2.056561504751224e-05,0.0
EX_mn2(e),-2.1005809333837382e-09,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.0009123165990304163,0.0
EX_nh4(e),0.5918766080590083,0.0
EX_nmn(e),-0.0009689835489555947,0.0
EX_o2(e),3.4904895215689775e-22,-5.0371148676855145e-36
EX_orn(e),-1.2923867461018553e-23,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0008819063014025043,0.0
EX_pi(e),0.0006742490066374786,0.0
EX_pnto_R(e),-5.666694992517841e-05,0.0
EX_ppi(e),0.0,-5.445589555395807e-08
EX_pro_L(e),-0.0006996445045289847,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-5.666694992517841e-05,0.0
EX_rib_D(e),-1.526068367284659e-22,0.0
EX_ribflv(e),-0.00011333390002268609,0.0
EX_salcn(e),0.0,0.0
EX_ser_L(e),-0.0011071444555053496,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),6.725811506990002e-23,5.122974283597732e-37
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,-8.788887948281198e-09
EX_thr_L(e),-0.1438686569216058,0.0
EX_tma(e),0.0,0.0
EX_tre(e),-4.70197740328915e-36,-3.519650491552708e-37
EX_trp_L(e),-0.00020150852057394328,0.0
EX_tyr_L(e),-0.0007571173520175324,0.0
EX_ura(e),-0.00034847373547294326,0.0
EX_urea(e),0.0,-3.8086322709632455e-08
EX_val_L(e),-0.0014865592214454504,0.0
EX_xan(e),-0.00017089473393683066,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-9.983643264982652e-08,0.0
translation_411486.3.peg.38,1.1906818714734785e-07,-2.5002043311839997e-34
transcription_TU_411486.3.peg.38,9.925168170018483e-08,-1.030925830015674e-33
translation_411486.3.peg.47,0.0,3.8900388613897265e-35
transcription_TU_411486.3.peg.47,0.0,-4.736172171105218e-34
translation_411486.3.peg.48,5.759952158914022e-15,-6.108257298293196e-34
transcription_TU_411486.3.peg.48,4.801323947070448e-15,-4.3611912418955107e-35
translation_411486.3.peg.51,0.0,-3.093480975644688e-33
transcription_TU_411486.3.peg.51,0.0,-0.020726012400549873
translation_411486.3.peg.59,0.0,2.0318198910883408e-34
transcription_TU_411486.3.peg.59,0.0,-0.007705084583300459
translation_411486.3.peg.76,-2.725906295688089e-31,-2.0343967080266947e-34
transcription_TU_411486.3.peg.76,-2.2722340071353266e-31,1.8160987599882953e-33
translation_411486.3.peg.77,0.0,-5.332363912856833e-34
transcription_TU_411486.3.peg.77,0.0,-0.011677989666223566
translation_411486.3.peg.79,-3.6467719500229316e-31,9.525885174506908e-34
transcription_TU_411486.3.peg.79,-3.0398400906946215e-31,-7.449802277173536e-34
translation_411486.3.peg.89,1.1906823514114456e-07,-6.973955878964538e-35
transcription_TU_411486.3.peg.89,9.925172170637918e-08,-8.774463168403481e-35
translation_411486.3.peg.90,4.799379672133278e-14,6.452813017285961e-34
transcription_TU_411486.3.peg.90,4.000619434874127e-14,-2.7994500167992835e-33
translation_411486.3.peg.97,0.0,1.8757690100295377e-34
transcription_TU_411486.3.peg.97,0.0,-1.7261350382642513e-34
translation_411486.3.peg.98,0.0,3.803599570362424e-33
transcription_TU_411486.3.peg.98,0.0,-1.2443660618230836e-33
translation_411486.3.peg.99,0.0,2.2057123889597585e-33
transcription_TU_411486.3.peg.99,0.0,-9.95329814271854e-34
translation_411486.3.peg.100,0.0,-3.0561605871092137e-34
transcription_TU_411486.3.peg.100,0.0,-0.017230277465257085
translation_411486.3.peg.101,0.0,2.0480391450793164e-33
transcription_TU_411486.3.peg.101,0.0,-8.034691009147373e-34
translation_411486.3.peg.102,1.2063006576766667e-11,6.689711842354703e-34
transcription_TU_411486.3.peg.102,1.005536170314616e-11,-1.3684765976321662e-34
translation_411486.3.peg.103,0.0,-7.822878820301393e-34
transcription_TU_411486.3.peg.103,0.0,-1.5248318703491366e-34
translation_411486.3.peg.107,3.341096038292724e-45,1.1025401586799109e-33
transcription_TU_411486.3.peg.107,4.949550966592055e-45,-8.349326275534383e-34
translation_411486.3.peg.114,0.0,-2.2456312319181912e-33
transcription_TU_411486.3.peg.114,0.0,-2.036717068761857e-33
translation_411486.3.peg.120,0.0,-1.24887489512255e-34
transcription_TU_411486.3.peg.120,0.0,-2.0417892745675918e-34
translation_411486.3.peg.121,1.1906818714734785e-07,-1.0967025768935618e-33
transcription_TU_411486.3.peg.121,9.925168170018483e-08,-1.5092076649653988e-34
translation_411486.3.peg.122,9.98301460073987e-08,-1.3584639480621768e-34
transcription_TU_411486.3.peg.122,8.321542565645767e-08,1.8035767519053865e-34
translation_411486.3.peg.123,0.0,2.2061929812740546e-34
transcription_TU_411486.3.peg.123,0.0,-9.66866587942349e-34
translation_411486.3.peg.126,0.0,-2.774383287186286e-33
transcription_TU_411486.3.peg.126,0.0,-0.030417818171797097
translation_411486.3.peg.127,0.0,3.3655375079104265e-34
transcription_TU_411486.3.peg.127,0.0,-0.017573329728253064
translation_411486.3.peg.128,0.0,4.070643500224712e-34
transcription_TU_411486.3.peg.128,0.0,-0.005837248560161037
translation_411486.3.peg.135,2.682718330779544e-11,-4.895195571927793e-34
transcription_TU_411486.3.peg.135,2.2362338105331043e-11,-1.2091776340457958e-35
translation_411486.3.peg.136,0.0,-3.9134708850906695e-34
transcription_TU_411486.3.peg.136,0.0,-0.01669899820893304
translation_411486.3.peg.138,0.0,-5.873963516005458e-34
transcription_TU_411486.3.peg.138,0.0,-0.01547101387955175
translation_411486.3.peg.139,5.782677920769631e-29,-4.827307823199517e-35
transcription_TU_411486.3.peg.139,4.8202674628500924e-29,2.7648050396440386e-34
translation_411486.3.peg.143,1.4399880397285065e-15,1.282333773242723e-33
transcription_TU_411486.3.peg.143,1.2003309867676128e-15,2.5306683966471564e-34
translation_411486.3.peg.144,1.4399880397285065e-15,2.448630869824321e-33
transcription_TU_411486.3.peg.144,1.2003309867676128e-15,-1.0880334328820316e-34
translation_411486.3.peg.146,9.228166938377922e-13,-4.123112215464178e-34
transcription_TU_411486.3.peg.146,7.692324117697428e-13,-2.452094494210098e-34
translation_411486.3.peg.147,8.748228971164595e-13,6.265613269992728e-34
transcription_TU_411486.3.peg.147,7.292262174210015e-13,8.528778199688183e-35
