,fluxes,reduced_costs
biomass_dilution,0.3054002785174974,-0.4441561325936104
protein_biomass_to_biomass,0.14204169121039079,-3.087817415454812e-35
mRNA_biomass_to_biomass,0.0006419615659099251,0.0
tRNA_biomass_to_biomass,0.00388815758412861,-5.661277684901635e-35
rRNA_biomass_to_biomass,0.027679830961754966,-9.15230334644287e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.017210233508829647,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0339475337292388,0.0
prosthetic_group_biomass_to_biomass,9.241865139983974e-05,-6.806608826469431e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,0.0,-0.14214897758334702
DM_5DRIB,0.0,-0.04391196111014286
DM_5MTR,0.0,-0.06648122684299587
DM_AMOB,-4.19141626916527e-24,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.013126862060318092
DM_btn,0.0,-0.013128167189713467
DM_clpn140(c),0.0,-0.17061640428997532
DM_clpn160(c),0.0,-0.11808599873476727
DM_clpn180(c),0.0,-0.17061640428997532
DM_clpni16(c),0.0,-0.06557440655742254
DM_dad_5,0.0,-0.023842919146439052
DM_dhptd(c),0.00038160247429874664,0.0
DM_kdo2lipid4L(c),0.0,-0.30882299847111394
EX_12ppd_S(e),0.29797158,0.0
EX_13ppd(e),2.0,-2.3745294645845821e-35
EX_15dap(e),0.0,-5.419469508034894e-06
EX_2ddglcn(e),0.0,-0.013933811132311156
EX_2hyoxplac(e),0.0,-0.056956381915544384
EX_34dhpha(e),0.0,-0.04299902412410563
EX_3hphac(e),4.548361207841797e-58,0.0
EX_3hpppn(e),7.072574008578605e-24,0.0
EX_4hbz(e),-4.8487705010536636e-23,0.0
EX_4hoxpacd(e),0.0,0.0
EX_5mta(e),0.0,-0.0464126111805723
EX_Lcyst(e),0.0,0.0
EX_ac(e),16.510995929941817,0.0
EX_acald(e),0.0,-0.006135812104517308
EX_acgam(e),-1.0,-0.00241222211666281
EX_actn_R(e),0.0,-0.0122761392625222
EX_adn(e),1.0003816024742986,0.0
EX_adocbl(e),0.0,0.0
EX_akg(e),0.0,-0.01933295646167056
EX_ala_D(e),-1.0,-0.0008289032037152978
