,fluxes,reduced_costs
biomass_dilution,0.24848837163040532,-0.36268623061753474
protein_biomass_to_biomass,0.08864162792746066,-4.901880817844036e-35
mRNA_biomass_to_biomass,0.0003584928046826612,5.778386239066794e-35
tRNA_biomass_to_biomass,0.0021142501519808136,3.694081626574948e-35
rRNA_biomass_to_biomass,0.015579995585828184,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.014395281839061911,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.07745357081148768,0.0
prosthetic_group_biomass_to_biomass,8.423680070677349e-05,3.7658437959918074e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,0.0,-0.1374926915135435
DM_5DRIB,0.003945846248467858,0.0
DM_5MTR,0.0,-0.05700385519559703
DM_GCALD,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.0134164998039709
DM_clpn180(c),0.0,-0.12070832874244075
DM_clpnai17(c),0.0,-0.12412711230109323
DM_clpni17(c),0.0,-0.1511207077785229
DM_dad_5,0.0,-8.306850411770037e-07
DM_dhptd(c),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),1.0471154421684319,0.0
EX_acald(e),0.0,-0.006705835019218671
EX_acgam(e),-1.0,-0.030151054793070415
EX_ahcys(e),0.0,-0.11399893720976324
EX_ala_D(e),-0.0323132290561206,0.0
EX_ala_L(e),-0.06579138783484444,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,-0.003353965777971466
EX_alaglu(e),1.675949675405317e-23,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-4.015548408432076e-05
EX_alathr(e),1.6878095761511484e-23,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.026802724936051528
EX_arg_L(e),-0.043881695318813425,0.0
EX_asn_L(e),-0.06501957641546348,0.0
EX_asp_L(e),-0.09267337522070117,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.01844077324763356
EX_cellb(e),-0.07449289,-0.05360636557613351
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.07247691326955634,0.0
EX_cobalt2(e),-0.001972923124233929,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.004230803280417277,0.0
EX_dextrin(e),0.0,-0.14739159430382617
EX_dgchol(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_etoh(e),0.0014165184546887128,0.0
EX_fe2(e),-0.0028900863962044786,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.005918769372701787,0.0
EX_for(e),0.012052541060669424,0.0
EX_fru(e),-0.14898579,-0.026806169120766554
EX_gal(e),-0.14898579,-0.013381596146443969
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.026802462131253996
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.026804913957023422
EX_gln_L(e),-0.033591566236415384,0.0
EX_glu_L(e),-0.11549185100762,0.0
EX_gly(e),-0.059768454677739315,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-2.0,-0.006682381390223685
EX_glyc3p(e),-0.2791565080969999,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.003354407719294507
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.010103480861662142
EX_glymet(e),1.7309329934482927e-23,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,-0.0033539861146315514
EX_glytyr(e),0.0,0.0
EX_gua(e),-0.055216568689037286,0.0
EX_h(e),13.730003598938596,0.0
EX_h2(e),1.3149406219521149e-23,0.0
EX_h2o(e),-3.8595543079102748,0.0
EX_hg2(e),0.0,0.0
