,fluxes,reduced_costs
biomass_dilution,0.18498262402400867,-0.5334830423479385
protein_biomass_to_biomass,0.06648816761661683,-6.269487306991368e-35
mRNA_biomass_to_biomass,0.0002461747548867533,0.0
tRNA_biomass_to_biomass,0.0014639509475073973,-5.722579342463168e-35
rRNA_biomass_to_biomass,0.010793622589989784,-9.051518543193837e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.010889223079034517,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.05765889435683041,0.0
prosthetic_group_biomass_to_biomass,4.299639479600766e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5MTR,0.0,-0.07853600092879874
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.013660153218603597
DM_btn,0.0,0.0
DM_clpn180(c),0.0,-0.12293521917093998
DM_clpnai17(c),0.0,-0.5328429879635891
DM_clpni17(c),0.0,-0.5328429879635891
DM_dad_5,0.0,-0.09900798180767906
DM_dhptd(c),0.004531557390419888,0.0
EX_12dgr180(e),-0.007690245632025308,0.0
EX_12ppd_S(e),0.14898579,0.0
EX_4abut(e),0.18,0.0
EX_C02528(e),0.0,-7.905240342906346e-07
EX_ac(e),7.217958178466427,0.0
EX_acald(e),0.0,-0.006829962060056854
EX_acgam(e),-1.0,-0.044354414284471004
EX_actn_R(e),0.0,-0.013655791597404479
EX_adocbl(e),-0.0014695290661745444,0.0
EX_ala_D(e),-1.0,-0.006815213809001197
EX_ala_L(e),-1.0,-0.006817218612160484
EX_alaasp(e),0.0,-0.010215019165674244
EX_alagln(e),0.0,-0.0033957895366598903
EX_alaglu(e),0.0,-0.003400608940644511
EX_alagly(e),0.0,-0.006803640472668809
EX_alahis(e),2.464278328458157e-23,0.0
EX_alaleu(e),2.4027322256568502e-23,0.0
EX_alathr(e),0.0,-0.01363162221005243
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.04094525970377199
EX_arg_L(e),-0.034256324446803765,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.010221917117622421
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.010227439803089069
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.026477214918374153
EX_cellb(e),-0.07449289,-0.08188724872154415
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cholate(e),0.0,-7.905240342906346e-07
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.6190226124596352,0.0
EX_cobalt2(e),-0.001468767263453323,0.0
EX_crn(e),0.0,0.0
EX_csn(e),-0.03999525535912866,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.3375213130371541e-05,0.0
EX_ddca(e),0.0,0.0
EX_dextrin(e),0.0,-0.23198725092266217
EX_dgchol(e),0.0,-0.006815132016699222
EX_etha(e),0.0,-0.0034117271971029987
EX_etoh(e),5.59291049474846,0.0
EX_fe2(e),-0.001468838134327067,0.0
EX_fe3(e),0.0,0.0
EX_for(e),11.27809025376326,0.0
EX_fru(e),-0.14898579,-0.040946952580972126
EX_galt(e),0.0,-0.03411944127248251
EX_gam(e),-1.0,-0.040942108883315904
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.004406119619890264,0.0
EX_gchola(e),0.0,-0.006815132016699222
EX_glc_D(e),-0.14898579,-0.04094592886123476
EX_gln_L(e),-0.18,-0.003408210174074715
EX_glu_L(e),-0.18,-0.0034116240913871798
EX_gly(e),-0.45,-0.006815132016699222
EX_glyasn(e),0.0,-0.010208338978130747
EX_glyasp(e),0.0,-0.010213861663597395
