,fluxes,reduced_costs
biomass_dilution,0.11211338140714666,-1.0335785148396546
protein_biomass_to_biomass,0.0408841804431367,6.199330009109835e-35
mRNA_biomass_to_biomass,0.00013336343080223512,0.0
tRNA_biomass_to_biomass,0.0008172364238586138,0.0
rRNA_biomass_to_biomass,0.0056737811730255315,0.0
ncRNA_biomass_to_biomass,0.0,1.1660496010887656e-34
tmRNA_biomass_to_biomass,0.0,1.1660496010887656e-34
DNA_biomass_to_biomass,0.006642722923212647,1.1660496010887656e-34
lipid_biomass_to_biomass,0.0,1.1660496010887656e-34
constituent_biomass_to_biomass,0.03494562610217221,1.1660496010887656e-34
prosthetic_group_biomass_to_biomass,1.9119411674327583e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,1.1660496010887656e-34
DM_atp_c_,0.0,-0.02414600958923873
DM_btn,0.0,0.0
DM_clpn180(c),0.0,-0.256551495211944
DM_clpnai17(c),0.0,-1.119773833941382
DM_clpni17(c),0.0,-1.1197742147011989
EX_12dgr180(e),-0.004660867182563027,0.0
EX_2obut(e),-1.0,-0.019605316975959682
EX_ac(e),6.607689563923087,0.0
EX_acald(e),0.0,-0.013578363788605614
EX_acgam(e),0.0,0.0
EX_ade(e),1.9918444494773533,0.0
EX_adn(e),-1.0,-0.08699814290711569
EX_ala_L(e),-0.04538420918413573,0.0
EX_alaasp(e),0.0,-0.007533708918813656
EX_alagln(e),0.0,-0.006035354282417577
EX_alaglu(e),0.0,-0.006041449614083832
EX_alagly(e),2.5314067818440884e-23,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-0.006035565000917459
EX_alathr(e),0.0,-0.007527263891093551
EX_arab_L(e),7.89e-05,0.0
EX_arabttr(e),0.0,-1.8662222709721068e-06
EX_arbt(e),0.0,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.028497528858177437,0.0
EX_asp_L(e),-0.225,-0.019607933662257614
EX_bglc(e),-7e-08,-15085.359380171843
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cd2(e),0.0,-0.06339178107078919
EX_cgly(e),-0.20009938101370725,1.6845518712127698e-36
EX_cl(e),0.0,0.0
