,fluxes,reduced_costs
biomass_dilution,0.0011081954479295044,-0.27826465610936796
protein_biomass_to_biomass,0.0004496951854243252,0.0
mRNA_biomass_to_biomass,1.162929563192451e-06,-3.7969652268617296e-35
tRNA_biomass_to_biomass,6.781808870818622e-06,4.1731416073877093e-35
rRNA_biomass_to_biomass,5.243417635018825e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,6.57316275432309e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0002792721183861595,0.0
prosthetic_group_biomass_to_biomass,1.6405999040658478e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_atp_c_,0.0,-0.0013631119966745506
DM_clpn180(c),0.0,-0.039529454153905574
DM_clpnai17(c),0.0,-0.10223162810977074
DM_clpni17(c),0.0,-0.1022316513304039
DM_dhptd(c),0.0,0.0
DM_kdo2lipid4L(c),0.0,-0.07292573536669644
EX_C02528(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),1.4231256938976795,0.0
EX_acald(e),0.0,-0.00136305537609728
EX_ala_L(e),0.6085729916290284,0.0
EX_alaasp(e),0.0,-1.8872297889223576e-08
EX_alagln(e),0.0,-0.0006815622703138299
EX_alaglu(e),0.0,-9.400541924014146e-09
EX_alagly(e),0.0,-9.400541924014146e-09
EX_alahis(e),0.0,-9.47175596520943e-09
EX_alaleu(e),0.0,-1.884693289677993e-08
EX_alathr(e),0.0,-1.8872297889223576e-08
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,-1.9533929237538584e-07
EX_arg_L(e),-0.012508598417134876,0.0
EX_asn_L(e),-0.0002476282688338613,0.0
EX_asp_L(e),-0.02464004735226843,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.017109030997949127
EX_cgly(e),-0.008300562969400328,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.012451753204363527,0.0
EX_cobalt2(e),-3.4315760522468303e-06,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.008251881548761527,0.0
EX_ddca(e),-0.00013858538174082416,0.0
EX_dextrin(e),0.0,-0.019082554747261133
EX_dgchol(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-0.001363014927476332
EX_fe2(e),-9.545972700240135e-11,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-1.0294581613541132e-05,0.0
EX_for(e),0.5876135337826803,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.002044501288055276
EX_gln_L(e),-0.0007982718046851543,0.0
EX_glu_L(e),9.568222828430969e-05,0.0
EX_gly(e),0.00774008432163063,0.0
EX_glyasn(e),0.0,-1.8872297889223576e-08
EX_glyasp(e),0.0,-1.8872297889223576e-08
EX_glyc(e),3.5400195388660085e-05,0.0
EX_glycys(e),0.0,2.443723726487434e-36
EX_glygln(e),0.0,-0.0006815622703138299
EX_glyglu(e),0.0,-9.400541924014146e-09
EX_glyleu(e),0.0,-0.0006815537886936179
EX_glymet(e),0.0,-0.0006815653639451388
EX_glyphe(e),0.0,-2.217450015544227e-08
EX_glypro(e),0.0,-9.47175596520943e-09
EX_glytyr(e),0.0,-2.217450015544227e-08
EX_h(e),1.9712452733628594,0.0
EX_h2o(e),-0.07171799865144111,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-9.246971421950663e-05,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.0005613167287156868,0.0
