,fluxes,reduced_costs
biomass_dilution,0.0011247847296140148,0.014525172194896987
protein_biomass_to_biomass,0.0004177733366434705,-2.0009689062122676e-36
mRNA_biomass_to_biomass,1.0765777998728537e-06,0.0
tRNA_biomass_to_biomass,6.335332977008243e-06,0.0
rRNA_biomass_to_biomass,4.7141880030315325e-05,-2.5549146735697132e-36
ncRNA_biomass_to_biomass,0.0,2.5096222764819535e-36
tmRNA_biomass_to_biomass,0.0,2.5096222764819535e-36
DNA_biomass_to_biomass,6.67156060344458e-05,2.5096222764819535e-36
lipid_biomass_to_biomass,0.0,2.5096222764819535e-36
constituent_biomass_to_biomass,0.000350594247655246,2.5096222764819535e-36
prosthetic_group_biomass_to_biomass,1.5024661170392853e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,2.5096222764819535e-36
DM_5MTR,0.0,0.0
DM_HQN,0.0,-1.9534980430727657e-07
DM_atp_c_,0.0,-4.8603962155094265e-08
DM_dhptd(c),-2.0880974297595278e-51,0.0
DM_hcys_L[c],5.488204824660573e-07,0.0
EX_12dgr180(e),-4.6760450607297514e-05,0.0
EX_26dap_M(e),-9.558551466794714e-56,0.0
EX_4abut(e),0.0,0.0
EX_4abz(e),0.0,0.0
EX_4hbz(e),2.4280424665584566e-35,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),0.5926496629755411,0.0
EX_acald(e),0.0,-4.013526568025788e-08
EX_acgam(e),0.0,0.0
EX_ade(e),1.0440487148797639e-50,0.0
EX_adocbl(e),-8.930453317716392e-06,0.0
EX_ala_D(e),4.304788882405838e-40,0.0
EX_ala_L(e),-0.5926791332570925,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,-3.496794591230448e-07
EX_alagly(e),0.0,-9.613544697555673e-09
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-7.857871348534278e-09
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.00022386572859652178,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.00022747613436696756,0.0
