,fluxes,reduced_costs
biomass_dilution,0.0018814441907384616,0.015762718116025972
protein_biomass_to_biomass,0.0007642487722987829,-1.1561219031515789e-36
mRNA_biomass_to_biomass,2.022491934494835e-06,0.0
tRNA_biomass_to_biomass,1.2103187256907518e-05,-2.208766765224485e-36
rRNA_biomass_to_biomass,8.716771069211596e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00011159618910753934,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00047413559201543314,0.0
prosthetic_group_biomass_to_biomass,2.803130151224752e-07,-2.3026358599981897e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-7.948928363363293e-07
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-1.4130050885997423e-07
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-2.630139940133138e-07
EX_26dap_M(e),0.0,0.0
EX_2obut(e),-0.0007334485984924679,0.0
EX_ac(e),9.903585953051773e-05,0.0
EX_acgam(e),0.0,0.0
EX_ade(e),0.0,0.0
EX_adn(e),-1.2250823023276093e-30,0.0
EX_ala_L(e),-0.0011673281706020625,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.00039311566803346956,0.0
EX_asp_L(e),-0.9188162837572932,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.00031252956475208855
EX_cgly(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.005061046502228197,0.0
EX_cobalt2(e),-5.82590036088135e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0001106985524045588,0.0
EX_cytd(e),0.0,-3.575795430865783e-07
EX_dad_2(e),0.0,0.0
EX_dgsn(e),-2.178995565128245e-56,0.0
EX_fe2(e),-3.2793462934284033e-13,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-1.7477675809864937e-05,0.0
EX_for(e),7.223631833389938e-05,0.0
EX_fru(e),-0.14898579,-1.6436139429105304e-07
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-9.411360130911932e-05,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.0006784846284361512,0.0
EX_gln_L(e),-0.0012897111664597672,0.0
EX_glu_L(e),0.0,0.0
EX_gly(e),-0.0007992787453707542,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-0.9180343968311888,0.0
EX_glyclt(e),0.0,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-5.064469773092009e-08
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-5.825891936621646e-06,0.0
EX_gua(e),0.0,0.0
EX_h(e),1.113996411669208,0.0
EX_h2o(e),0.11548359773852312,0.0
EX_h2s(e),-4.922258221398412e-06,0.0
EX_hdca(e),0.0,0.0
EX_his_L(e),-0.00021207264033397099,0.0
EX_hxan(e),-0.00017173379538483322,0.0
EX_k(e),-1.7460445034695107e-09,0.0
EX_lac_D(e),0.0,-5.484230480921883e-10
EX_lac_L(e),1.212772325031955,0.0
EX_leu_L(e),-0.0012192700736535001,0.0
EX_lys_L(e),-0.0005827327396627156,0.0
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0003151289492883495,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-1.0460727232146325e-05,0.0
EX_mn2(e),-1.7979430172892943e-09,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-1.1651783873243292e-05,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-5.825897094996962e-06,0.0
EX_nh4(e),0.9167696544408452,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-6.532986622208491e-07
EX_ocdca(e),-0.00016026894194386512,0.0
EX_ocdcea(e),0.0,0.0
EX_orn(e),-0.0005839624292348161,0.0
EX_phe_L(e),0.0,0.0
EX_pheme(e),-5.825891936621646e-06,0.0
EX_pi(e),-0.11163442080809736,0.0
EX_ppa(e),0.0,0.0
EX_ppi(e),0.055186440864400256,0.0
EX_pro_L(e),-0.0004582415247899962,0.0
EX_ptrc(e),-5.825891936621646e-06,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-2.3305598744307608e-17,0.0
EX_pydxn(e),-4.1761948595190557e-51,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-0.000821204207594103,0.0
EX_sheme(e),-5.825891936621646e-06,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-5.825891936621646e-06,0.0
EX_succ(e),0.9163281164185721,0.0
EX_sucr(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-5.825894328761768e-06,0.0
EX_thr_L(e),-0.0005010705448281235,0.0
EX_thymd(e),-8.138122125634888e-05,0.0
EX_tre(e),0.0,0.0
EX_tsul(e),0.0,-1.3181575294370545e-07
EX_ttdca(e),-0.0002823408111160765,0.0
EX_tyr_L(e),-0.0007022928446167763,0.0
EX_ura(e),0.0,0.0
EX_uri(e),-0.0002786745698215553,0.0
EX_val_L(e),-0.0007317340485604824,0.0
EX_xan(e),-0.00018358115321179057,0.0
EX_zn2(e),-7.619371762625138e-08,0.0
translation_g.2182.peg.1,0.0,-3.2456791455705056e-33
transcription_TU_g.2182.peg.1,0.0,-0.01689354552335731
translation_g.2182.peg.2,0.0,-4.7735735589867284e-33
transcription_TU_g.2182.peg.2,0.0,-0.03725343752064169
translation_g.2182.peg.9,6.024224768154889e-08,2.6178420651900022e-33
transcription_TU_g.2182.peg.9,7.534435939427341e-08,-4.8748999843888304e-34
translation_g.2182.peg.10,0.0,-7.995825628638706e-34
transcription_TU_g.2182.peg.10,0.0,-0.015366135424556945
translation_g.2182.peg.11,0.0,-2.432722442948501e-33
transcription_TU_g.2182.peg.11,0.0,-0.031757355091313756
translation_g.2182.peg.21,2.7453899793623363e-13,1.3646053687339555e-33
transcription_TU_g.2182.peg.21,3.4336310022155267e-13,1.3928922624256374e-33
translation_g.2182.peg.22,0.0,-1.045778409020778e-33
transcription_TU_g.2182.peg.22,0.0,-0.022574981369398346
translation_g.2182.peg.26,0.0,-2.0843655188711496
transcription_TU_g.2182.peg.26,0.0,-0.03183187775561831
translation_g.2182.peg.31,0.0,-9.592489477511514e-34
transcription_TU_g.2182.peg.31,0.0,-0.0102062902583616
translation_546263.3.peg.31,9.477592612226611e-09,5.825512777513698e-34
transcription_TU_546263.3.peg.31,1.1853527573255257e-08,-7.71814577374718e-34
translation_g.2182.peg.37,3.797934642593325e-13,-2.8096061199437758e-33
transcription_TU_g.2182.peg.37,4.750037783785353e-13,1.344627621750798e-33
translation_g.2182.peg.38,6.024224768154889e-08,2.944644437086414e-33
transcription_TU_g.2182.peg.38,7.534435939427341e-08,4.256257854390248e-34
translation_g.2182.peg.40,0.0,1.9073949439295635e-34
transcription_TU_g.2182.peg.40,0.0,-1.568062732208119e-34
translation_g.2182.peg.45,4.695268034587026e-12,7.86596799452607e-34
transcription_TU_g.2182.peg.45,5.872323425254923e-12,-3.5764203136945085e-34
translation_g.2182.peg.46,0.0,4.742995301801676e-33
transcription_TU_g.2182.peg.46,0.0,-0.02723157603141919
translation_g.2182.peg.53,5.182097337444591e-12,2.8702547004685687e-33
transcription_TU_g.2182.peg.53,6.481195825767933e-12,-6.652855172594667e-33
translation_g.2182.peg.54,6.936188301567901e-12,-2.544411176171307e-33
transcription_TU_g.2182.peg.54,8.675019348253012e-12,4.96585709755619e-35
translation_g.2182.peg.55,9.11504314222398e-12,-2.3049785814947037e-35
transcription_TU_g.2182.peg.55,1.1400090681084848e-11,6.004005471924081e-34
translation_546263.3.peg.56,0.0,1.2508901310167618e-33
transcription_TU_546263.3.peg.56,0.0,-0.016791204610247693
translation_g.2182.peg.57,-5.045465096351282e-35,-1.055069178491015e-33
transcription_TU_g.2182.peg.57,0.0,-0.02550866470278444
translation_g.2182.peg.67,6.024225306277967e-08,9.472620710933415e-34
transcription_TU_g.2182.peg.67,7.534436612452338e-08,-1.223462345741341e-34
translation_546263.3.peg.75,0.0,1.3315660075134327e-32
transcription_TU_546263.3.peg.75,0.0,42.750789140822555
translation_g.2182.peg.78,2.2344300139901883e-12,-1.841214201980397e-33
transcription_TU_g.2182.peg.78,2.794578630355308e-12,1.968686458231165e-33
translation_g.2182.peg.80,0.0,2.04380200079164e-34
transcription_TU_g.2182.peg.80,0.0,-0.01756577342311327
translation_g.2182.peg.84,0.0,-8.885491020520754e-34
transcription_TU_g.2182.peg.84,0.0,-0.010325311703129949
translation_g.2182.peg.92,0.0,2.730085412703634e-33
