,fluxes,reduced_costs
biomass_dilution,0.002688768834575604,0.015566217669306832
protein_biomass_to_biomass,0.001090066856744069,5.5016087350618027e-36
mRNA_biomass_to_biomass,2.948227454457961e-06,0.0
tRNA_biomass_to_biomass,1.764386710043217e-05,0.0
rRNA_biomass_to_biomass,0.0001274867813625663,2.6305637155122314e-36
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00015948193238530958,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0006775864038113077,0.0
prosthetic_group_biomass_to_biomass,3.9215879892285644e-07,2.282041098937416e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,-2.6171468369135413e-08
DM_5MTR,0.0,0.0
DM_HQN,0.0,-2.6171468369135413e-08
DM_atp_c_,0.0,-1.806015769946031e-07
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-6.966926786090133e-08
EX_12dgr180(e),-2.6606216784947715e-16,0.0
EX_26dap_M(e),0.0,0.0
EX_2ddglcn(e),0.0,0.0
EX_2dmmq8(e),-8.325772696263359e-06,0.0
EX_2obut(e),-0.770364420176695,9.508127104512646e-42
EX_34dhphe(e),0.0,0.0
EX_5htrp(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),0.502455080659585,0.0
EX_acald(e),0.0,-3.5484997212519685e-08
EX_acgam(e),-0.00013449759464314088,0.0
EX_ade(e),1.3119950969092879e-06,0.0
EX_ala_L(e),-0.0018285174744980329,0.0
EX_alaasp(e),0.0,-1.4904098985013685e-08
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,-1.4904098985013685e-08
EX_alagly(e),0.0,-1.4904098985013685e-08
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-1.7070563154052103e-08
EX_alathr(e),0.0,-1.4904098985013685e-08
EX_amp(e),-0.00019813679786525102,0.0
EX_arab_D(e),-0.0002017463919647113,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.0010392907582165618,0.0
EX_asn_L(e),-0.00036732948891367344,0.0
EX_asp_L(e),-0.003676718550766648,0.0
EX_biomass(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-31.445421229917525
EX_cgly(e),-8.325772696263359e-06,0.0
EX_chol(e),-1.0,-1.2504067002471805e-08
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.00394889576281775,0.0
EX_cobalt2(e),-8.32578890872779e-06,0.0
EX_crn(e),0.0,0.0
EX_csn(e),-0.7397041977049681,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.00020971855597523933,0.0
EX_cytd(e),0.0,-8.857806257874598e-08
EX_dad_2(e),0.0,0.0
EX_dcyt(e),-0.002175951062355663,0.0
EX_dgsn(e),-0.00016835488894579944,0.0
EX_dopa(e),0.0,-1.3391323934374964e-07
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.4995281463174161,0.0
EX_fe2(e),-1.0696430789330635e-17,0.0
EX_fe3(e),-6.682438545977334e-13,0.0
EX_fol(e),-2.4977318088790074e-05,0.0
EX_for(e),0.772064460483021,0.0
EX_fru(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_glc_D(e),-0.0003362439866078522,0.0
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.0016213867724746913,0.0
EX_gly(e),-0.0013757573347726118,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-1.4904098985013685e-08
EX_glyc(e),8.58900316516831e-05,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,-1.4904098985013685e-08
EX_glyleu(e),0.0,-8.159285530920826e-08
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,-1.4904098985013685e-08
EX_glypro(e),0.0,-1.4904098985013685e-08
EX_glytyr(e),0.0,-1.4904098985013685e-08
EX_gsn(e),0.0,-1.9837444602946762e-07
EX_gua(e),-0.00013086438908280714,0.0
EX_h(e),0.48431425019998653,0.0
EX_h2o(e),-1.9530165102452746,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0003077197540149195,0.0
EX_hista(e),0.0,-1.3391323934374964e-07
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.0009505997516612264,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-7.34645163812994e-12,0.0
EX_lac_D(e),0.0,-3.5279458618297505e-08
EX_lac_L(e),0.0,-3.802836943272453e-08
EX_leu_L(e),-0.0016913652072068075,0.0
EX_lys_L(e),-0.000504340220502175,0.0
EX_malt(e),0.0,0.0
EX_man(e),-0.00031187479019911596,0.0
EX_met_L(e),-0.000462987896108014,0.0
EX_metala(e),0.0,-1.4904098985013685e-08
