,fluxes,reduced_costs
biomass_dilution,0.0026274108815702454,-0.3751391521833234
protein_biomass_to_biomass,0.0010701710932102826,0.0
mRNA_biomass_to_biomass,2.7010842806322262e-06,4.0924325736359606e-35
tRNA_biomass_to_biomass,1.6536290770805758e-05,4.2232164216825383e-35
rRNA_biomass_to_biomass,0.00011769350939863559,4.179980547985788e-35
ncRNA_biomass_to_biomass,0.0,-4.3380789992243264e-35
tmRNA_biomass_to_biomass,0.0,-4.3380789992243264e-35
DNA_biomass_to_biomass,0.00015584253997338,-4.3380789992243264e-35
lipid_biomass_to_biomass,0.0,-4.3380789992243264e-35
constituent_biomass_to_biomass,0.0006621238195283094,-4.3380789992243264e-35
prosthetic_group_biomass_to_biomass,3.7130447741580465e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,-4.3380789992243264e-35
DM_4HBA,8.135781501691928e-06,0.0
DM_5DRIB,1.6271555605985336e-05,0.0
DM_5MTR,8.135777794782264e-06,0.0
DM_atp_c_,0.0,-0.004451816248485701
DM_dhptd(c),2.6027016192305638e-05,0.0
DM_hcys_L[c],2.6027016192305638e-05,0.0
EX_12ppd_S(e),0.0,-0.0011129163107012076
EX_15dap(e),0.0,0.0
EX_26dap_M(e),-0.000978451199140519,-3.240138243470284e-37
EX_34dhpha(e),0.0,-8.708381144388209
EX_34dhphe(e),0.0,-4.055016671618346e-09
EX_3hphac(e),1.9345181616331737e-57,0.0
EX_3mop(e),-0.00022381336853567976,0.0
EX_4abz(e),-2.4407333384346793e-05,0.0
EX_4hbz(e),-6.915483502391186e-40,0.0
EX_5htrp(e),0.0,-4.055016671618346e-09
EX_5mta(e),0.0,-6.333248525368703e-08
EX_Lcyst(e),0.0,0.0
EX_ac(e),0.0001314283471179068,0.0
EX_acald(e),1.2935702057826237,2.641718322454973e-37
EX_acgam(e),1.6704779438076223e-50,0.0
EX_adocbl(e),-8.135777794782264e-06,0.0
EX_ala_D(e),2.565854121688508e-47,0.0
EX_ala_L(e),-0.0007319565038965279,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-0.0011131610185140656
EX_alaleu(e),0.0,-0.0011131586250813037
EX_alathr(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.00073250711392802,0.0
EX_asn_L(e),-0.0008826368943103455,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.0010619182840908587,0.0
EX_biomass(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.01882682888530552
EX_cgly(e),0.0,0.0
EX_chol(e),-7.215598156815578e-46,0.0
EX_cit(e),1.0173954573279614e-30,0.0
EX_cl(e),0.0,0.0
EX_co2(e),3.056364445473796,0.0
EX_cobalt2(e),-8.13579491559438e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0004933710736384671,0.0
EX_dcyt(e),-0.000495683512103449,0.0
EX_dms(e),0.0,0.0
EX_dmso(e),0.0,-3.919871353700766e-08
EX_dopa(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.7940686417595927,0.0
EX_fe2(e),-1.627247025913014e-05,0.0
EX_fe3(e),5.086977286639807e-31,0.0
EX_fecrm(e),0.0,0.0
EX_for(e),2.094916859425238,0.0
EX_fru(e),-1.6704779438076223e-50,0.0
EX_fum(e),9.726356885359365e-30,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),3.254311488603872e-05,0.0
EX_glc_D(e),7.051385044727739e-22,0.0
EX_glcn(e),0.0,0.0
EX_glcur(e),0.0,0.0
EX_gln_L(e),-0.0003820729535725952,0.0
EX_glu_L(e),-0.0016736063337575839,0.0
EX_gly(e),-0.0009662417675056252,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),7.215592936572004e-46,0.0
EX_glyc(e),-1.79965486,-0.0011125894364725354
EX_glyc3p(e),-0.0017394618388379749,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.004452026800117313
EX_glymet(e),0.0,-0.0011131645217190985
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-8.135777794782264e-06,0.0
EX_gua(e),-0.0002602096779395727,0.0
EX_h(e),-1.0,-0.0011128954344263675
EX_h2o(e),0.9923492840422633,0.0
EX_h2s(e),-0.0006131987954238032,0.0
EX_hdca(e),0.0,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00033460776845345923,0.0
EX_hista(e),0.0,-0.0033388611612735946
EX_hxan(e),-0.00025340147928341395,0.0
EX_ile_L(e),-0.0012754149494271661,0.0
EX_ind3ac(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-5.740774940647449e-09,0.0
EX_lac_D(e),0.0,-0.004451085367668803
EX_lac_L(e),0.0,-0.0011128566171038962
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.0014783552106767395,0.0
EX_lys_L(e),-4.479055474618418e-34,0.0
EX_mal_L(e),0.0,-0.004451718441783919
EX_malt(e),-0.07449289,-0.004450682539997641
EX_malthx(e),0.0,-0.008902284263647166
EX_malttr(e),0.0,0.0
EX_man(e),-7.051385044727739e-22,0.0
EX_melib(e),-0.000328570867794767,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),1.0353950701367626e-56,0.0
EX_metala(e),0.0,-0.001113161340110273
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.0004083444470495445,0.0
EX_mg2(e),-1.4003619093648655e-05,0.0
EX_mn2(e),-2.6357425841201505e-08,0.0
EX_mnl(e),0.0,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.0,0.0
EX_nh4(e),-4.81404918671936e-52,1.0738133897961674e-36
EX_ni2(e),0.0,0.0
EX_nmn(e),-8.135790096656605e-06,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.002225919221030557
EX_o2(e),0.0,-8.708381366663046
EX_ocdca(e),9.476851958124373e-24,0.0
EX_orn(e),-1.0928552833184654e-50,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0006994585450372432,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-8.13586748286083e-06,0.0
EX_ppa(e),-3.1506035527997383e-50,0.0
EX_ppi(e),-2.919513733637315e-22,0.0
EX_pppn(e),0.0,0.0
EX_pro_L(e),-0.0005437696552069333,0.0
EX_ptrc(e),2.468538136726804e-35,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),9.418741880259203e-29,0.0
EX_pydxn(e),-8.135781501691928e-06,0.0
EX_rib_D(e),0.0,0.0
EX_rmn(e),-7.363957915332083e-22,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-0.0009590718617630778,0.0
EX_so3(e),0.0,-2.7552184064257473e-07
EX_so4(e),0.0,0.0
EX_spmd(e),-7.145609199143856e-29,0.0
EX_srtn(e),-3.708269615366521e-29,0.0
EX_succ(e),0.0,-0.0022257763597234035
EX_sucr(e),0.0,0.0
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),2.9782976129644554e-26,0.0
EX_thr_L(e),-0.0008121513315989919,0.0
EX_tre(e),-5.96427756075916e-23,0.0
EX_trp_L(e),-2.0,-3.859444166479852e-38
EX_trypta(e),1.9998020939739287,0.0
EX_tsul(e),0.0,0.0
EX_ttdca(e),1.5930919111324523e-56,0.0
EX_tym(e),1.0535404892656732,0.0
EX_tyr_L(e),-1.0540276278410488,0.0
EX_ura(e),0.0,0.0
EX_urea(e),0.0,-2.7710114859770673e-07
EX_val_L(e),-0.0008901843094066558,0.0
EX_xan(e),0.0,0.0
EX_xtsn(e),0.0,-0.0007416980343005821
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-7.373999057102471e-08,0.0
translation_g.1842.peg.5,1.2211165035541849e-11,-9.6945408625322e-30
transcription_TU_g.1842.peg.5,1.0957709600740063e-11,4.105192566362626e-32
translation_502800.3.peg.7,0.0,3.291726099784704e-32
transcription_TU_502800.3.peg.7,0.0,-16.865097274945686
translation_502800.3.peg.8,0.0,1.1696346160020876e-32
transcription_TU_502800.3.peg.8,0.0,-17.05336793106131
translation_g.1842.peg.9,0.0,3.766774741769663e-32
transcription_TU_g.1842.peg.9,0.0,-1.9640234607953526
translation_502800.3.peg.14,0.0,-2.4151616238294463e-32
transcription_TU_502800.3.peg.14,0.0,26.323128528315284
translation_g.1842.peg.24,0.0,8.880277859735303e-33
transcription_TU_g.1842.peg.24,0.0,-24.11334081591263
translation_g.1842.peg.26,2.1750110503907853e-12,-1.7688184185853353e-32
transcription_TU_g.1842.peg.26,1.9517498452616146e-12,7.603457713874905e-33
translation_g.1842.peg.27,0.0,-8.712843753486745e-33
transcription_TU_g.1842.peg.27,0.0,-12.062638688539643
translation_g.1842.peg.37,0.0,-1.9272238971749457e-32
transcription_TU_g.1842.peg.37,0.0,-18.718081065872134
translation_g.1842.peg.44,-6.478430101570272e-58,-1.9288912228795736e-32
transcription_TU_g.1842.peg.44,0.0,0.12993242149591727
translation_g.1842.peg.47,0.0,9.684937187730479e-32
transcription_TU_g.1842.peg.47,0.0,-2.944885448626854
translation_g.1842.peg.55,0.0,-5.13357861281044e-32
transcription_TU_g.1842.peg.55,0.0,0.07047018984409092
translation_g.1842.peg.69,0.0,-4.670351180990777e-34
transcription_TU_g.1842.peg.69,0.0,-14.59315272015934
translation_g.1842.peg.75,0.0,1.733267220800339e-32
transcription_TU_g.1842.peg.75,0.0,0.4611103137893386
translation_502800.3.peg.75,0.0,-2.0255638022664396e-32
transcription_TU_502800.3.peg.75,0.0,0.33273495014546917
translation_g.1842.peg.82,0.0,1.1109760265374263e-31
transcription_TU_g.1842.peg.82,0.0,-42.65327752700228
translation_g.1842.peg.83,0.0,-1.2084291370190805e-32
transcription_TU_g.1842.peg.83,0.0,-2.020838677772361
translation_g.1842.peg.86,0.0,9.6162579138901e-34
transcription_TU_g.1842.peg.86,0.0,-2.035750175606867
translation_g.1842.peg.93,0.0,1.917540790047139e-29
transcription_TU_g.1842.peg.93,0.0,477025.30585593305
translation_g.1842.peg.99,5.429695286721703e-13,-2.124989246150856e-32
transcription_TU_g.1842.peg.99,4.872346250274335e-13,2.1659160939219037e-33
translation_g.1842.peg.101,1.8209596181686287e-30,-2.3401652344463515e-33
transcription_TU_g.1842.peg.101,0.0,-22.54237489106757
translation_g.1842.peg.106,0.0,2.97795881157208e-32
transcription_TU_g.1842.peg.106,0.0,-13.155607156106932
translation_g.1842.peg.108,0.0,1.2878868054063064e-32
transcription_TU_g.1842.peg.108,0.0,-28.81069506921068
translation_g.1842.peg.110,0.0,1.062525992054079e-31
transcription_TU_g.1842.peg.110,0.0,-30.54106762498087
translation_g.1842.peg.113,0.0,3.0699579371300355e-32
transcription_TU_g.1842.peg.113,0.0,0.5340542600359675
translation_g.1842.peg.115,0.0,1.9035255933414664e-32
transcription_TU_g.1842.peg.115,0.0,-12.988609399966219
translation_g.1842.peg.117,0.0,1.3953660972712676e-32
transcription_TU_g.1842.peg.117,0.0,0.16792854400483206
translation_g.1842.peg.118,4.528590344444705e-13,-2.6599246342351426e-32
