,fluxes,reduced_costs
biomass_dilution,0.23508362004415811,-0.6704726768278952
protein_biomass_to_biomass,0.11762706633783553,-1.3277382691704336e-34
mRNA_biomass_to_biomass,0.0004624701982668683,-7.041764275347942e-35
tRNA_biomass_to_biomass,0.0028536347142237677,-1.1421081154639223e-34
rRNA_biomass_to_biomass,0.008101683900159223,-9.581268339784377e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.013680150277767046,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.02613130924235024,0.0
prosthetic_group_biomass_to_biomass,6.208055852295122e-05,-6.988446144460519e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.021239516688319346
DM_btn,0.0,0.0
DM_clpn140(c),0.0,-0.3543094086198555
DM_clpn160(c),0.0,-0.24283452050909948
DM_clpn180(c),0.0,-0.35429994639816864
DM_clpni16(c),0.0,0.0
DM_dad_5,0.0,0.0
EX_15dap(e),0.0,-0.01326330341059275
EX_2obut(e),-1.0,-0.009286399396408247
EX_4abut(e),0.0,-0.0026515612682757547
EX_ac(e),8.757173192084624,0.0
EX_acac(e),0.0,-0.014599202617619796
EX_acald(e),0.0,-0.017243168303419102
EX_acgam(e),-1.0,-0.005235912733529261
EX_ade(e),0.9830021988616642,0.0
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-0.06419696110875865,0.0
EX_alaasp(e),2.889737786497322e-23,0.0
EX_alagln(e),2.9185731352969056e-23,0.0
EX_alaglu(e),2.889737786497322e-23,0.0
EX_alagly(e),2.891829081778767e-23,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),2.9122860029098775e-23,0.0
EX_arg_L(e),-0.04554741736808185,0.0
EX_asn_L(e),-2.0,-0.0066487371600661635
EX_asp_L(e),-2.0,-0.02124173809388563
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_btoh(e),0.0,-0.014576300230816772
EX_but(e),8.957358784000093,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cgly(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),13.284913198747676,0.0
EX_cobalt2(e),-0.0018361413392410076,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.8023655674834687,0.0
EX_cytd(e),0.0,-0.0951131754964912
EX_dad_2(e),-0.982778492977441,0.0
EX_ddca(e),-8.188953859836477e-25,0.0
EX_dgsn(e),0.982778492977441,0.0
EX_drib(e),0.0,0.0
EX_etha(e),0.0,-0.01192781490472556
EX_etoh(e),0.0,-0.019890443493270103
EX_fe2(e),-1.4720622396738033e-08,0.0
EX_fe3(e),0.0,0.0
EX_for(e),0.26123221004219005,0.0
