,fluxes,reduced_costs
biomass_dilution,0.1351053978474121,-0.606429196952044
protein_biomass_to_biomass,0.06457162258354518,6.639177237831367e-35
mRNA_biomass_to_biomass,0.00021329902975809445,-6.098797609661506e-35
tRNA_biomass_to_biomass,0.001317284610984775,-1.160332360614611e-34
rRNA_biomass_to_biomass,0.009639637076114928,0.0
ncRNA_biomass_to_biomass,0.0,6.046188916000998e-35
tmRNA_biomass_to_biomass,0.0,6.046188916000998e-35
DNA_biomass_to_biomass,0.007995759680213457,6.046188916000998e-35
lipid_biomass_to_biomass,0.0,6.046188916000998e-35
constituent_biomass_to_biomass,0.01501797926541339,6.046188916000998e-35
prosthetic_group_biomass_to_biomass,2.827789813810335e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,6.046188916000998e-35
DM_4HBA,0.0,0.0
DM_atp_c_,0.0,-0.01565690206962852
EX_26dap_M(e),-2.2353391505744003e-23,0.0
EX_2ddglcn(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),3.360447613486275,0.0
EX_acald(e),0.0,-0.010433134624349973
EX_adn(e),-0.021091423654938903,0.0
EX_ala_L(e),-1.0,-0.01042893055841101
EX_alaasp(e),0.0,-0.02085226829461026
EX_alagln(e),0.0,-0.04172082830979614
EX_alaglu(e),0.0,-0.04172326606439825
EX_alagly(e),0.0,-0.005209847086703608
EX_alahis(e),0.0,-0.005208369091421701
EX_alaleu(e),0.0,-0.005208494227997444
EX_alathr(e),0.0,-0.020856655034599422
EX_arab_L(e),0.0,0.0
EX_arg_L(e),-0.043164268104088035,-1.1769354131377176e-35
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.051403765482382215,0.0
EX_asp_L(e),-0.225,-0.01564389920318856
EX_biomass(e),0.0,0.0
EX_but(e),2.685233369857837,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),3.1228970367281056e-29,0.0
EX_cd2(e),0.0,-0.06184455581853988
EX_cgly(e),0.0,0.0
EX_chol(e),-1.0,-0.010430825130369676
EX_cl(e),0.0,0.0
EX_co2(e),0.2757059725785775,0.0
EX_cobalt2(e),-0.0010551442095934882,0.0
EX_cro4(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.006917771233959818,0.0
EX_drib(e),-0.17878295,-0.020853427470793964
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-0.005214722692258641
EX_fe2(e),-4.415412966759304e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),7.466183526320668,0.0
EX_fru(e),-0.14898579,-0.05215975858507975
EX_gbbtn(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.06781738409376625
EX_gln_L(e),-0.18,-0.03651245921837444
EX_glu_L(e),-0.18,-0.03651444208450643
EX_gly(e),-0.04652469744449556,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-0.010424815731481157
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.020858559214212733
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.031293375746667046
EX_glyglu(e),0.0,-0.03129581350126915
EX_glyleu(e),0.0,-0.005219246752074481
EX_glymet(e),0.0,-2.043287299474569e-06
EX_glyphe(e),3.351253636129115e-23,0.0
EX_glypro(e),0.0,-0.005219446268507962
EX_glytyr(e),3.362665175637679e-23,0.0
EX_h(e),9.679292679699001,0.0
EX_h2(e),2.394599867958249,0.0
EX_h2o(e),-3.5608476917044904,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.011475390196538444,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.09316309871965019,0.0
EX_indole(e),0.0804849408899883,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-2.1753936696555105e-07,0.0
EX_lac_D(e),0.0,-0.010431984745244996
EX_lac_L(e),0.0,-0.010432076113200026
EX_lcts(e),-0.07449289,-0.11997018952644932
EX_leu_L(e),-0.08226584815166697,0.0
EX_lys_L(e),-0.11092392203160717,0.0
EX_malt(e),-0.07449289,-0.13563113933084758
EX_man(e),-0.14898579,-0.06781754487890164
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.010429495850428577
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.020018486145278933,0.0
