,fluxes,reduced_costs
biomass_dilution,0.10862082992678347,-0.4259873066360239
protein_biomass_to_biomass,0.04801606365991572,3.02260561607789e-35
mRNA_biomass_to_biomass,0.0001583053184818932,0.0
tRNA_biomass_to_biomass,0.0009387436436822212,0.0
rRNA_biomass_to_biomass,0.007151540159565879,4.486494173510967e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.006436596615044181,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.01888937142897333,0.0
prosthetic_group_biomass_to_biomass,2.1173292417658262e-05,1.3520180623210753e-34
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,5.436824344566184e-08,0.0
DM_AMOB,0.00539405716170065,0.0
DM_atp_c_,0.0,-0.008089369946025098
DM_btn,0.00539405716170065,0.0
DM_dad_5,0.00539405716170065,0.0
DM_dhptd(c),0.005465166025302758,0.0
DM_kdo2lipid4L(c),0.0,-0.43344469396598795
DM_pheme(c),0.0,0.0
DM_teich_45_BS(c),0.0,-5.914040619472084
EX_12ppd_S(e),0.14898579,0.0
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),4.174072729615427,0.0
EX_adn(e),-0.03766611970934927,0.0
EX_adocbl(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.021552364804555076
EX_arabttr(e),0.0,-0.06465680464919465
EX_arg_L(e),-0.025516876106818055,0.0
EX_asn_L(e),-0.225,-0.010106862881359426
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.020422337644841082
EX_cellb(e),-0.07449289,-0.07276820925308483
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.485779251273234,0.0
EX_cobalt2(e),-0.000848359631563472,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-0.010115341355626667
EX_dad_2(e),0.012157841269218294,0.0
EX_dcyt(e),-0.00470190134495957,0.0
EX_ddca(e),-0.015797832570910827,0.0
EX_dgchol(e),0.0,-4.692717749156405e-08
EX_dgsn(e),-0.012157841269218294,0.0
EX_din(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_fe2(e),-4.015436031049838e-08,0.0
EX_fe3(e),0.0,0.0
EX_for(e),2.719160898906532,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-0.02425605639838177
EX_gcald(e),0.0,-0.004041707173696341
EX_gchola(e),0.0,-4.692717749156405e-08
EX_glc_D(e),-0.14898579,-0.03233969540787331
EX_glcur(e),0.0,-0.024256228403384643
EX_gly(e),0.0,0.0
EX_gsn(e),0.0,-8.36036988755745e-06
EX_h(e),2.7174360173111483,0.0
EX_h2(e),1.7038801136344276e-23,0.0
EX_h2o(e),-0.838452126537782,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_hxan(e),-0.03766611970934927,0.0
EX_ins(e),0.03766611970934927,0.0
EX_isobut(e),0.0,-1.7020357965735286e-06
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-3.255767678737487e-07,0.0
EX_lac_D(e),0.0,-0.008086394804177036
EX_lcts(e),-0.07449289,-0.07276476181766066
EX_leu_L(e),-0.06264133493084105,0.0
EX_lys_L(e),-0.039979688384288115,0.0
EX_malt(e),-0.07449289,-0.07276819638442378
EX_man(e),-0.14898579,-0.032339825947508304
EX_mantr(e),0.0,-0.11319292591256196
EX_met_L(e),-0.03841513078133628,0.0
EX_mg2(e),-0.0008179490744613404,0.0
EX_mn2(e),-1.248978077758701e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0008483307249805095,0.0
EX_nh4(e),3.1295489591617476,0.0
EX_no2(e),-1.0,-0.02121755424838046
EX_o2(e),0.0,-0.022237923678513235
EX_ocdca(e),0.0,0.0
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_pheme(e),0.0,0.0
EX_pi(e),-0.15017777218223582,0.0
EX_ppa(e),0.0,-0.0010200060426995715
EX_ppi(e),0.04485269694712501,0.0
EX_ptrc(e),0.0,0.0
