,fluxes,reduced_costs
biomass_dilution,0.0012106350517967143,0.015004980313714885
protein_biomass_to_biomass,0.0004931896579290303,1.4111146477873543e-36
mRNA_biomass_to_biomass,1.280712667556654e-06,0.0
tRNA_biomass_to_biomass,7.717147838736512e-06,0.0
rRNA_biomass_to_biomass,5.3957655538843096e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,7.180774155283797e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0003050875331959617,0.0
prosthetic_group_biomass_to_biomass,1.754204886685968e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_atp_c_,0.0,-2.7530007168758726e-08
DM_clpn180(c),0.0,-2.3403106981744476e-06
DM_clpnai17(c),0.0,-3.7154984829426816e-06
DM_clpni17(c),0.0,-3.7091235777710156e-06
DM_kdo2lipid4L(c),0.0,-1.910646513986968e-06
EX_acgam(e),0.0,0.0
EX_akg(e),0.00034177879803289464,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.0005922102575575938,0.0
EX_alaasp(e),0.0,-4.858316571363498e-09
EX_alagln(e),1.4556177385474642e-22,0.0
EX_alaglu(e),1.4556177385474642e-22,0.0
EX_alagly(e),8.779237443383885e-23,0.0
EX_alahis(e),1.4556177385474642e-22,0.0
EX_alaleu(e),0.0,-1.2691221248656102e-08
EX_alathr(e),1.4556177385474642e-22,0.0
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.001525228528515194,0.0
EX_asp_L(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),-0.3757469378879854,-5.665093071452329e-39
EX_cgly(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0022228710703240465,0.0
EX_cobalt2(e),-3.7487321796335825e-06,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-7.440860072156667e-05,0.0
EX_ddca(e),-0.0002848019051574554,0.0
EX_fe2(e),-3.748731572454678e-06,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-1.1246194313665576e-05,0.0
EX_for(e),3.472258330045153e-05,0.0
EX_fru(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-6.055838656097524e-05,0.0
EX_glc_D(e),-0.0006587888457241998,0.0
EX_gln_L(e),-0.0014502630512525086,0.0
EX_glu_L(e),0.0,0.0
EX_gly(e),-0.0001710715246281642,0.0
EX_glyasn(e),8.779237443383885e-23,0.0
EX_glyasp(e),0.0,-4.27336000356098e-09
EX_glyc(e),3.867252609459424e-05,0.0
EX_glyc3p(e),-0.0007768525835086477,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),8.779237443383885e-23,0.0
EX_glyglu(e),1.4556177385474642e-22,-1.8367099231598243e-42
EX_glyleu(e),0.0,-3.446261778210499e-08
EX_glymet(e),0.0,-1.1394400054628972e-08
EX_glyphe(e),8.779237443383885e-23,0.0
EX_glypro(e),8.779237443383885e-23,0.0
EX_glytyr(e),8.779237443383885e-23,0.0
EX_h(e),-1.0,-1.1760376822145663e-08
EX_h2(e),0.0,0.0
EX_h2o(e),0.05100665944712943,0.0
EX_hdca(e),0.0,0.0
EX_his_L(e),-0.00015787053709218638,0.0
EX_ile_L(e),-0.0006469823957954218,0.0
EX_k(e),-7.890479203979174e-13,0.0
EX_leu_L(e),-0.0007713916835989003,0.0
EX_lys_L(e),-0.0004203194504887487,0.0
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00020657369786954112,0.0
EX_metala(e),0.0,-2.0026278725158266e-08
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-6.706968423229589e-06,0.0
EX_mn2(e),-7.434047504845722e-11,0.0
EX_mnl(e),0.0,0.0
EX_mqn7(e),-7.497462875777052e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),5.807727008444632e-41,0.0
EX_nh4(e),0.00280597382217275,0.0
EX_o2(e),0.0,-4.4557177931149606e-08
EX_ocdca(e),0.0,0.0
EX_phe_L(e),-0.0003314389535966427,0.0
EX_pheme(e),-3.748731437888526e-06,0.0
EX_pi(e),0.0,0.0
EX_pro_L(e),-0.00025232238086909334,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,-1.6643042311654986e-08
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-0.0023256916728310937,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-3.748731437888526e-06,0.0
EX_succ(e),0.0,-1.5023590107867116e-08
EX_sucr(e),0.0,0.0
EX_thm(e),-3.748731917423657e-06,0.0
EX_thr_L(e),-0.0003385788296953713,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-6.583899647491132e-05,0.0
EX_ttdca(e),0.0,0.0
EX_tyr_L(e),-0.0001804944185535137,0.0
EX_val_L(e),-0.0004476499279989873,0.0
EX_zn2(e),-7.501603672416526e-08,0.0
translation_283165.6.peg.3,0.0,1.9410016507352943e-35
transcription_TU_283165.6.peg.3,0.0,1.3024946718612702e-33
translation_283165.6.peg.4,2.0748982721135455e-14,1.6982660940886505e-33
transcription_TU_283165.6.peg.4,4.02586308313596e-14,-3.0307870308834693e-34
translation_283165.6.peg.22,1.9837368648790387e-16,7.163106126637323e-34
transcription_TU_283165.6.peg.22,3.848985330175915e-16,9.490419887616824e-34
translation_283165.6.peg.26,4.0686556491341726e-12,-8.051910918171304e-35
transcription_TU_283165.6.peg.26,7.894290913432058e-12,2.511489165381525e-34
translation_283165.6.peg.27,2.174587434673557e-12,-6.635339198356387e-34
transcription_TU_283165.6.peg.27,4.2192869847956196e-12,4.730031343428377e-35
translation_283165.6.peg.28,1.2145870411607633e-13,-1.7044693888539029e-34
transcription_TU_283165.6.peg.28,2.356626922862881e-13,-9.281334667381843e-34
translation_283165.6.peg.29,2.4132810893953263e-12,3.7610676948745263e-34
transcription_TU_283165.6.peg.29,4.682417146711619e-12,9.220999730871204e-35
translation_283165.6.peg.37,1.2684490321475424e-14,-2.0377723803382587e-33
transcription_TU_283165.6.peg.37,2.4611337336363052e-14,1.1051918401712914e-34
translation_283165.6.peg.40,7.308925574882388e-14,-7.887930142142558e-33
transcription_TU_283165.6.peg.40,1.418128977443047e-13,8.515194813199581e-34
translation_283165.6.peg.41,3.667827741691256e-12,-5.9239482896525816e-33
transcription_TU_283165.6.peg.41,7.116576508368074e-12,4.2812191034412195e-34
translation_283165.6.peg.45,4.275341549233489e-14,7.927850056192093e-33
transcription_TU_283165.6.peg.45,8.295317386005567e-14,8.921601838375016e-34
translation_283165.6.peg.46,0.0,1.7297439864274855e-34
transcription_TU_283165.6.peg.46,0.0,-1.4051589301817312e-34
translation_283165.6.peg.47,1.6938236944759968e-14,1.27388324763547e-33
transcription_TU_283165.6.peg.47,3.2864754733183924e-14,-1.3122848691063927e-34
translation_283165.6.peg.48,0.0,4.171724866998241e-34
transcription_TU_283165.6.peg.48,0.0,-0.052983644771603854
translation_283165.6.peg.56,1.2145870411607633e-13,-6.434731546207482e-34
transcription_TU_283165.6.peg.56,2.356626922862881e-13,4.825087328308345e-34
translation_283165.6.peg.59,0.0,-1.3745474809276283e-33
transcription_TU_283165.6.peg.59,0.0,-1.4985452690198959e-33
translation_283165.6.peg.63,2.3400702290044167e-15,1.196247043375746e-34
transcription_TU_283165.6.peg.63,4.540368303115949e-15,-6.6041141591008114e-34
translation_283165.6.peg.72,1.1700351145022083e-15,2.6486840700098625e-33
transcription_TU_283165.6.peg.72,2.2701841515579744e-15,-1.376793920721541e-33
translation_283165.6.peg.73,2.3400702290044167e-15,2.6288922064400133e-33
transcription_TU_283165.6.peg.73,4.540368303115949e-15,-7.626392894696162e-34
translation_283165.6.peg.80,0.0,2.236798464749335e-33
transcription_TU_283165.6.peg.80,0.0,4.188155309861131e-34
translation_283165.6.peg.82,0.0,2.0367349144766144e-33
transcription_TU_283165.6.peg.82,0.0,-0.01620468468098956
translation_283165.6.peg.83,1.2366258963954148e-13,-1.281582324930704e-33
transcription_TU_283165.6.peg.83,2.399388254768268e-13,5.0876771148829495e-34
translation_283165.6.peg.84,1.2145870411607633e-13,2.441253312477698e-33
transcription_TU_283165.6.peg.84,2.356626922862881e-13,2.5858643072436963e-34
translation_283165.6.peg.92,3.834305411641526e-08,6.359353167749421e-34
transcription_TU_283165.6.peg.92,7.439588154108463e-08,1.5288645232790158e-34
translation_283165.6.peg.93,3.834305411641526e-08,-1.8138034852919418e-34
transcription_TU_283165.6.peg.93,7.439588154108463e-08,1.8813875171053263e-34
translation_283165.6.peg.94,1.7191582614525716e-12,3.955057142228938e-33
transcription_TU_283165.6.peg.94,3.3356313761831308e-12,2.472594001907686e-34
translation_283165.6.peg.95,2.203885523465153e-15,-1.1641325209720805e-32
transcription_TU_283165.6.peg.95,4.2761331905386995e-15,-1.6724445962489084e-33
translation_283165.6.peg.96,1.1220789543109685e-19,-1.3868409640181265e-33
transcription_TU_283165.6.peg.96,2.1771362477076296e-19,1.4838504865269748e-33
translation_283165.6.peg.97,1.1220789543109685e-19,-5.903030573348226e-34
transcription_TU_283165.6.peg.97,2.1771362477076296e-19,1.0473234262224084e-35
translation_283165.6.peg.98,1.1220789543109685e-19,6.108053934486594e-33
transcription_TU_283165.6.peg.98,2.1771362477076296e-19,-6.141261713762122e-34
translation_283165.6.peg.99,1.1220789543109685e-19,1.9009332527852014e-33
transcription_TU_283165.6.peg.99,2.1771362477076296e-19,4.698535747639805e-34
translation_283165.6.peg.101,0.0,3.715110746541047e-33
transcription_TU_283165.6.peg.101,0.0,1.4443386924126963e-33
translation_283165.6.peg.103,3.834305191252974e-08,7.228364112243207e-33
transcription_TU_283165.6.peg.103,7.439587726495143e-08,-2.04398827367645e-34
translation_283165.6.peg.104,4.7503304909537e-11,9.966290654476838e-34
transcription_TU_283165.6.peg.104,9.216924228649162e-11,2.9917021349048796e-34
translation_283165.6.peg.107,0.0,-4.251598342376213e-34
transcription_TU_283165.6.peg.107,0.0,-0.002940208588230398
translation_283165.6.peg.108,0.0,3.696232011860442e-34
transcription_TU_283165.6.peg.108,0.0,2.4570359365181502e-34
translation_283165.6.peg.109,0.0,-4.809124311867315e-34
transcription_TU_283165.6.peg.109,0.0,-0.003462726513350602
translation_283165.6.peg.110,0.0,3.011864131961787e-35
transcription_TU_283165.6.peg.110,0.0,2.1089716565534747e-34
translation_283165.6.peg.111,0.0,-9.617388317069568e-34
transcription_TU_283165.6.peg.111,0.0,-2.0160975954781362e-34
translation_283165.6.peg.112,0.0,-6.225882719106631e-34
transcription_TU_283165.6.peg.112,0.0,-1.0040644151393089e-34
translation_283165.6.peg.114,0.0,6.118749601403088e-34
transcription_TU_283165.6.peg.114,0.0,5.620825453231675e-35
translation_283165.6.peg.117,1.2846904123651812e-12,-6.643929048838056e-33
transcription_TU_283165.6.peg.117,2.4926463980961213e-12,-5.2465970608619145e-33
translation_283165.6.peg.118,1.540080722846605e-11,-1.4389174950538311e-34
transcription_TU_283165.6.peg.118,2.9881725819945146e-11,1.2217824643404346e-34
translation_283165.6.peg.125,2.8555259028194198e-12,1.0125474153404676e-33
transcription_TU_283165.6.peg.125,5.540491536189436e-12,5.4568017028749236e-34
translation_283165.6.peg.126,0.0,9.360843771809838e-34
transcription_TU_283165.6.peg.126,0.0,1.155470953930157e-35
translation_283165.6.peg.128,1.2902137530122824e-12,-2.56722267787816e-35
transcription_TU_283165.6.peg.128,2.5033631708196818e-12,3.964460686760366e-34
translation_283165.6.peg.135,-2.4536831243816464e-31,-6.272446751999194e-33
transcription_TU_283165.6.peg.135,-4.760808007276224e-31,1.4535027723921423e-33
translation_283165.6.peg.136,3.834305411641526e-08,-9.379740322945726e-34
transcription_TU_283165.6.peg.136,7.439588154108463e-08,6.0030415840514295e-34
translation_283165.6.peg.138,0.0,-1.2961629568642172e-33
transcription_TU_283165.6.peg.138,0.0,-0.03423384519065456
translation_283165.6.peg.139,0.0,6.25321433572296e-33
transcription_TU_283165.6.peg.139,0.0,-0.024436244630608193
translation_283165.6.peg.141,0.0,4.309734569774536e-34
transcription_TU_283165.6.peg.141,0.0,2.304016671436923e-34
translation_283165.6.peg.146,2.334369845544532e-12,4.559166224894753e-34
transcription_TU_283165.6.peg.146,4.52930801951588e-12,-1.164578114158178e-34
translation_283165.6.peg.147,0.0,8.51870642423554e-34
transcription_TU_283165.6.peg.147,0.0,-5.904855012843078e-34
translation_283165.6.peg.148,0.0,-3.4015017613235297e-34
transcription_TU_283165.6.peg.148,0.0,-3.7066142128045235e-34
translation_283165.6.peg.149,0.0,-1.326562749381558e-33
transcription_TU_283165.6.peg.149,0.0,-0.011104028584659673
translation_283165.6.peg.152,3.834305411641526e-08,4.331391239213043e-34
transcription_TU_283165.6.peg.152,7.439588154108463e-08,4.73572331857089e-34
translation_283165.6.peg.158,0.0,-7.4653331886417565e-34
transcription_TU_283165.6.peg.158,0.0,-2.308285652793808e-34
translation_283165.6.peg.159,5.468380766269777e-12,-7.356758402046573e-35
transcription_TU_283165.6.peg.159,1.061013570994554e-11,8.621445015859826e-35
translation_283165.6.peg.163,1.5564733900472955e-12,-1.8616707814366575e-33
transcription_TU_283165.6.peg.163,3.0199787840644454e-12,7.37110780955445e-34
translation_283165.6.peg.164,3.834305411641526e-08,-2.5750763945567785e-34
transcription_TU_283165.6.peg.164,7.439588154108463e-08,4.294026047511874e-34
