,fluxes,reduced_costs
biomass_dilution,0.07426880909345489,-0.5613594256591252
protein_biomass_to_biomass,0.03567005231256818,1.5780711988746168e-34
mRNA_biomass_to_biomass,0.00011410109940644814,0.0
tRNA_biomass_to_biomass,0.0006722896399071854,5.582689743853211e-35
rRNA_biomass_to_biomass,0.0050732802196932795,9.365401622114792e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.004404233728645717,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.008255535698818975,0.0
prosthetic_group_biomass_to_biomass,1.4911968595500826e-05,-6.784363980142036e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,-0.1722268009072618
DM_GCALD,0.0,0.0
DM_atp_c_,0.0,-0.012526307241411206
DM_dhptd(c),0.0,0.0
EX_12ppd_S(e),0.14898579,0.0
EX_4abz(e),0.0,0.0
EX_5mthf(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),7.490597424983511,0.0
EX_acald(e),0.0,-0.00626395317760165
EX_ala_L(e),-0.05695033908360809,0.0
EX_alaasp(e),0.0,-0.015670252445643948
EX_alagln(e),0.0,0.0
EX_alaglu(e),2.765737495649869e-23,0.0
EX_alagly(e),0.0,-6.347761460979044e-07
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.006264115176498618
EX_arab_L(e),-0.17878295,-0.028175879444780342
EX_arabttr(e),0.0,-0.08452930150187499
EX_asn_L(e),-0.0188747308408467,0.0
EX_asp_L(e),-0.225,-0.021924041951609127
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.02777316446644349
EX_cgly(e),-0.49344831765843106,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.2102613068903499,0.0
EX_cobalt2(e),-0.0005800628143200158,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.4880557390190433,0.0
EX_dad_2(e),0.0,0.0
EX_dextrin(e),0.0,-0.2129198146770612
EX_dgchol(e),0.0,-0.006255918457811623
EX_dpcoa(e),0.0,-0.15344261539004492
EX_drib(e),0.0,0.0
EX_etoh(e),0.0,-4.868901997443487e-06
EX_fe2(e),-4.0862922758368567e-07,0.0
EX_fe3(e),1.1115162440670435e-23,0.0
EX_fol(e),0.0,0.0
EX_for(e),4.112827363926505,0.0
EX_fru(e),-0.14898579,-0.03443804394366579
EX_fuc_L(e),-0.14898579,-0.023477296231572485
EX_gal(e),-0.14898579,-0.03130089649174955
EX_gchola(e),0.0,-0.006255918457811623
EX_glc_D(e),-0.14898579,-0.02504837706188859
EX_glcur(e),0.0,-0.037571434927220475
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.18,-0.0031258173158591625
EX_gly(e),-0.45,-0.0062544242821112785
EX_glyasn(e),0.0,-6.347761460979044e-07
EX_glyasp(e),0.0,-0.021924676727755225
EX_glyc(e),-0.4169246493280976,0.0
EX_glycys(e),0.0,2.836657676536449e-35
EX_glygln(e),0.0,-0.003125905825607496
EX_glyglu(e),0.0,-0.0031264520920052602
EX_glyleu(e),0.0,-0.00939057626707214
EX_glymet(e),0.0,-0.003131647417446914
EX_glyphe(e),0.0,-1.5117296841442118e-07
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-0.006259026028492846
EX_h(e),8.004687296389077,0.0
EX_h2o(e),-2.823167140976458,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.011378911323841123,0.0
EX_hxan(e),-0.008709750979437167,0.0
EX_ile_L(e),-0.03239928096448164,0.0
EX_k(e),-1.9071510040436124e-07,0.0
EX_lac_L(e),0.0,-0.006263912239561371
EX_lcts(e),-0.07449289,-0.0626213442536895
EX_leu_L(e),-0.05023246217644668,0.0
EX_lys_L(e),-0.018410767573791086,0.0
EX_malt(e),-0.07449289,-0.07514892567484313
EX_malthx(e),0.0,-0.2630195935255417
EX_malttr(e),0.0,-0.11272278256590824
EX_mantr(e),0.0,-0.10019477094354452
EX_melib(e),-0.07449289,-0.06262092802370699
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.01717929957639986,0.0
EX_mg2(e),-0.0005816751113103319,0.0
EX_mn2(e),-8.830940028869586e-07,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0005800786959985797,0.0
EX_nh4(e),3.1263849753763493,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.02506538385888162
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9572403051570509,0.0
EX_pi(e),-0.05103470134733945,0.0
EX_pnto_R(e),-0.0005799948377344267,0.0
EX_ppi(e),0.0,-4.842666176580821e-07
EX_pro_L(e),0.11127310884545148,0.0
EX_pydam(e),3.3361687604076103e-34,0.0
EX_pydx(e),-0.0005799974189158202,0.0
EX_pydxn(e),0.0,0.0
EX_raffin(e),-0.00470194,-0.11272134534080624
EX_rib_D(e),-0.17878295,-0.018785466897660984
EX_ribflv(e),-0.001160010241254373,0.0
EX_ser_L(e),-2.0,-0.012522648272333577
EX_so4(e),0.0,0.0
EX_stys(e),0.0,-0.15029518826064378
EX_succ(e),0.0,-0.003120377878356191
EX_sucr(e),-0.07449289,-0.08453846126076506
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,-1.494175700344387e-06
EX_tdchola(e),0.0,-1.494175700344387e-06
EX_thf(e),0.0,-0.0031287327637716327
EX_thm(e),-1.04516478065096e-07,0.0
EX_thr_L(e),-0.225,-0.012517904682463799
EX_thymd(e),0.0,0.0
EX_trp_L(e),-0.010704744723905615,0.0
EX_tyr_L(e),-1.0,-0.006258542425315163
EX_urea(e),0.0,0.0
EX_val_L(e),-0.0397971682755465,0.0
EX_xan(e),-0.009057060217706142,0.0
EX_xyl_D(e),-0.17878295,-0.03131221170641295
EX_zn2(e),-2.03650592263369e-07,0.0
translation_565040.3.peg.1,0.0,-7.872343859079723e-33
transcription_TU_565040.3.peg.1,0.0,-4.999358013575398e-33
translation_565040.3.peg.2,0.0,-2.9643350329950795e-32
transcription_TU_565040.3.peg.2,0.0,-1.5530294538226784e-32
translation_565040.3.peg.5,0.0,1.282521111127225e-32
transcription_TU_565040.3.peg.5,0.0,-2.4350511828337807e-32
translation_565040.3.peg.6,0.0,-2.8641372840819247e-32
transcription_TU_565040.3.peg.6,0.0,-389.876725715407
translation_565040.3.peg.10,2.803458921825357e-08,-2.1046307969357598e-32
transcription_TU_565040.3.peg.10,1.0580268621093904e-09,5.792392989058836e-33
translation_565040.3.peg.12,0.0,-2.671760689964736e-32
transcription_TU_565040.3.peg.12,0.0,2.983814061220974e-32
translation_565040.3.peg.20,0.0,-2.137236170891683e-33
transcription_TU_565040.3.peg.20,0.0,-53.636861847539826
translation_565040.3.peg.22,0.0,8.054678683660757e-33
transcription_TU_565040.3.peg.22,0.0,-70.51450759886546
translation_565040.3.peg.24,1.6555090547592564e-08,-2.1351752741318712e-32
transcription_TU_565040.3.peg.24,6.247899823908083e-10,3.554173698567649e-33
translation_565040.3.peg.31,3.463285844419365e-08,-1.8863194230693281e-31
transcription_TU_565040.3.peg.31,1.3070458875042355e-09,-1.2586931103801561e-31
translation_565040.3.peg.33,2.43785862815284e-08,6.56287511100379e-33
transcription_TU_565040.3.peg.33,9.20049120224467e-10,4.379838206317682e-32
translation_565040.3.peg.36,6.807022621562905e-09,-4.27867397666297e-32
transcription_TU_565040.3.peg.36,2.5689738945454363e-10,-1.2919979956475878e-32
translation_565040.3.peg.39,0.0,-2.7651702690615955e-32
transcription_TU_565040.3.peg.39,0.0,-5.645039255959971e-32
translation_565040.3.peg.46,0.0,-5.864969247576401e-34
transcription_TU_565040.3.peg.46,0.0,-2.857630578331591e-33
translation_565040.3.peg.53,0.0,-1.7433544854566307e-32
transcription_TU_565040.3.peg.53,0.0,-102.55626316681011
translation_565040.3.peg.55,0.0,-7.297080885088696e-33
transcription_TU_565040.3.peg.55,0.0,-160.7476452861634
translation_565040.3.peg.67,5.257433557435352e-09,-1.2179589738434715e-32
transcription_TU_565040.3.peg.67,1.9841581719699814e-10,1.3168862530368363e-32
translation_565040.3.peg.81,0.0,2.3002254457765435e-32
transcription_TU_565040.3.peg.81,0.0,2.986798550080176e-32
translation_565040.3.peg.83,0.0,-4.2857306799959036e-33
transcription_TU_565040.3.peg.83,0.0,4.535604860856461e-33
translation_565040.3.peg.84,2.737292984925896e-09,-1.0065170845999739e-32
transcription_TU_565040.3.peg.84,1.0330558029469883e-10,-2.167641654997919e-32
translation_565040.3.peg.85,0.0,-1.7550765132538492e-32
transcription_TU_565040.3.peg.85,0.0,1.845845285963974e-35
translation_565040.3.peg.91,0.0,3.262417068215999e-32
transcription_TU_565040.3.peg.91,0.0,-226.9142778223919
translation_565040.3.peg.100,1.8090778148087513e-08,9.380150321397086e-33
transcription_TU_565040.3.peg.100,6.827469126844061e-10,-3.526206913420003e-33
translation_565040.3.peg.104,1.1251040271259042e-11,1.5553944279882764e-32
transcription_TU_565040.3.peg.104,4.2461484778652836e-13,7.306513971981886e-33
translation_565040.3.peg.106,0.0,1.6279481220186148e-32
transcription_TU_565040.3.peg.106,0.0,2.9598341982596864e-32
translation_565040.3.peg.107,0.0,1.8584488571943947e-32
transcription_TU_565040.3.peg.107,0.0,-6.928050521994435e-33
translation_565040.3.peg.109,0.0,8.558432350224482e-32
transcription_TU_565040.3.peg.109,0.0,-328.5809890470295
translation_565040.3.peg.114,0.0,3.946367747187667e-32
transcription_TU_565040.3.peg.114,0.0,-1.3306240560106003e-34
translation_565040.3.peg.116,1.8232389880707005e-12,-5.666338145307358e-32
transcription_TU_565040.3.peg.116,6.880913468737153e-14,-4.932442167165993e-32
translation_565040.3.peg.117,3.646477976141401e-12,-2.983080688888629e-32
transcription_TU_565040.3.peg.117,1.3761826937474306e-13,1.4571515750075528e-32
translation_565040.3.peg.120,0.0,-2.6734528720683204e-32
transcription_TU_565040.3.peg.120,0.0,-6.677982505811288e-33
translation_565040.3.peg.123,0.0,-7.124190297163887e-33
transcription_TU_565040.3.peg.123,0.0,1.1101633392685392e-33
translation_565040.3.peg.135,0.0,4.241549817358269e-32
transcription_TU_565040.3.peg.135,0.0,6.360188162220285e-32
translation_565040.3.peg.139,0.0,1.1564160943624426e-32
transcription_TU_565040.3.peg.139,0.0,-1.4532568467763044e-32
translation_565040.3.peg.140,0.0,1.5662704957633744e-32
transcription_TU_565040.3.peg.140,0.0,-82.95341777814794
translation_565040.3.peg.141,0.0,9.75891434479887e-33
transcription_TU_565040.3.peg.141,0.0,-6.954817760678213e-33
translation_565040.3.peg.144,0.0,-3.451797705052231e-32
transcription_TU_565040.3.peg.144,0.0,4.0886259933112366e-32
translation_565040.3.peg.145,0.0,-2.0180123412116874e-31
transcription_TU_565040.3.peg.145,0.0,1.235957282785299e-32
translation_565040.3.peg.147,0.0,1.9770175406963447e-32
transcription_TU_565040.3.peg.147,0.0,-454.0667988631319
translation_565040.3.peg.148,1.2656603641705937e-09,1.0914576688763385e-32
transcription_TU_565040.3.peg.148,4.7766088283816904e-11,-7.930921484630112e-33
translation_565040.3.peg.149,0.0,-9.843201720419614e-33
transcription_TU_565040.3.peg.149,0.0,-168.09637221109588
translation_565040.3.peg.152,5.163670883770462e-07,5.1574022345246395e-33
transcription_TU_565040.3.peg.152,1.9487720899309914e-08,-3.5214328751756626e-32
translation_565040.3.peg.161,6.992500070762343e-09,-5.51571195775907e-32
transcription_TU_565040.3.peg.161,2.638973180798848e-10,-2.1957900683595763e-32
translation_565040.3.peg.177,0.0,-2.770454215216095e-32
transcription_TU_565040.3.peg.177,0.0,4.349631285548792e-32
translation_565040.3.peg.178,0.0,-2.345623924043108e-32
transcription_TU_565040.3.peg.178,0.0,-1.3009285103302897e-32
translation_565040.3.peg.180,0.0,1.3233573833766135e-32
transcription_TU_565040.3.peg.180,0.0,-3.197907094326851e-33
translation_565040.3.peg.184,2.865124712760702e-07,-1.411008173205232e-32
transcription_TU_565040.3.peg.184,1.0812995638332795e-08,-6.453794055670441e-33
translation_565040.3.peg.185,1.1149872706036744e-06,-1.483779856492717e-32
transcription_TU_565040.3.peg.185,4.2079677858829294e-08,-1.9769181911633893e-32
translation_565040.3.peg.193,0.0,-1.1579210507595332e-31
transcription_TU_565040.3.peg.193,0.0,-264.45971070596477
translation_565040.3.peg.195,0.0,5.337003830302768e-33
transcription_TU_565040.3.peg.195,0.0,1.603988288887958e-32
translation_565040.3.peg.203,4.007635046719704e-08,-6.909619592110888e-32
transcription_TU_565040.3.peg.203,1.5124835609146885e-09,5.225572567727645e-32
translation_565040.3.peg.205,3.3765454209847467e-06,-1.2216714901001378e-32
transcription_TU_565040.3.peg.205,1.27431000637179e-07,7.459209704444889e-34
translation_565040.3.peg.206,0.0,-2.976985761821923e-33
transcription_TU_565040.3.peg.206,0.0,-95.51132389268506
translation_565040.3.peg.207,3.3765454209847467e-06,2.6969055000811884e-34
transcription_TU_565040.3.peg.207,1.27431000637179e-07,-9.192999093351528e-33
translation_565040.3.peg.208,3.3765454209847467e-06,-6.889021747387848e-33
transcription_TU_565040.3.peg.208,1.27431000637179e-07,4.5173650862698115e-33
translation_565040.3.peg.211,0.0011344980416717137,-3.0249583499842134e-32
transcription_TU_565040.3.peg.211,4.2816015378517705e-05,3.758573771132859e-33
translation_565040.3.peg.212,0.0,-7.660362018585844e-32
transcription_TU_565040.3.peg.212,0.0,8.291833536805074e-33
translation_565040.3.peg.218,1.1906020760222533e-11,1.5902456804284736e-34
