,fluxes,reduced_costs
biomass_dilution,0.28138119869349965,-0.4036819599497959
protein_biomass_to_biomass,0.10888859857745697,0.0
mRNA_biomass_to_biomass,0.0004926140684503139,0.0
tRNA_biomass_to_biomass,0.0029821287274041605,-5.665837595271644e-35
rRNA_biomass_to_biomass,0.020719839995921658,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.01607167755453008,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.07090980528749594,0.0
prosthetic_group_biomass_to_biomass,6.669778242098231e-05,-6.86423203919497e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.022888640463335157
DM_atp_c_,0.0,-0.01332846339674173
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.011419492598364568
EX_12ppd_S(e),0.14898579,0.0
EX_26dap_M(e),0.0,0.0
EX_2hyoxplac(e),0.0,-0.06849210399144326
EX_34dhpha(e),0.0,-0.060873708517544374
EX_34dhphe(e),0.0,-0.0018863012792626917
EX_3hphac(e),0.0,0.0
EX_3mop(e),-0.09241738455938939,0.0
EX_4abz(e),-0.002613890645263265,0.0
EX_4hoxpacd(e),0.0,0.0
EX_5htrp(e),0.0,-0.0018863012792626917
EX_Lcyst(e),0.0,0.0
EX_ac(e),15.886274049651764,0.0
EX_acac(e),0.0,-0.007628530750474685
EX_acgam(e),0.0,0.0
EX_adocbl(e),-0.0008713223063095402,0.0
EX_akg(e),0.0,-0.00951828366196365
EX_ala_L(e),-1.0,-0.0018980779346683793
EX_alaasp(e),0.0,-0.013298686720200955
EX_alagln(e),0.0,-0.0018813831720799175
EX_alaglu(e),0.0,-0.0018854735009237171
EX_alagly(e),2.4569180504740703e-23,0.0
EX_alahis(e),2.486279164223452e-23,0.0
EX_alaleu(e),2.658515475048084e-23,0.0
EX_alathr(e),0.0,-0.0038019970881215353
EX_alltn(e),0.0,0.0
EX_amp(e),-0.06769186876203073,0.0
EX_arab_L(e),-0.17878295,-0.015238381586287725
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.026622120185974586
EX_asn_L(e),-0.225,-0.017113203636007594
EX_asp_L(e),-0.225,-0.0171175618717929
EX_bhb(e),0.0,-0.0076267731199486455
EX_biomass(e),0.0,0.0
EX_but(e),0.0,-1.2434564871213201e-05
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cgly(e),-7.468339507926709e-35,0.0
EX_cit(e),-1.0,-0.03425279826092952
EX_cl(e),0.0,0.0
EX_co2(e),10.308021022355012,0.0
EX_cobalt2(e),-0.0008722299651806224,0.0
EX_csn(e),-1.0,-0.0018843941431750642
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.005703139036473853
EX_dopa(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-0.0008713078486789458,0.0
EX_fru(e),-0.14898579,-0.034271988080784084
EX_fum(e),-1.0,-0.017120881708225642
EX_gal(e),-0.14898579,-0.020949778559109934
EX_galct_D(e),0.0,-0.005711632847364028
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.03428188066793954
EX_gcald(e),0.0,-0.011426544794940926
EX_glc_D(e),-0.14898579,-0.03428435711275924
EX_glcn(e),-0.14898579,-0.049488323891236315
